"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00003124","1901","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","","","","","43","0","38","0","2","","3","0","","","","","0","0","236","0","59","0","","","102",",0,0208,","102",",0,0208,","44.5",",0,0725,","37.8","0,0629,","","","","","","","","","","","","","","","","","","","","","","","","","473.4",",0","165",",0","","","23.73","0","","","","","","","","","","","",""
"USW00003124","1902","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","","","","","29","0","26","0","","","1","0","","","","","","","","","","","","","","","25",",0,1214,","66.0",",0,1213,","","","","","","","","","","","","","","","","","","","","","","","","","","","346.9",",0","40",",0","","","","","","","","","","","","","","","",""
"USW00003124","1903","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","","","","","38","0","26","0","","","3","0","","","","","","","","","","","","","","","112",",0,0202,","38.6",",0,0715,","","","","","","","","","","","","","","","","","","","","","","","","","","","321.7",",0","251",",0","","","","","","","","","","","","","","","",""
"USW00003124","1904","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","682.1","","682.1","0","51","0","39","0","","","2","0","0","0","45","0","0","0","261","0","31","0","-6.1","0,0121,","","","30",",0,0206,","38.1",",0,0810,","37.2","0,0712,","-0.6","0,1111","-3.3","0,1226","","","","","","","0.0","0,0401","-2.2","0,0210","-4.4","0,0208","","","","","","","","","457.8",",0","55",",0","16.66","0","24.24","0","9.08","0","","","","","","","","","",""
"USW00003124","1905","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","","","","","85","0","71","0","","","5","0","","","","","","","","","","","","","","","152",",0,1211,","99.1",",0,0110,","","","","","","","","","","","","","","","","","","","","","","","","","","","939.2",",0","450",",0","","","","","","","","","","","","","","","",""
"USW00003124","1906","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","709.8","","709.8","0","44","0","32","0","","","1","0","0","0","56","0","0","0","217","0","42","0","-7.8","0,1120,+","","","64",",0,0101,","37.8",",0,0704,","37.2","0,0724,","-1.1","0,1021","-2.8","0,1022","-7.8","0,1119","-7.8","0,1119","","","-2.2","0,0320","-2.2","0,0320","-5.6","0,0123","-6.7","0,0121","","","1847.5","","1847.5","0","410.3",",0","77",",0","15.78","0","22.73","0","8.83","0","","","","","","","","","",""
"USW00003124","1907","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","364.1","","364.1","0","66","0","52","0","","","1","0","0","0","60","0","0","0","229","0","29","0","-9.4","0,1121,","","","25",",0,0118,","41.9",",0,0828,","38.3","0,0701,","0.0","0,1111","-2.2","0,1112","-7.2","0,1118","-7.2","0,1118","-9.4","0,1121","0.0","0,0507","-5.6","0,0214","-5.6","0,0214","","","","","1544.9","","1544.9","0","620.5",",0","25",",0","14.74","0","23.04","0","6.45","0","","","","","","","","","",""
"USW00003124","1908","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","","","","","56","0","27","0","2","","1","0","","","","","0","0","240","0","51","0","","","76",",0,0213,","76",",0,0213,","40.6",",0,0814,","38.3","0,0702,","","","","","","","","","","","","","","","","","","","","","1639.1","","1639.1","0","396.3",",0","94",",0","","","24.03","0","","","","","","","","","","","",""
"USW00003124","1909","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","1143.2","","1143.2","0","55","0","22","0","","","5","0","0","0","57","0","0","0","255","0","62","0","-6.7","0,1205,+","","","152",",0,1219,+","33.5",",0,0817,","40.6","0,0714,","-1.1","0,1116","-5.0","0,1204","-5.0","0,1204","-6.7","0,1205","","","-1.1","0,0313","-2.8","0,0223","-4.4","0,0131","-6.7","0,0112","","","","","","","294.8",",0","443",",0","17.52","0","24.74","0","10.30","0","","","","","","","","","",""
"USW00003124","1910","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","810.0","","810.0","0","22","0","20","0","0","","0","0","0","0","54","0","1","0","273","0","104","0","-10.6","0,0106,","0",",0,1231,+","0","T,0,0104,","34.3",",0,0603,","40.0","0,0530,","-1.1","0,1017","-3.3","0,1116","-5.0","0,1120","","","","","-0.6","0,0330","-2.2","0,0219","-5.6","0,0218","-6.7","0,0217","-10.6","0,0106","1180.9","","1180.9","0","242.5",",0","0","T,0","17.00","0","26.12","0","7.86","0","","","","","","","","","",""
