"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003818","1950","30.83556","-85.18389","34.4","MARIANNA MUNICIPAL AIRPORT, FL US","","","1431.1","","1431.1","0","103","0","74","0","0","","0","0","0","0","23","0","0","0","283","0","84","0","-6.7","0,1125,","0",",0,1231,+","0",",0,1231,+","104.9",",0,0831,","38.9","0,0627,","-0.6","0,1106","-3.3","X,1124","-6.7","X,1125","-6.7","X,1125","-0.6","0,0331","-2.2","0,0218","","","","","","","","","","","1281.8",",0","0",",0","19.81","0","26.05","0","13.58","0","","","","","","","",""
"USW00003818","1951","30.83556","-85.18389","34.4","MARIANNA MUNICIPAL AIRPORT, FL US","","","1510.3","","1510.3","0","113","0","78","0","0","","0","0","0","0","30","0","1","0","290","0","107","0","-8.9","0,0203,","0",",0,1231,+","0","T,0,0202,","57.4",",0,0329,","37.8","0,0829,","-1.1","0,1108","-2.8","0,1118","-5.0","0,1216","","","-2.8","0,0209","-2.8","0,0209","-7.8","0,0204","-7.8","0,0204","-8.9","0,0203","1024.2","","1024.2","0","1123.8",",0","0","T,0","19.95","0","26.42","0","13.47","0","","","","","","","",""
"USW00003818","1952","30.83556","-85.18389","34.4","MARIANNA MUNICIPAL AIRPORT, FL US","","","1383.1","","1383.1","0","106","0","73","0","0","","0","0","0","0","21","0","0","0","282","0","91","0","-3.3","0,1216,+","0",",0,1231,+","0",",0,1231,+","79.8",",0,1119,","38.9","0,0627,+","0.0","0,1029","-2.2","0,1030","","","","","-1.1","0,0208","-3.3","0,0130","","","","","","","802.0","","802.0","0","1219.4",",0","0",",0","19.63","0","26.00","0","13.26","0","","","","","","","",""
"USW00003818","1953","30.83556","-85.18389","34.4","MARIANNA MUNICIPAL AIRPORT, FL US","","","1443.3","","1443.3","0","118","0","85","0","0","","0","0","0","0","13","0","0","0","273","0","86","0","-7.2","0,1219,","0",",0,1231,+","0","T,0,0118,","106.7",",0,1206,","38.3","0,0806,+","-0.6","0,1216","-5.0","0,1218","-5.0","0,1218","-7.2","0,1219","-2.2","0,0218","-2.2","0,0218","","","","","","","894.5","","894.5","0","1707.3",",0","0","T,0","19.95","0","25.99","0","13.91","0","","","","","","","",""
"USW00003818","1954","30.83556","-85.18389","34.4","MARIANNA MUNICIPAL AIRPORT, FL US","","","1601.4","","1601.4","0","76","0","52","0","0","","0","0","0","0","25","0","0","0","279","0","114","0","-4.4","0,1221,+","0",",0,1231,+","0",",0,1231,+","40.9",",0,0725,","40.0","0,0628,","-3.3","0,1103","-3.3","0,1103","-4.4","0,1220","","","-2.2","0,0307","-2.2","0,0307","","","","","","","880.0","","880.0","0","723.6",",0","0",",0","20.11","0","26.69","0","13.52","0","","","","","","","",""
"USW00003818","1955","30.83556","-85.18389","34.4","MARIANNA MUNICIPAL AIRPORT, FL US","","","1556.7","","1556.7","0","89","0","55","0","0","","0","0","0","0","27","0","0","0","279","0","98","0","-6.1","0,0213,","0",",0,1231,+","0","T,0,0123,","53.8",",0,0903,","36.7","0,0823,+","-3.9","0,1129","-3.9","0,1129","-4.4","0,1130","","","-1.1","0,0329","-2.8","0,0327","-5.0","0,0214","","","","","965.8","","965.8","0","856.7",",0","0","T,0","20.06","0","26.38","0","13.75","0","","","","","","","",""
"USW00003818","1956","30.83556","-85.18389","34.4","MARIANNA MUNICIPAL AIRPORT, FL US","","","1371.7","","1371.7","0","103","0","65","0","0","","0","0","0","0","28","0","0","0","288","0","77","0","-5.6","0,0101,","0",",0,1231,+","0",",0,1231,+","117.3",",0,0924,","36.7","0,0807,","0.0","0,1110","-5.0","0,1123","-5.0","0,1123","","","-2.2","0,0321","-2.2","0,0321","-5.6","0,0101","","","","","960.0","","960.0","0","1320.7",",0","0",",0","19.83","0","25.97","0","13.69","0","","","","","","","",""
"USW00003818","1957","30.83556","-85.18389","34.4","MARIANNA MUNICIPAL AIRPORT, FL US","","","1488.4","","1488.4","0","133","0","90","0","0","","0","0","0","0","12","0","0","0","280","0","85","0","-7.2","0,1212,","0",",0,1231,+","0",",0,1231,+","100.3",",0,0718,","36.1","0,0713,","-0.6","0,1130","-3.9","0,1211","-7.2","0,1212","-7.2","0,1212","-0.6","0,0310","-6.7","0,0119","-6.7","0,0119","-6.7","0,0119","","","651.8","","651.8","0","1638.7",",0","0",",0","20.41","0","26.03","0","14.79","0","","","","","","","",""
"USW00003818","1958","30.83556","-85.18389","34.4","MARIANNA MUNICIPAL AIRPORT, FL US","","","1415.7","","1415.7","0","126","0","89","0","0","","1","0","0","0","37","0","0","0","256","0","86","0","-7.2","0,0218,","0",",0,1231,+","51",",0,0212,","89.2",",0,0409,","36.7","0,0612,","-0.6","0,1211","-2.2","0,1215","-4.4","0,1216","","","-1.7","0,0222","-3.9","0,0221","-4.4","0,0219","-7.2","0,0218","","","1160.2","","1160.2","0","1248.3",",0","51",",0","18.96","0","24.70","0","13.21","0","","","","","","","",""
"USW00003818","1959","30.83556","-85.18389","34.4","MARIANNA MUNICIPAL AIRPORT, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","911.3","","911.3","0","","","","","","","","","","","","","","","","","",""
