"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00003951","1977","32.3466","-94.6533","124.1","LONGVIEW 11 SE, TX US","","","1382.6","","1382.6","0","77","0","54","0","2","","2","0","0","0","38","0","0","0","272","0","102","0","-12.2","0,0110,","51",",0,0131,+","112",",0,0131,","78.0",",0,0821,","38.3","0,0724,","-0.6","0,1110","-3.3","0,1206","-5.0","0,1207","","","","","-1.1","0,0227","-3.3","0,0216","-5.0","0,0201","-6.7","0,0131","-10.0","0,0119","","","","","965.9",",0","188",",0","18.88","0","25.42","0","12.33","0"
"USW00003951","1978","32.3466","-94.6533","124.1","LONGVIEW 11 SE, TX US","","","1411.7","","1411.7","0","83","0","61","0","","","","","0","0","61","0","4","0","248","0","98","0","-8.3","0,0121,+","","","","","48.0",",0,0116,","41.1","0,0715,","-2.2","0,1204","-2.2","0,1204","-6.7","0,1209","-6.7","0,1209","","","-1.1","0,0310","-5.6","0,0305","-5.6","0,0305","-7.2","0,0222","","","1446.5","","1446.5","0","924.8",",0","","","18.13","0","24.55","0","11.72","0"
"USW00003951","1979","32.3466","-94.6533","124.1","LONGVIEW 11 SE, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1367.5","","1367.5","0","","","","","","","","","",""
"USW00003951","1980","32.3466","-94.6533","124.1","LONGVIEW 11 SE, TX US","","","1453.5","","1453.5","0","74","0","48","0","","","","","0","0","41","0","0","0","258","0","112","0","-8.3","0,0302,","","","","","56.6",",0,0413,","40.0","0,0717,","-0.6","0,1025","-2.2","0,1119","-6.7","0,1221","-6.7","0,1221","","","-6.7","0,0303","-6.7","0,0303","-6.7","0,0303","-6.7","0,0303","","","","","","","819.2",",0","","","18.96","0","25.48","0","12.43","0"
"USW00003951","1981","32.3466","-94.6533","124.1","LONGVIEW 11 SE, TX US","","","1243.1","","1243.1","0","94","0","64","0","0","","0","0","0","0","31","0","0","0","255","0","75","0","-12.2","0,0211,","0",",0,1231,+","0",",0,1231,+","109.2",",0,0705,","37.8","0,0815,","-2.8","0,1121","-2.8","0,1121","-7.8","0,1218","-7.8","0,1218","","","-0.6","0,0319","-2.2","0,0215","-8.9","0,0212","-8.9","0,0212","-8.9","0,0212","1138.6","","1138.6","0","1238.2",",0","0",",0","18.55","0","24.74","0","12.35","0"
"USW00003951","1984","32.3466","-94.6533","124.1","LONGVIEW 11 SE, TX US","2.5","X","1377.3","","1377.3","0","98","0","67","0","0","","0","0","0","0","33","0","1","0","252","0","90","0","-10.6","0,0119,","0",",0,1231,+","0",",0,1231,+","65.5",",0,1006,","40.6","0,0819,","-2.8","0,1122","-2.8","0,1122","-5.0","0,1207","","","","","-1.7","0,0301","-2.8","0,0229","-7.8","0,0206","-7.8","0,0206","-8.9","0,0121","","","","","1134.0",",0","0",",0","18.78","0","24.81","0","12.76","0"
"USW00003951","1985","32.3466","-94.6533","124.1","LONGVIEW 11 SE, TX US","2.3","X","1462.2","","1462.2","0","91","0","61","0","6","","1","0","0","0","45","0","4","0","251","0","96","0","-11.7","0,0121,","152",",0,0202,+","124",",0,0201,","108.2",",0,1111,","40.6","0,0901,","-1.7","0,1201","-5.0","0,1202","-5.0","0,1202","-8.3","0,1214","","","-1.1","0,0213","-3.9","0,0208","-11.1","0,0203","-11.1","0,0203","-11.1","0,0203","1185.2","","1185.2","0","1118.1",",0","144",",0","18.69","0","24.52","0","12.86","0"
"USW00003951","1986","32.3466","-94.6533","124.1","LONGVIEW 11 SE, TX US","2.6","X","1339.4","","1339.4","0","104","0","74","0","0","","0","0","0","0","21","0","0","0","258","0","83","0","-3.9","0,0212,+","0",",0,1231,+","0","T,0,1212,+","72.9",",0,0517,","40.0","0,0730,","-1.1","0,1113","","","","","","","","","-3.3","0,0301","-3.3","0,0301","","","","","","","1037.2","","1037.2","0","1269.7",",0","0","T,0","19.03","0","24.48","0","13.58","0"
"USW00003951","1987","32.3466","-94.6533","124.1","LONGVIEW 11 SE, TX US","2.3","X","1285.7","","1285.7","0","102","0","71","0","0","","1","0","0","0","26","0","0","0","248","0","80","0","-3.3","0,1217,+","0",",0,1231,+","107",",0,0113,","123.7",",0,1226,","38.3","0,0820,","-1.1","0,1112","-3.3","0,1216","","","","","","","-1.1","0,0403","-2.2","0,0331","","","","","","","1261.1","","1261.1","0","1482.3",",0","107",",0","18.57","0","24.47","0","12.67","0"
"USW00003951","1988","32.3466","-94.6533","124.1","LONGVIEW 11 SE, TX US","","","1286.7","","1286.7","0","83","0","57","0","6","","3","0","0","0","30","0","2","0","255","0","91","0","-8.3","0,0212,","25",",0,0207,+","51",",0,0211,","53.1",",0,0218,","38.9","0,0808,","-1.1","0,1123","-2.2","0,1229","","","","","","","-0.6","0,0319","-2.2","0,0315","-8.3","0,0212","-8.3","0,0212","","","1271.6","","1271.6","0","854.3",",0","104",",0","18.43","0","24.61","0","12.26","0"
