"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00012844","1942","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2187.0","","2187.0","6","125","6","89","6","","","","","0","6","0","6","0","6","345","6","101","6","3.3","6,0304,+","","","","","386.6",",6,0417,","38.3","6,0721,","","","","","","","","","162.6","","162.6","6","1850.2",",6","","","23.78","6","28.57","6","18.99","6","","","","","","","","","","","","","","","",""
"USW00012844","1943","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2165.5","","2165.5","6","136","6","81","6","","","","","0","6","0","6","0","6","350","6","109","6","2.2","6,0215,","","","","","70.1",",6,0309,","36.1","6,0721,","","","","","","","","","94.7","","94.7","6","1392.5",",6","","","23.93","6","28.93","6","18.93","6","","","","","","","","","","","","","","","",""
"USW00012844","1944","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2153.9","","2153.9","6","117","6","69","6","","","","","0","6","0","6","0","6","352","6","95","6","2.2","6,0105,","","","","","82.0",",6,0801,","36.7","6,0625,+","","","","","","","","","90.0","","90.0","6","1123.6",",6","","","23.95","6","28.87","6","19.02","6","","","","","","","","","","","","","","","",""
"USW00012844","1945","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2188.2","","2188.2","6","112","6","81","6","","","","","0","6","0","6","0","6","351","6","68","6","5.0","6,1207,+","","","","","177.8",",6,0623,","35.6","6,0604,+","","","","","","","","","128.4","","128.4","6","1709.9",",6","","","23.99","6","28.79","6","19.19","6","","","","","","","","","","","","","","","",""
"USW00012844","1946","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2338.2","","2338.2","6","154","6","92","6","","","","","0","6","0","6","0","6","361","6","69","6","6.1","6,0119,+","","","","","132.6",",6,0513,","36.1","6,0825,","","","","","","","","","90.3","","90.3","6","1641.8",",6","","","24.62","6","29.05","6","20.18","6","","","","","","","","","","","","","","","",""
"USW00012844","1947","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2215.4","","2215.4","6","187","6","122","6","","","","","0","6","0","6","0","6","347","6","55","6","1.1","6,0206,","","","","","120.7",",6,0917,","35.0","6,0830,+","","","","","","","","","118.5","","118.5","6","2760.2",",6","","","23.99","6","28.47","6","19.50","6","","","","","","","","","","","","","","","",""
"USW00012844","1948","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2472.9","","2472.9","0","132","0","88","0","0","","0","0","0","0","1","0","0","0","359","0","106","0","0.0","0,0115,","0",",0,1231,+","0",",0,1231,+","180.3",",0,1005,","36.1","0,0816,+","","","","","0.0","6,0115","","","69.5","","69.5","0","1660.2",",0","0",",0","24.92","0","29.45","0","20.38","0","","","","","","","","","","","","","","","",""
"USW00012844","1949","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2361.7","","2361.7","0","133","0","84","0","0","","0","0","0","0","0","0","0","0","362","0","111","0","1.7","0,0102,","0",",0,1231,+","0","T,0,1223,","126.2",",0,0826,","35.6","0,0821,+","","","","","","","","","36.5","","36.5","0","1391.9",",0","0","T,0","24.67","0","29.67","0","19.68","0","","","","","","","","","","","","","","","",""
"USW00012844","1950","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2207.8","","2207.8","0","134","0","71","0","0","","0","0","0","0","0","0","0","0","349","0","91","0","2.2","0,1126,","0",",0,1231,+","0","T,0,0806,","68.8",",0,0809,","36.1","0,0728,+","","","","","","","","","51.6","","51.6","0","1319.8",",0","0","T,0","24.02","0","28.82","0","19.22","0","","","","","","","","","","","","","","","",""
"USW00012844","1951","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2224.8","","2224.8","0","117","0","68","0","0","","0","0","0","0","0","0","0","0","351","0","122","0","3.3","0,0203,+","0",",0,1231,+","0","T,0,0416,+","148.6",",0,1014,","35.6","0,0903,+","","","","","","","","","184.5","","184.5","0","1342.6",",0","0","T,0","24.05","0","29.08","0","19.03","0","","","","","","","","","","","","","","","",""
