"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00012867","1951","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1867.3","","1867.3","X","93","X","65","X","0","","0","X","0","X","0","X","0","X","321","X","28","X","2.2","X,0203,","0",",X,1231,+","0","T,X,0610,","91.7",",X,1116,","34.4","X,0617,","","","","","","","303.5","","303.5","X","1239.5",",X","0","T,X","22.85","X","26.41","X","19.29","X","","","",""
"USW00012867","1952","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1850.3","","1850.3","X","77","X","52","X","0","","0","X","0","X","0","X","0","X","319","X","12","X","3.3","X,1216,","0",",X,1231,+","0","T,X,0526,","97.3",",X,0927,","35.6","X,0612,","","","","","","","152.6","","152.6","X","932.9",",X","0","T,X","22.84","X","26.15","X","19.53","X","","","",""
"USW00012867","1953","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1891.3","","1891.3","X","120","X","83","X","0","","0","X","0","X","0","X","0","X","324","X","16","X","5.0","X,0104,","0",",X,1231,+","0",",X,1231,+","192.8",",X,1009,","35.0","X,0618,","","","","","","","194.0","","194.0","X","1631.7",",X","0",",X","23.07","X","26.24","X","19.91","X","","","",""
"USW00012867","1954","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1853.1","","1853.1","X","106","X","68","X","0","","0","X","0","X","0","X","0","X","314","X","24","X","2.8","X,1220,","0",",X,1231,+","0",",X,1231,+","75.9",",X,0618,","35.0","X,0828,+","","","","","","","180.6","","180.6","X","1264.6",",X","0",",X","22.73","X","26.18","X","19.27","X","","","",""
"USW00012867","1955","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1927.5","","1927.5","X","85","X","46","X","0","","0","X","0","X","0","X","0","X","322","X","16","X","2.2","X,0212,","0",",X,1231,+","0",",X,1231,+","74.2",",X,0908,","36.1","X,0811,","","","","","","","276.3","","276.3","X","763.5",",X","0",",X","23.02","X","26.50","X","19.55","X","","","",""
"USW00012867","1956","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1895.3","","1895.3","X","74","X","44","X","0","","0","X","0","X","0","X","0","X","313","X","21","X","1.1","X,0109,","0",",X,1231,+","0",",X,1231,+","155.7",",X,1015,","36.1","X,0807,","","","","","","","222.0","","222.0","X","940.6",",X","0",",X","22.80","X","26.35","X","19.25","X","","","",""
"USW00012867","1957","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1985.5","","1985.5","X","102","X","71","X","0","","0","X","0","X","1","X","0","X","336","X","22","X","-1.7","X,1212,","0",",X,1231,+","0",",X,1231,+","52.3",",X,0905,","35.6","X,0701,","-1.7","X,1212","","","","","150.2","","150.2","X","1161.2",",X","0",",X","23.40","X","26.57","X","20.22","X","","","",""
"USW00012867","1958","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1853.0","","1853.0","X","106","X","66","X","0","","0","X","0","X","4","X","0","X","286","X","17","X","0.0","X,0219,+","0",",X,1231,+","0",",X,1231,+","73.7",",X,0628,","36.1","X,0615,","","","","","0.0","X,0219","448.8","","448.8","X","1291.9",",X","0",",X","22.25","X","25.39","X","19.11","X","","","",""
"USW00012867","1959","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1915.7","","1915.7","X","130","X","79","X","0","","0","X","0","X","0","X","0","X","318","X","9","X","0.6","X,0117,","0",",X,1231,+","0",",X,1231,+","84.1",",X,0312,","33.9","X,0929,","","","","","","","189.9","","189.9","X","1486.8",",X","0",",X","22.96","X","26.19","X","19.74","X","","","",""
"USW00012867","1960","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1761.8","","1761.8","X","124","X","77","X","0","","0","X","0","X","0","X","0","X","303","X","4","X","1.7","X,0123,","0",",X,1231,+","0",",X,1231,+","116.3",",X,0923,","32.8","X,0912,+","","","","","","","326.3","","326.3","X","1415.3",",X","0",",X","22.19","X","25.51","X","18.88","X","","","",""
