"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES"
"USW00012883","1949","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1886.6","","1886.6","0","107","0","58","0","0","","0","0","0","0","0","0","0","0","350","0","82","0","1.1","0,0101,","0",",0,1231,+","0",",0,1231,+","152.9",",0,0827,","35.0","0,0730,+","","","","","","","","","","","","","","","","","101.9","","101.9","0","1180.2",",0","","","0",",0","23.08","0","28.28","0","17.89","0","",""
"USW00012883","1950","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1762.5","","1762.5","0","112","0","73","0","0","","0","0","0","0","1","0","0","0","321","0","80","0","-1.1","0,1126,","0",",0,1231,+","0",",0,1231,+","84.8",",0,0905,","36.1","0,0626,","-1.1","0,1126","","","","","","","","","","","","","","","188.8","","188.8","0","1113.1",",0","","","0",",0","22.31","0","27.48","0","17.13","0","",""
"USW00012883","1951","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","416.5","","416.5","0","","","","","","","","","","","","","",""
"USW00012883","1952","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1726.9","","1726.9","0","121","0","72","0","0","","0","0","0","0","0","0","0","0","317","0","86","0","1.1","0,1216,","0",",0,1231,+","0",",0,1231,+","84.3",",0,0315,","35.6","0,0626,+","","","","","","","","","","","","","","","","","","","","","1307.4",",0","","","0",",0","22.23","0","27.20","0","17.25","0","",""
"USW00012883","1953","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1803.7","","1803.7","0","142","0","86","0","0","","0","0","0","0","0","0","0","0","322","0","68","0","2.2","0,1218,","0",",0,1231,+","0",",0,1231,+","83.1",",0,1124,","36.1","0,0526,","","","","","","","","","","","","","","","","","258.6","","258.6","0","1515.7",",0","","","0",",0","22.58","0","27.37","0","17.79","0","",""
"USW00012883","1954","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1757.5","","1757.5","0","123","0","74","0","0","","0","0","0","0","0","0","0","0","319","0","71","0","1.1","0,1220,+","0",",0,1231,+","0",",0,1231,+","55.9",",0,0603,","36.1","0,0818,","","","","","","","","","","","","","","","","","304.3","","304.3","0","922.8",",0","","","0",",0","22.12","0","27.26","0","16.97","0","",""
"USW00012883","1955","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1804.4","","1804.4","0","104","0","70","0","0","","0","0","0","0","2","0","0","0","322","0","93","0","-1.1","0,0213,","0",",0,1231,+","0",",0,1231,+","50.8",",0,0909,","35.0","0,0510,+","","","","","","","","","-1.1","0,0213","","","","","","","377.7","","377.7","0","1119.8",",0","","","0",",0","22.39","0","27.67","0","17.10","0","",""
"USW00012883","1956","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1792.3","","1792.3","0","97","0","65","0","0","","0","0","0","0","1","0","0","0","320","0","87","0","0.0","0,0109,","0",",0,1231,+","0",",0,1231,+","59.9",",0,0918,","35.6","0,0805,+","","","","","","","","","0.0","0,0109","","","","","","","338.7","","338.7","0","1142.2",",0","","","0",",0","22.29","0","27.65","0","16.94","0","",""
"USW00012883","1958","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1758.9","","1758.9","0","112","0","78","0","0","","0","0","0","0","6","0","0","0","292","0","98","0","-2.2","0,0218,+","0",",0,1231,+","0","T,0,0108,","54.1",",0,0226,","35.6","0,0801,","","","","","","","","","-0.6","0,0219","-2.2","0,0218","","","","","","","","","1060.9",",0","","","0","T,0","21.64","0","26.51","0","16.76","0","",""
"USW00012883","1959","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1837.0","","1837.0","0","151","0","97","0","0","","0","0","0","0","1","0","0","0","313","0","63","0","-1.1","0,0117,","0",",0,1231,+","0",",0,1231,+","84.1",",0,0421,","36.1","0,0629,","","","","","","","","","-1.1","0,0117","","","","","","","290.8","","290.8","0","1784.8",",0","","","0",",0","22.46","0","27.19","0","17.73","0","",""
