"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00012888","1999","25.6475","-80.43306","3.0","MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US","3.2","W","2057.4","","2057.4","W","166","W","87","W","","","","","0","W","0","W","0","W","356","W","81","W","4.4","W,1227,","","","","","57.9",",W,1014,","36.1","W,0728,","","","73.9","","73.9","W","1203.4",",W","","","23.78","W","29.14","W","18.43","W","110","W","120","W","20.6","W","24.6","W"
"USW00012888","2000","25.6475","-80.43306","3.0","MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US","","","","","","","157","W","80","W","","","","","","","","","","","","","","","","","","","","","80.5",",W,0702,","","","","","","","","","1262.8",",W","","","","","","","","","","","320","W","","","20.1","W"
"USW00012888","2001","25.6475","-80.43306","3.0","MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US","3.4","W","2102.4","","2102.4","W","164","W","82","W","","","","","0","W","1","W","0","W","352","W","87","W","-1.1","W,0105,","","","","","93.5",",W,0805,","35.0","W,0814,+","-1.1","W,0105","163.7","","163.7","W","1564.3",",W","","","23.78","W","29.00","W","18.57","W","260","W","270","W","17.4","W","20.6","W"
"USW00012888","2002","25.6475","-80.43306","3.0","MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US","3.2","W","2212.4","","2212.4","W","154","W","76","W","","","","","0","W","0","W","0","W","351","W","69","W","3.9","W,0109,+","","","","","65.8",",W,0615,","35.0","W,0801,","","","64.6","","64.6","W","1245.6",",W","","","24.22","W","29.23","W","19.20","W","300","W","360","W","15.6","W","21.0","W"
"USW00012888","2003","25.6475","-80.43306","3.0","MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US","3.2","W","2201.4","","2201.4","W","176","W","99","W","","","","","0","W","0","W","0","W","345","W","74","W","1.7","W,0119,","","","","","65.0",",W,0929,","34.4","W,0807,","","","135.0","","135.0","W","1703.9",",W","","","23.99","W","29.16","W","18.82","W","310","W","300","W","15.6","W","18.3","W"
"USW00012888","2004","25.6475","-80.43306","3.0","MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US","3.7","W","","","","","139","W","74","W","","","","","","","","","","","","","","","","","","","","","96.0",",W,1015,","","","","","","","","","1195.4",",W","","","","","","","","","300","W","310","W","21.0","W","25.0","W"
"USW00012888","2005","25.6475","-80.43306","3.0","MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US","3.4","B","","","","","162","B","78","B","","","","","","","","","","","","","","","","","","","","","78.7",",B,0920,","","","","","","","","","1290.5",",B","","","","","","","","","90","B","360","B","45.1","B","65.7","B"
"USW00012888","2006","25.6475","-80.43306","3.0","MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US","3.4","W","2158.7","","2158.7","W","151","W","81","W","","","","","0","W","1","W","0","W","352","W","107","W","0.0","W,0108,","","","","","76.2",",W,0706,","35.6","W,0813,+","0.0","W,0108","","","","","1257.9",",W","","","23.90","W","29.22","W","18.58","W","290","W","280","W","17.4","W","27.7","W"
"USW00012888","2007","25.6475","-80.43306","3.0","MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US","3.6","W","2169.8","","2169.8","W","121","W","68","W","","","","","0","W","1","W","0","W","348","W","96","W","0.0","W,0219,","","","","","54.4",",W,0615,","36.1","W,0806,","0.0","W,0219","75.2","","75.2","W","1199.1",",W","","","24.24","W","29.26","W","19.22","W","290","W","290","W","21.0","W","22.8","W"
"USW00012888","2008","25.6475","-80.43306","3.0","MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US","3.7","W","2085.3","","2085.3","W","146","W","75","W","","","","","0","W","0","W","0","W","355","W","66","W","1.7","W,0103,","","","","","94.7",",W,0928,","35.0","W,0521,+","","","52.9","","52.9","W","1249.8",",W","","","23.93","W","28.84","W","19.03","W","340","W","330","W","16.5","W","21.0","W"
