"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00012907","1966","27.53333","-99.46667","150.6","LAREDO INTERNATIONAL AIRPORT, TX US","","","2258.8","","2258.8","X","68","X","35","X","0","","0","X","0","X","5","X","0","X","289","X","148","X","-2.8","X,0130,","0",",X,1231,+","0","T,X,0223,","58.9",",X,0907,","39.4","X,0818,+","-1.1","X,1211","-2.2","X,1212","-2.8","X,0130","-2.8","X,0130","522.4","","522.4","X","510.8",",X","0","T,X","22.77","X","28.05","X","17.49","X","","","","","","","",""
"USW00012907","1967","27.53333","-99.46667","150.6","LAREDO INTERNATIONAL AIRPORT, TX US","","","2152.1","","2152.1","X","61","X","32","X","2","","1","X","0","X","6","X","0","X","302","X","142","X","-1.1","X,0207,","25",",X,0110,+","122",",X,0109,","57.9",",X,0921,","41.1","X,0512,+","0.0","X,1223","","","0.0","X,0209","","","477.4","","477.4","X","563.0",",X","122",",X","22.70","X","28.40","X","17.00","X","","","","","","","",""
"USW00012907","1968","27.53333","-99.46667","150.6","LAREDO INTERNATIONAL AIRPORT, TX US","","","1946.9","","1946.9","X","","","","","","","","","0","X","3","X","0","X","289","X","129","X","-2.2","X,0113,","","","","","","","40.0","X,0813,","","","","","-0.6","X,0114","-2.2","X,0113","716.6","","716.6","X","","","","","21.82","X","27.33","X","16.31","X","","","","","","","",""
"USW00012907","1969","27.53333","-99.46667","150.6","LAREDO INTERNATIONAL AIRPORT, TX US","","","2307.5","","2307.5","X","66","X","38","X","0","","0","X","0","X","2","X","0","X","310","X","163","X","-1.7","X,0105,","0",",X,1231,+","0","T,X,0203,","57.4",",X,1027,","42.2","X,0624,+","-0.6","X,1120","","","-1.7","X,0105","","","445.6","","445.6","X","636.7",",X","0","T,X","23.42","X","29.19","X","17.66","X","","","","","","","",""
"USW00012907","1970","27.53333","-99.46667","150.6","LAREDO INTERNATIONAL AIRPORT, TX US","","","2025.5","","2025.5","X","58","X","33","X","0","","0","X","0","X","4","X","0","X","293","X","129","X","-2.8","X,0107,","0",",X,1231,+","0",",X,1231,+","54.1",",X,0923,","40.6","X,0904,","","","","","-0.6","X,0203","-2.8","X,0107","600.6","","600.6","X","445.4",",X","0",",X","22.31","X","28.00","X","16.63","X","","","","","","","",""
"USW00012907","2012","27.53333","-99.46667","150.6","LAREDO INTERNATIONAL AIRPORT, TX US","4.7","W","2815.1","","2815.1","W","33","W","20","W","0","","0","W","0","W","1","W","0","W","317","W","203","W","-0.5","W,0113,","0",",W,1231,+","0",",W,1231,+","59.2",",W,0929,","43.3","W,0626,","","","","","-0.5","W,0113","","","","","","","239.6",",W","0",",W","25.17","W","31.34","W","19.01","W","330","W","320","W","22.8","W","27.3","W"
"USW00012907","2013","27.53333","-99.46667","150.6","LAREDO INTERNATIONAL AIRPORT, TX US","","","2463.4","","2463.4","W","54","W","30","W","0","","0","W","0","W","0","W","0","W","315","W","172","W","1.1","W,1127,+","0",",W,1231,+","0",",W,1231,+","55.4",",W,0510,","43.3","W,0629,","","","","","","","","","297.7","","297.7","W","549.9",",W","0",",W","23.86","W","29.89","W","17.83","W","","","","","","","",""
"USW00012907","2014","27.53333","-99.46667","150.6","LAREDO INTERNATIONAL AIRPORT, TX US","","","2469.3","","2469.3","W","58","W","28","W","0","","0","W","0","W","4","W","0","W","306","W","177","W","-1.0","W,0212,+","0",",W,1231,+","0","T,W,0509,","56.6",",W,0523,","42.2","W,0612,","","","","","-1.0","W,0212","","","602.0","","602.0","W","422.3",",W","0","T,W","23.58","W","29.66","W","17.50","W","320","W","320","W","23.7","W","29.5","W"
"USW00012907","2015","27.53333","-99.46667","150.6","LAREDO INTERNATIONAL AIRPORT, TX US","","","2400.0","","2400.0","W","69","W","25","W","0","","0","W","0","W","0","W","0","W","306","W","167","W","0.6","W,0110,","0",",W,1231,+","0",",W,1231,+","93.5",",W,0530,","41.7","W,0810,+","","","","","","","","","602.7","","602.7","W","663.6",",W","0",",W","23.38","W","29.25","W","17.52","W","","","","","","","",""
"USW00012907","2016","27.53333","-99.46667","150.6","LAREDO INTERNATIONAL AIRPORT, TX US","4.4","W","2619.6","","2619.6","W","64","W","34","W","0","","0","W","0","W","1","W","0","W","322","W","190","W","0.0","W,1219,","0",",W,1231,+","0",",W,1231,+","88.1",",W,0925,","42.2","W,0812,+","0.0","W,1219","","","","","","","342.1","","342.1","W","622.9",",W","0",",W","24.59","W","30.75","W","18.43","W","190","W","","","14.8","W","",""
