"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00012916","1948","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","","","1614.5","","1614.5","X","124","X","86","X","0","","0","X","0","X","10","X","0","X","284","X","84","X","-6.1","X,0124,","0","T,X,0123,","0","T,X,0130,+","199.9",",X,0305,","36.1","X,0731,","","","","","","","","","","","-0.6","X,0131","-6.1","X,0124","-6.1","X,0124","","","","","","","","","1910.9",",X","","","0","T,X","20.72","X","25.78","X","15.65","X","","","","","","","","","","","","","","","","","",""
"USW00012916","1949","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","","","1643.0","","1643.0","X","118","X","76","X","0","","0","X","0","X","3","X","0","X","290","X","77","X","-1.7","X,0131,","0",",X,1231,+","0","T,X,0301,+","71.1",",X,0428,","35.6","X,0630,","","","","","","","","","","","0.0","X,0201","","","","","","","","","514.0","","514.0","X","1335.5",",X","","","0","T,X","21.29","X","26.18","X","16.40","X","","","","","","","","","","","","","","","","","",""
"USW00012916","1950","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","","","1526.8","","1526.8","X","117","X","73","X","0","","0","X","0","X","5","X","0","X","286","X","63","X","-3.3","X,1207,","0",",X,1231,+","0","T,X,1104,+","96.8",",X,0606,","35.6","X,0814,+","0.0","X,1125","-3.3","X,1207","","","","","","","","","","","","","","","","","522.4","","522.4","X","1280.8",",X","","","0","T,X","20.72","X","25.82","X","15.61","X","","","","","","","","","","","","","","","","","",""
"USW00012916","1951","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","","","1692.9","","1692.9","X","104","X","71","X","0","","0","X","0","X","9","X","0","X","292","X","96","X","-7.2","X,0203,+","0",",X,1231,+","0","T,X,1205,+","100.8",",X,0328,","37.8","X,0814,","-0.6","X,1119","","","","","","","","","-5.0","X,0204","-5.0","X,0204","-5.0","X,0204","-7.2","X,0203","","","811.9","","811.9","X","1279.4",",X","","","0","T,X","20.89","X","26.27","X","15.50","X","","","","","","","","","270","X","","","","","","","30.8","X"
"USW00012916","1952","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","","","1400.1","","1400.1","X","105","X","62","X","0","","0","X","0","X","2","X","0","X","278","X","70","X","-1.7","X,1216,","0",",X,1231,+","0",",X,1231,+","85.3",",X,1230,","35.6","X,0725,+","-1.1","X,1215","","","","","","","","","","","","","","","","","","","612.9","","612.9","X","1231.8",",X","","","0",",X","20.26","X","25.54","X","14.98","X","","","","","","","","","270","X","","","","","","","27.7","X"
"USW00012916","1953","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","","","1617.6","","1617.6","X","123","X","75","X","0","","0","X","0","X","4","X","0","X","279","X","91","X","-1.1","X,1226,","0",",X,1231,+","0","T,X,1225,+","157.0",",X,1119,","37.2","X,0619,","0.0","X,1215","","","","","","","","","0.0","X,0104","","","","","","","","","701.7","","701.7","X","1604.4",",X","","","0","T,X","20.90","X","25.93","X","15.86","X","","","","","","","","","180","X","","","","","","","24.6","X"
"USW00012916","1954","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","","","1558.2","","1558.2","X","99","X","65","X","0","","0","X","0","X","5","X","0","X","279","X","89","X","-1.7","X,1220,","0",",X,1231,+","0",",X,1231,+","90.9",",X,0916,","37.8","X,0630,","-1.1","X,1214","","","","","","","","","-0.6","X,0208","","","","","","","","","744.2","","744.2","X","1383.4",",X","","","0",",X","20.58","X","25.94","X","15.23","X","","","","","","","","","270","X","","","","","","","26.4","X"
"USW00012916","1955","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","","","1664.8","","1664.8","X","108","X","71","X","0","","0","X","0","X","7","X","0","X","275","X","71","X","-1.7","X,1216,","0",",X,1231,+","0","T,X,0328,+","90.2",",X,0904,","35.6","X,0823,","-1.7","X,1216","","","","","","","","","-1.1","X,0327","","","","","","","","","737.9","","737.9","X","1520.9",",X","","","0","T,X","20.84","X","25.90","X","15.79","X","","","","","","","","","315","X","","","","","","","27.2","X"
"USW00012916","1956","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","","","1544.3","","1544.3","X","97","X","64","X","0","","0","X","0","X","5","X","0","X","288","X","67","X","-1.1","X,1130,+","0",",X,1231,+","0",",X,1231,+","103.1",",X,0923,","35.6","X,0809,","0.0","X,1127","","","","","","","","","-0.6","X,0115","","","","","","","","","749.9","","749.9","X","1431.8",",X","","","0",",X","20.80","X","25.91","X","15.68","X","","","","","","","","","","","","","","","","","",""
"USW00012916","1957","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","","","1574.2","","1574.2","X","128","X","80","X","0","","0","X","0","X","5","X","0","X","285","X","64","X","-3.9","X,1212,","0",",X,1231,+","0",",X,1231,+","91.9",",X,0404,","36.1","X,0710,","0.0","X,1201","-3.9","X,1212","","","","","","","-3.3","X,0118","-3.3","X,0118","","","","","","","499.4","","499.4","X","1533.6",",X","","","0",",X","21.02","X","25.47","X","16.57","X","","","","","","","","","","","","","","","","","",""
