"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00012972","1998","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","","","1973.2","","1973.2","W","","","","","","","","","0","W","1","W","0","W","296","W","104","W","-0.6","W,1226,","","","","","","","36.7","W,0509,","-0.6","W,1226","","","","","","","","","474.9","","474.9","W","","","","","22.74","W","26.58","W","18.91","W","","","","","","","",""
"USW00012972","1999","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","","","","","","","101","W","35","W","","","","","","","","","","","","","","","","","","","","","108.0",",W,0620,","","","","","","","","","","","","","350.0","","350.0","W","795.7",",W","","","","","","","","","","","360","W","","","65.7","W"
"USW00012972","2000","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","","","2087.9","","2087.9","W","93","W","35","W","","","","","0","W","3","W","0","W","301","W","109","W","0.0","W,1219,+","","","","","152.9",",W,0314,","41.7","W,0905,","0.0","W,1212","","","","","","","","","","","","","710.0",",W","","","22.92","W","27.09","W","18.74","W","140","W","360","W","19.2","W","65.7","W"
"USW00012972","2001","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","4.6","W","1934.0","","1934.0","W","113","W","43","W","","","","","0","W","2","W","0","W","289","W","92","W","-1.1","W,0104,","","","","","101.3",",W,1116,","35.0","W,0806,","","","","","-1.1","W,0104","","","","","667.9","","667.9","W","726.8",",W","","","22.19","W","26.40","W","17.99","W","10","W","360","W","18.3","W","65.7","W"
"USW00012972","2002","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","4.7","W","1963.3","","1963.3","W","111","W","42","W","","","","","0","W","4","W","0","W","281","W","99","W","-5.6","W,0304,","","","","","118.4",",W,1024,","37.2","W,0807,","","","","","-5.6","W,0304","-5.6","W,0304","-5.6","W,0304","503.4","","503.4","W","1051.6",",W","","","22.23","W","26.45","W","18.00","W","320","W","360","W","21.5","W","65.7","W"
"USW00012972","2003","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","4.3","W","1858.2","","1858.2","W","127","W","45","W","","","","","0","W","1","W","0","W","291","W","82","W","0.0","W,0118,","","","","","97.5",",W,0920,","35.0","W,0815,+","","","","","0.0","W,0118","","","","","600.1","","600.1","W","889.9",",W","","","21.92","W","26.13","W","17.72","W","320","W","320","W","21.5","W","24.6","W"
"USW00012972","2004","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","4.4","W","2012.6","","2012.6","W","114","W","53","W","","","","","0","W","3","W","0","W","301","W","90","W","-3.3","W,1226,","","","","","185.2",",W,0508,","35.0","W,0801,+","-1.7","W,1224","-2.8","W,1225","","","","","","","412.7","","412.7","W","1188.7",",W","","","22.68","W","26.82","W","18.53","W","350","W","360","W","17.9","W","65.7","W"
"USW00012972","2005","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","4.4","B","2098.2","","2098.2","B","69","B","39","B","","","","","0","B","1","B","0","B","302","B","119","B","0.0","B,1208,","","","","","57.7",",B,1126,","39.4","B,0924,","0.0","B,1208","","","","","","","","","407.4","","407.4","B","481.3",",B","","","22.97","B","27.48","B","18.46","B","360","B","200","B","26.8","B","99.7","B"
"USW00012972","2006","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","4.5","W","","","","","65","W","37","W","","","","","","","","","","","","","","","","","","","","","140.7",",W,0601,","","","","","","","","","","","","","373.9","","373.9","W","750.8",",W","","","","","","","","","100","W","","","20.6","W","101.5","W"
"USW00012972","2007","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","4.1","W","1995.6","","1995.6","W","91","W","60","W","","","","","0","W","1","W","0","W","302","W","92","W","-0.5","W,0216,","","","","","105.4",",W,0704,","37.2","W,0813,","","","","","-0.5","W,0216","","","","","","","","","1091.1",",W","","","22.47","W","26.59","W","18.36","W","340","W","200","W","49.2","W","99.7","W"
"USW00012972","2008","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","4.4","W","2009.3","","2009.3","W","48","W","27","W","","","","","0","W","0","W","0","W","315","W","100","W","0.6","W,1210,","","","","","49.5",",W,0723,","37.8","W,0913,+","","","","","","","","","","","411.9","","411.9","W","369.7",",W","","","22.68","W","27.18","W","18.19","W","90","W","150","W","45.6","W","51.9","W"
"USW00012972","2009","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","4.4","W","2085.2","","2085.2","W","51","W","28","W","","","","","0","W","3","W","0","W","306","W","120","W","-2.7","W,1205,","","","","","181.1",",W,1119,","37.8","W,0830,","-2.7","W,1205","-2.7","W,1205","-0.5","W,0121","","","","","415.7","","415.7","W","640.7",",W","","","22.64","W","27.19","W","18.09","W","350","W","90","W","25.9","W","81.8","W"
"USW00012972","2010","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","","","","","","","62","W","34","W","","","","","","","","","","","","","","","","","","","","","72.6",",W,0907,","","","","","","","","","","","","","687.4","","687.4","W","611.7",",W","","","","","","","","","10","W","180","W","35.3","W","78.7","W"
"USW00012972","2011","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","4.5","W","2237.7","","2237.7","W","39","W","19","W","","","","","0","W","13","W","0","W","300","W","127","W","-3.8","W,0202,","","","","","41.9",",W,0512,","40.6","W,0903,","0.0","W,1128","","","0.0","W,0212","-3.2","W,0210","","","","","","","242.8",",W","","","22.98","W","27.37","W","18.59","W","360","W","30","W","16.5","W","68.8","W"
"USW00012972","2012","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","4.2","W","2197.9","","2197.9","W","62","W","29","W","0","","","","0","W","2","W","0","W","321","W","99","W","-1.0","W,0113,","0",",W,1231,+","","","99.8",",W,0416,","39.4","W,0829,+","","","","","0.0","W,0114","","","","","382.6","","382.6","W","623.3",",W","","","23.50","W","27.73","W","19.26","W","340","W","330","W","16.5","W","40.2","W"
"USW00012972","2013","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","4.5","W","1978.4","","1978.4","W","66","W","33","W","0","","","","0","W","1","W","0","W","298","W","103","W","0.0","W,1216,","0",",W,1231,+","","","71.1",",W,0826,","35.6","W,0701,+","0.0","W,1216","","","","","","","","","377.3","","377.3","W","523.2",",W","","","22.26","W","26.38","W","18.13","W","340","W","330","W","16.5","W","78.2","W"
"USW00012972","2014","28.08361","-97.04639","6.7","ROCKPORT ARANSAS CO AIRPORT, TX US","4.6","W","1972.9","","1972.9","W","59","W","30","W","0","","","","0","W","6","W","0","W","286","W","100","W","-0.5","W,0303,+","0",",W,1231,+","","","52.1",",W,0626,+","37.8","W,0428,","","","","","-0.5","W,0303","","","","","706.0","","706.0","W","416.9",",W","","","22.01","W","26.14","W","17.87","W","350","W","330","W","17.0","W","31.7","W"
