"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00012987","2005","26.5258","-98.0633","19.5","EDINBURG 17 NNE, TX US","2449.2","","2449.2","R","190","R","31","R","0","R","0","R","0","R","327","R","182","R","1.4","R,1208,","38.4",",R,1003,","40.9","R,0924,","","","","","","","","","","","303.3","","303.3","R","480.3",",R","24.23","R","30.73","R","17.72","R"
"USW00012987","2006","26.5258","-98.0633","19.5","EDINBURG 17 NNE, TX US","2486.6","","2486.6","R","86","R","35","R","0","R","2","R","0","R","340","R","185","R","-1.7","R,1201,","106.4",",R,0924,","41.7","R,0510,","-1.7","R,1201","","","-1.1","R,0212","","","","","284.0","","284.0","R","816.8",",R","24.29","R","30.81","R","17.76","R"
"USW00012987","2007","26.5258","-98.0633","19.5","EDINBURG 17 NNE, TX US","2226.3","","2226.3","R","75","R","42","R","0","R","4","R","0","R","321","R","157","R","-1.3","R,0216,","66.7",",R,0703,","36.4","R,0615,","-0.6","R,1216","","","-1.0","R,0305","","","","","440.8","","440.8","R","601.9",",R","23.25","R","29.35","R","17.16","R"
"USW00012987","2008","26.5258","-98.0633","19.5","EDINBURG 17 NNE, TX US","2239.1","","2239.1","R","57","R","33","R","0","R","3","R","0","R","335","R","152","R","-2.1","R,0103,","119.7",",R,0723,","39.7","R,0410,","-1.0","R,1211","","","-0.8","R,0120","","","","","316.6","","316.6","R","636.0",",R","23.48","R","29.88","R","17.07","R"
"USW00012987","2009","26.5258","-98.0633","19.5","EDINBURG 17 NNE, TX US","2436.1","","2436.1","R","55","R","28","R","0","R","5","R","0","R","323","R","181","R","-3.2","R,1205,","68.3",",R,1216,","41.2","R,0707,","-0.5","R,1204","-3.2","R,1205","-0.5","R,0203","","","","","318.2","","318.2","R","417.1",",R","23.99","R","30.64","R","17.34","R"
"USW00012987","2010","26.5258","-98.0633","19.5","EDINBURG 17 NNE, TX US","2118.7","","2118.7","R","60","R","39","R","0","R","6","R","0","R","319","R","149","R","-6.3","R,0109,","132.8",",R,0630,","39.2","R,0824,","-0.4","R,1127","-3.6","R,1226","-2.8","R,0110","-2.8","R,0110","-6.3","R,0109","505.4","","505.4","R","835.9",",R","22.86","R","29.18","R","16.55","R"
"USW00012987","2011","26.5258","-98.0633","19.5","EDINBURG 17 NNE, TX US","2534.4","","2534.4","R","37","R","17","R","0","R","10","R","0","R","327","R","201","R","-3.8","R,0205,","30.0",",R,0116,","40.6","R,0828,","-0.7","R,1128","","","-3.7","R,0211","-3.7","R,0211","","","399.8","","399.8","R","232.9",",R","24.19","R","30.94","R","17.44","R"
"USW00012987","2012","26.5258","-98.0633","19.5","EDINBURG 17 NNE, TX US","2664.0","","2664.0","R","52","R","25","R","0","R","2","R","0","R","337","R","192","R","-0.5","R,0113,","25.5",",R,0511,","41.2","R,0626,","","","","","-0.5","R,0113","","","","","288.3","","288.3","R","273.7",",R","24.98","R","31.36","R","18.60","R"
"USW00012987","2013","26.5258","-98.0633","19.5","EDINBURG 17 NNE, TX US","2314.5","","2314.5","R","72","R","33","R","0","R","0","R","0","R","322","R","152","R","0.1","R,1128,","63.9",",R,0428,","40.9","R,0629,","","","","","","","","","","","243.6","","243.6","R","633.4",",R","23.55","R","29.58","R","17.53","R"
"USW00012987","2014","26.5258","-98.0633","19.5","EDINBURG 17 NNE, TX US","2171.3","","2171.3","R","69","R","38","R","0","R","1","R","0","R","315","R","143","R","-0.3","R,0103,","70.6",",R,0913,","41.0","R,0427,","","","","","-0.3","R,0103","","","","","582.1","","582.1","R","752.1",",R","22.87","R","28.82","R","16.93","R"
"USW00012987","2015","26.5258","-98.0633","19.5","EDINBURG 17 NNE, TX US","2193.0","","2193.0","R","93","R","48","R","0","R","0","R","0","R","309","R","131","R","1.4","R,0124,","109.7",",R,0515,","38.8","R,0813,","","","","","","","","","","","498.2","","498.2","R","879.0",",R","23.09","R","28.59","R","17.58","R"
"USW00012987","2016","26.5258","-98.0633","19.5","EDINBURG 17 NNE, TX US","2588.0","","2588.0","R","62","R","30","R","0","R","2","R","0","R","338","R","190","R","-1.0","R,0205,","49.7",",R,0514,","40.4","R,0811,","","","","","-0.2","R,0207","","","","","301.3","","301.3","R","426.1",",R","24.70","R","31.12","R","18.29","R"
"USW00012987","2017","26.5258","-98.0633","19.5","EDINBURG 17 NNE, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162.3","","162.3","R","","","","","","","",""
