"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013714","1949","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","1044.9","","1044.9","X","108","0","79","0","0","","0","0","0","X","55","X","0","X","238","X","58","X","-6.1","X,0203,","0",",0,1231,+","0","T,0,0914,","111.3",",0,0828,","38.3","X,0727,+","-1.7","X,1106","-2.8","X,1119","-4.4","X,1123","","","","","0.0","X,0321","-2.8","X,0316","-4.4","X,0303","","","","","","","","","1070.9",",0","0","T,0","17.28","X","23.52","X","11.04","X","","","",""
"USW00013714","1950","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","1003.8","","1003.8","X","91","0","56","0","0","","0","X","0","X","77","X","1","X","225","X","50","X","-9.4","X,1221,+","0",",X,1231,+","3",",X,1125,","71.4",",0,0822,","37.8","X,0627,","-1.1","X,1106","-3.9","X,1113","-7.8","X,1125","-7.8","X,1125","-9.4","X,1126","-1.7","X,0416","-3.9","X,0414","-5.6","X,0317","-7.2","X,0227","","","1518.0","","1518.0","X","888.4",",0","3",",X","16.41","X","22.71","X","10.11","X","180","X","23.2","X"
"USW00013714","1951","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","1005.2","","1005.2","X","101","X","57","X","1","","0","X","0","X","71","X","2","X","233","X","69","X","-11.1","X,1217,","25",",X,0320,","10",",X,0209,","53.8",",X,0626,","38.9","X,0602,","-1.1","X,1103","-3.3","X,1109","-6.7","X,1119","-6.7","X,1119","-11.1","X,1217","-2.2","X,0327","-2.2","X,0327","-6.7","X,0211","-6.7","X,0211","-10.0","X,0204","1771.8","","1771.8","X","722.7",",X","10",",X","16.53","X","23.09","X","9.97","X","270","X","21.0","X"
"USW00013714","1952","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","1104.8","","1104.8","X","100","X","68","X","0","","0","X","0","X","62","X","0","X","219","X","80","X","-10.0","X,0131,","0",",X,1231,+","0","T,X,0315,+","109.5",",X,0831,","40.6","X,0722,+","-1.7","X,1021","-3.9","X,1022","-5.0","X,1108","-6.7","X,1215","","","0.0","X,0408","-2.2","X,0309","-4.4","X,0201","-10.0","X,0131","-10.0","X,0131","1581.0","","1581.0","X","1185.0",",X","0","T,X","16.76","X","23.12","X","10.40","X","180","X","30.4","X"
"USW00013714","1953","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","1100.2","","1100.2","X","109","X","75","X","0","","0","X","0","X","55","X","0","X","234","X","76","X","-11.7","X,1219,","0",",X,1231,+","0","T,X,1106,+","51.8",",X,0709,","38.3","X,0731,","-1.1","X,1107","-3.9","X,1127","-6.1","X,1129","-10.6","X,1218","-10.6","X,1218","-0.6","X,0421","-2.8","X,0219","-5.0","X,0126","","","","","1594.1","","1594.1","X","990.2",",X","0","T,X","17.18","X","23.86","X","10.50","X","248","X","24.6","X"
"USW00013714","1954","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","1179.1","","1179.1","X","90","X","66","X","0","","0","X","0","X","72","X","1","X","215","X","90","X","-9.4","X,0113,","0","T,X,1206,+","3",",X,0111,","129.0",",X,1015,","41.1","X,0627,","-1.1","X,1101","-3.9","X,1104","-4.4","X,1127","-7.8","X,1207","-8.9","X,1208","-2.2","X,0322","-2.2","X,0322","-6.7","X,0307","-6.7","X,0307","-8.9","X,0114","1609.7","","1609.7","X","1087.5",",X","3",",X","16.80","X","23.46","X","10.13","X","","","",""
"USW00013714","1955","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","1080.8","","1080.8","X","104","X","67","X","3","","3","X","0","X","72","X","1","X","231","X","58","X","-11.1","X,0213,","51",",X,0124,","53",",X,0124,+","100.1",",X,0817,","36.7","X,0718,+","-0.6","X,1105","-5.0","X,1129","-5.0","X,1129","-8.3","X,1213","","","-1.7","X,0330","-2.8","X,0328","-5.6","X,0327","-9.4","X,0214","-9.4","X,0214","1713.8","","1713.8","X","1233.4",",X","131",",X","16.55","X","22.57","X","10.53","X","","","",""
"USW00013714","1956","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","1044.3","","1044.3","X","107","X","78","X","0","","0","X","0","X","55","X","0","X","217","X","73","X","-6.1","X,0101,","0","T,X,0124,+","0","T,X,0124,+","47.8",",X,0411,","36.7","X,0806,+","-2.2","X,1119","-2.2","X,1119","-5.6","X,1125","","","","","0.0","X,0421","-2.2","X,0325","-4.4","X,0322","","","","","1788.9","","1788.9","X","1176.9",",X","0","T,X","16.88","X","22.79","X","10.98","X","","","",""
"USW00013714","1957","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","1068.6","","1068.6","X","122","X","88","X","0","","0","X","0","X","48","X","2","X","215","X","58","X","-10.6","X,1212,","0","T,X,0116,+","0","T,X,1211,+","81.5",",X,0929,","37.2","X,0801,","0.0","X,1028","-4.4","X,1111","-4.4","X,1111","-10.6","X,1212","-10.6","X,1212","-0.6","X,0311","-3.3","X,0222","-7.8","X,0120","-7.8","X,0120","-10.0","X,0119","1430.2","","1430.2","X","1426.6",",X","0","T,X","16.92","X","22.72","X","11.12","X","","","",""
"USW00013714","1958","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","1026.0","","1026.0","X","94","X","67","X","8","","2","X","0","X","65","X","3","X","201","X","62","X","-12.8","X,1216,","356",",X,1212,","584",",X,1211,","84.6",",X,1002,","37.2","X,0615,+","-3.9","X,1130","-3.9","X,1130","-5.0","X,1201","-7.2","X,1211","-10.0","X,1212","-0.6","X,0323","-5.6","X,0221","-5.6","X,0221","-10.0","X,0219","-10.0","X,0219","1890.8","","1890.8","X","1463.5",",X","658",",X","15.72","X","21.48","X","9.95","X","","","",""
"USW00013714","1959","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","1183.3","","1183.3","X","117","X","80","X","0","","0","X","0","X","61","X","2","X","213","X","60","X","-11.1","X,0118,","0",",X,1231,+","0","T,X,1129,+","99.1",",X,0412,","38.3","X,0630,+","-0.6","X,1110","-3.3","X,1118","-4.4","X,1119","","","","","-2.2","X,0329","-2.2","X,0329","-4.4","X,0222","-8.3","X,0221","-8.9","X,0119","1704.0","","1704.0","X","1544.5",",X","0","T,X","17.05","X","22.93","X","11.16","X","","","",""
"USW00013714","1960","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","1078.6","","1078.6","X","89","X","72","X","6","","2","X","0","X","75","X","3","X","217","X","68","X","-10.0","X,1214,","203",",X,0310,","203",",X,0309,","78.0",",X,0727,","37.2","X,0624,","0.0","X,1107","-4.4","X,1108","-4.4","X,1108","-7.8","X,1203","-8.9","X,1213","-0.6","X,0411","-2.2","X,0323","-5.6","X,0314","-6.7","X,0309","-8.9","X,0306","1848.9","","1848.9","X","1219.5",",X","284",",X","15.95","X","21.96","X","9.94","X","","","",""
"USW00013714","1961","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","984.5","","984.5","X","117","X","84","X","5","","1","X","0","X","56","X","4","X","216","X","51","X","-10.6","X,0122,","51",",X,0128,+","41",",X,0126,","73.7",",X,0722,","35.0","X,0731,+","0.0","X,1028","-2.2","X,1122","-5.0","X,1129","-6.7","X,1229","","","-1.1","X,0317","-2.2","X,0211","-6.7","X,0206","-6.7","X,0206","-10.6","X,0122","1828.4","","1828.4","X","1229.5",",X","67",",X","16.29","X","22.22","X","10.35","X","","","",""
"USW00013714","1962","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","1027.8","","1027.8","X","116","X","80","X","4","","1","X","0","X","58","X","4","X","215","X","43","X","-13.3","X,1213,","25",",X,0113,+","43",",X,0110,","131.1",",X,1109,","38.3","X,0715,","0.0","X,1025","-3.9","X,1027","-5.0","X,1210","-8.9","X,1212","-8.9","X,1212","-1.1","X,0319","-3.9","X,0303","-6.7","X,0211","-6.7","X,0211","-10.6","X,0114","1686.4","","1686.4","X","1258.6",",X","54",",X","16.16","X","21.67","X","10.65","X","","","",""
"USW00013714","1963","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","871.5","","871.5","X","111","X","81","X","2","","1","X","0","X","72","X","1","X","214","X","40","X","-10.6","X,0129,+","51",",X,0227,","38",",X,0226,","112.5",",X,1106,","36.7","X,0610,","-0.6","X,1104","-3.3","X,1204","-5.6","X,1215","-7.8","X,1217","-9.4","X,1221","-0.6","X,0323","-10.0","X,0227","-10.0","X,0227","-10.0","X,0227","-10.0","X,0227","1837.0","","1837.0","X","1191.0",",X","38",",X","15.57","X","21.39","X","9.76","X","","","",""
"USW00013714","1964","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","757.4","","757.4","X","109","X","85","X","0","","0","X","0","X","56","X","0","X","205","X","10","X","-9.4","X,0115,","0",",X,1231,+","0","T,X,1130,+","89.9",",X,1005,","36.1","X,0615,","-0.6","X,1012","-3.9","X,1122","-6.1","X,1123","-6.7","X,1202","","","0.0","X,0410","-5.6","X,0331","-5.6","X,0331","-9.4","X,0115","-9.4","X,0115","1844.9","","1844.9","X","1610.5",",X","0","T,X","15.60","X","21.34","X","9.87","X","100","X","24.2","X"
"USW00013714","1965","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","932.0","","932.0","X","107","X","70","X","4","","3","X","0","X","68","X","3","X","208","X","39","X","-9.4","X,0201,+","76",",X,0117,","61",",X,0115,","97.3",",X,0728,","35.0","X,0629,","-0.6","X,1029","-2.8","X,1030","-5.0","X,1201","","","","","-0.6","X,0322","-3.9","X,0321","-5.6","X,0227","-8.3","X,0205","-9.4","X,0201","1703.1","","1703.1","X","1091.6",",X","158",",X","16.09","X","21.91","X","10.27","X","","","",""
"USW00013714","1966","35.17389","-79.00889","66.4","FAYETTEVILLE POPE AFB, NC US","845.6","","845.6","X","120","X","76","X","9","","3","X","0","X","75","X","3","X","210","X","35","X","-11.1","X,0131,+","178",",X,0127,","119",",X,0126,","57.7",",X,0729,","37.8","X,0711,","0.0","X,1031","-3.3","X,1104","-6.7","X,1204","-6.7","X,1204","","","-0.6","X,0411","-3.9","X,0329","-4.4","X,0310","-7.8","X,0206","-11.1","X,0131","1879.6","","1879.6","X","1083.7",",X","264",",X","15.31","X","21.09","X","9.53","X","230","X","25.7","X"
