"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013773","1946","38.50362","-77.30503","3.0","QUANTICO MCAS, VA US","","","566.2","","566.2","X","118","X","72","X","","","","","0","X","69","X","3","X","193","X","16","X","-13.9","X,0128,","","","","","45.7",",X,0806,","34.4","X,0708,","-1.1","X,1113","-2.2","X,1116","-5.6","X,1202","-10.0","X,1203","-10.0","X,1203","0.0","X,0411","-2.2","X,0310","-8.3","X,0216","-8.3","X,0216","-13.9","X,0128","2255.0","","2255.0","X","806.2",",X","","","14.12","X","19.72","X","8.52","X","","","","","","","","","","","",""
"USW00013773","1947","38.50362","-77.30503","3.0","QUANTICO MCAS, VA US","","","726.9","","726.9","X","111","X","69","X","","","6","X","0","X","100","X","5","X","177","X","26","X","-14.4","X,0224,","","","127",",X,0220,","40.9",",X,0820,","36.1","X,0815,","-0.6","X,1110","-2.2","X,1113","-6.7","X,1201","-6.7","X,1201","","","-0.6","X,0404","-6.7","X,0327","-6.7","X,0327","-6.7","X,0327","-10.0","X,0228","2305.3","","2305.3","X","763.5",",X","381",",X","13.15","X","18.55","X","7.75","X","","","","","","","","","","","",""
"USW00013773","1948","38.50362","-77.30503","3.0","QUANTICO MCAS, VA US","","","","","","","141","X","100","X","","","4","X","1","X","83","X","14","X","169","X","28","X","-17.8","X,0126,","","","102",",X,0124,","73.4",",X,0819,","36.7","X,0829,+","-1.1","X,1019","-3.3","X,1202","-6.1","X,1211","-8.9","X,1225","-8.9","X,1225","-0.6","X,0418","-3.3","X,0329","-5.6","X,0314","-7.8","X,0313","-10.0","X,0306","","","","","1351.1",",X","237",",X","13.34","X","18.82","X","7.87","X","","","","","270","X","","","","","25.2","X"
"USW00013773","1949","38.50362","-77.30503","3.0","QUANTICO MCAS, VA US","","","769.3","","769.3","X","135","X","86","X","1","","0","X","0","X","72","X","0","X","174","X","28","X","-10.6","X,1217,","25",",X,0131,","10",",X,0131,","49.0",",X,0818,","37.2","X,0811,","-3.3","X,1106","-3.3","X,1106","-5.6","X,1122","-7.2","X,1209","-10.6","X,1217","-0.6","X,0321","-4.4","X,0319","-4.4","X,0319","-7.2","X,0203","","","2144.7","","2144.7","X","975.3",",X","15",",X","14.44","X","19.94","X","8.95","X","","","","","135","X","","","","","33.9","X"
"USW00013773","1950","38.50362","-77.30503","3.0","QUANTICO MCAS, VA US","","","567.7","","567.7","X","133","X","80","X","4","","4","X","0","X","93","X","6","X","175","X","21","X","-12.2","X,1228,+","508",",X,1211,","203",",X,0316,","80.0",",X,0909,","36.1","X,0624,","0.0","X,1105","-3.3","X,1113","-6.1","X,1122","-8.3","X,1125","-8.9","X,1126","-1.1","X,0416","-4.4","X,0414","-4.4","X,0414","-8.3","X,0310","-10.6","X,0304","2240.6","","2240.6","X","973.4",",X","391",",X","13.22","X","18.80","X","7.64","X","","","","","440","X","","","","","26.2","X"
"USW00013773","1951","38.50362","-77.30503","3.0","QUANTICO MCAS, VA US","","","","","","","112","X","86","X","1","","2","X","0","X","96","X","9","X","177","X","43","X","-15.6","X,1217,","25",",X,0207,","130",",X,1218,","67.3",",X,0622,","37.2","X,0602,","-3.3","X,1103","-3.3","X,1103","-4.4","X,1109","-8.3","X,1121","-11.1","X,1216","-0.6","X,0418","-3.9","X,0327","-5.6","X,0210","-10.0","X,0209","-10.0","X,0209","2473.6","","2473.6","X","1074.1",",X","181",",X","13.63","X","19.43","X","7.84","X","","","","","","","","","","","",""
"USW00013773","1953","38.50362","-77.30503","3.0","QUANTICO MCAS, VA US","","","770.7","","770.7","X","122","X","71","X","1","","1","X","0","X","77","X","2","X","183","X","44","X","-12.2","X,1219,","127",",X,1107,","424",",X,1106,","87.4",",X,1029,","38.3","X,0830,","-1.1","X,1106","-3.9","X,1129","-7.2","X,1217","-7.2","X,1217","-11.1","X,1218","-0.6","X,0422","-2.8","X,0310","-4.4","X,0302","-8.3","X,0218","","","2315.5","","2315.5","X","1134.9",",X","457",",X","14.40","X","20.17","X","8.64","X","","","","","203","X","","","","","23.6","X"
"USW00013773","1954","38.50362","-77.30503","3.0","QUANTICO MCAS, VA US","","","812.5","","812.5","X","104","X","61","X","9","","3","X","0","X","95","X","8","X","181","X","34","X","-11.7","X,0118,","102",",X,0123,","102",",X,0122,","61.0",",X,0718,","40.6","X,0907,","-1.7","X,1101","-2.2","X,1107","-5.6","X,1203","-6.7","X,1207","-10.0","X,1208","0.0","X,0410","-2.2","X,0404","-6.7","X,0307","-6.7","X,0307","-9.4","X,0213","2277.7","","2277.7","X","746.8",",X","183",",X","14.01","X","19.68","X","8.33","X","","","","","","","","","","","",""
"USW00013773","1955","38.50362","-77.30503","3.0","QUANTICO MCAS, VA US","","","782.3","","782.3","X","101","X","65","X","2","","3","X","0","X","94","X","11","X","185","X","33","X","-15.6","X,0131,","51",",X,0212,","61",",X,0211,","111.5",",X,0812,","36.7","X,0820,","-2.2","X,1106","-2.2","X,1106","-4.4","X,1127","-10.6","X,1129","-10.6","X,1129","-3.9","X,0329","-3.9","X,0329","-5.6","X,0328","-13.3","X,0214","-13.3","X,0214","2396.8","","2396.8","X","1008.1",",X","116",",X","13.74","X","19.05","X","8.44","X","","","","","","","","","","","",""
"USW00013773","1956","38.50362","-77.30503","3.0","QUANTICO MCAS, VA US","","","665.0","","665.0","X","125","X","78","X","0","","0","X","0","X","71","X","1","X","158","X","31","X","-8.9","X,0127,+","0","T,X,1227,+","18",",X,0318,+","50.3",",X,0927,","35.0","X,0828,+","-0.6","X,1111","-3.9","X,1123","-8.3","X,1124","-8.3","X,1124","","","0.0","X,0421","-2.8","X,0401","-5.0","X,0322","-7.2","X,0301","-8.9","X,0127","2547.8","","2547.8","X","986.7",",X","54",",X","13.67","X","18.75","X","8.59","X","","","","","","","","","","","",""
