"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES"
"USW00013861","1981","31.25","-82.4","43.3","WAYCROSS WARE CO AIRPORT, GA US","","","1351.3","","1351.3","0","93","0","65","0","0","","0","0","0","0","46","0","0","0","268","0","108","0","-10.6","0,0113,","0",",0,1231,+","0",",0,1231,+","69.9",",0,1105,","40.0","0,0717,+","0.0","0,1115","-2.8","0,1122","-5.6","0,1212","-6.7","0,1219","","","0.0","0,0315","-5.0","0,0212","-5.0","0,0212","-10.6","0,0113","-10.6","0,0113","1166.1","","1166.1","0","876.6",",0","0",",0","19.01","0","25.99","0","12.03","0","","","",""
"USW00013861","1983","31.25","-82.4","43.3","WAYCROSS WARE CO AIRPORT, GA US","","","1238.3","","1238.3","0","115","0","82","0","","","0","0","0","0","25","0","1","0","251","0","79","0","-12.2","0,1225,","","","0",",0,1231,+","84.3",",0,0423,","37.2","0,0820,+","0.0","0,1118","-2.2","0,1208","-8.9","0,1224","-8.9","0,1224","-8.9","0,1224","-2.2","0,0209","-2.2","0,0209","-4.4","0,0117","","","","","962.8","","962.8","0","1524.1",",0","0",",0","18.57","0","24.75","0","12.38","0","","","",""
"USW00013861","1984","31.25","-82.4","43.3","WAYCROSS WARE CO AIRPORT, GA US","2.7","X","1283.8","","1283.8","0","100","0","55","0","0","","0","0","0","0","24","0","0","0","280","0","81","0","-5.6","0,0101,","0",",0,1231,+","0",",0,1231,+","95.5",",0,0928,","36.7","0,0621,","-1.1","X,1113","-2.2","X,1114","-4.4","0,1207","","","","","-1.1","0,0310","-2.8","0,0301","-4.4","0,0208","","","","","1005.0","","1005.0","0","1102.8",",0","0",",0","19.39","0","26.03","0","12.76","0","","","",""
"USW00013861","1985","31.25","-82.4","43.3","WAYCROSS WARE CO AIRPORT, GA US","","","1337.6","","1337.6","0","126","0","81","0","0","","0","0","0","0","40","0","1","0","282","0","50","0","-16.1","0,0121,","0",",0,1231,+","0","T,0,0120,","87.4",",0,1027,","38.3","0,0604,","0.0","0,1215","-2.2","0,1222","-6.7","0,1226","-6.7","0,1226","","","0.0","0,0319","-2.2","0,0217","-7.8","0,0127","-7.8","0,0127","-10.6","0,0122","911.5","","911.5","0","1435.4",",0","0","T,0","19.40","0","25.46","0","13.34","0","","","",""
"USW00013861","1986","31.25","-82.4","43.3","WAYCROSS WARE CO AIRPORT, GA US","2.2","X","1740.7","","1740.7","0","101","0","63","0","0","","0","0","0","0","13","0","0","0","286","0","129","0","-7.8","0,0128,","0",",0,1231,+","0",",0,1231,+","79.5",",0,1118,","41.1","0,0720,","","","","","","","","","","","0.0","0,0323","-7.8","0,0128","-7.8","0,0128","-7.8","0,0128","","","769.8","","769.8","0","1174.0",",0","0",",0","21.10","0","27.21","0","15.00","0","","","",""
"USW00013861","1987","31.25","-82.4","43.3","WAYCROSS WARE CO AIRPORT, GA US","2.6","X","1349.8","","1349.8","0","104","0","71","0","0","","0","0","0","0","15","0","0","0","263","0","92","0","-2.8","0,1218,+","0",",0,1231,+","0",",0,1231,+","94.0",",0,0728,","39.4","0,0723,","0.0","0,1112","-2.2","0,1122","","","","","","","-1.7","0,0210","-2.8","0,0127","","","","","","","855.0","","855.0","0","1075.5",",0","0",",0","19.35","0","25.50","0","13.19","0","","","",""
"USW00013861","1988","31.25","-82.4","43.3","WAYCROSS WARE CO AIRPORT, GA US","2.7","X","1246.2","","1246.2","0","100","0","61","0","1","","0","0","0","0","34","0","0","0","270","0","81","0","-6.1","0,0101,","25",",0,0118,","0","T,0,0206,","64.0",",0,0916,","38.3","0,0624,","0.0","0,1129","-2.8","0,1203","-4.4","0,1213","","","","","-0.6","0,0317","-2.8","0,0213","-5.6","0,0207","","","","","1032.6","","1032.6","0","1085.4",",0","0","T,0","18.90","0","25.23","0","12.56","0","","","",""
"USW00013861","1989","31.25","-82.4","43.3","WAYCROSS WARE CO AIRPORT, GA US","2.8","X","1393.9","","1393.9","0","114","0","73","0","1","","1","0","0","0","20","0","1","0","286","0","76","0","-9.4","0,1224,","25",",0,1224,","38",",0,1223,","58.2",",0,1208,","36.1","0,0806,+","0.0","0,1117","-3.9","0,1204","-7.2","0,1223","-7.2","0,1223","-9.4","0,1224","0.0","0,0226","-4.4","0,0225","-4.4","0,0225","","","","","753.7","","753.7","0","1049.2",",0","41",",0","19.64","0","25.75","0","13.53","0","","","",""
"USW00013861","1990","31.25","-82.4","43.3","WAYCROSS WARE CO AIRPORT, GA US","2.9","X","1516.1","","1516.1","0","89","0","48","0","0","","0","0","0","0","8","0","0","0","303","0","115","0","-2.8","0,0114,","0",",0,1231,+","0",",0,1231,+","131.1",",0,0802,","40.6","0,0707,","-1.1","0,1205","","","","","","","","","-1.1","0,0127","-2.8","0,0114","","","","","","","859.8","","859.8","0","1035.9",",0","0",",0","20.70","0","27.23","0","14.17","0","80","X","10.7","X"
"USW00013861","1991","31.25","-82.4","43.3","WAYCROSS WARE CO AIRPORT, GA US","2.7","X","1454.4","","1454.4","0","127","0","88","0","0","","0","0","0","0","17","0","0","0","281","0","76","0","-5.6","0,0216,","0",",0,1231,+","0","T,0,0116,","82.0",",0,0302,","35.6","0,0914,","0.0","0,1105","-3.3","0,1217","","","","","","","-1.7","0,0217","-5.6","0,0216","-5.6","0,0216","","","","","723.1","","723.1","0","1547.8",",0","0","T,0","20.07","0","25.61","0","14.54","0","210","X","13.0","X"
