"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013867","1926","39.2811","-81.5572","189.0","PARKERSBURG, WV US","604.6","","604.6","0","159","0","94","0","","","11","0","1","0","105","0","26","0","158","0","21","0","-20.6","0,0129,","","","130",",0,0122,","47.2",",0,0612,","37.2","0,0721,","0.0","0,1104","-2.2","0,1110","-4.4","0,1111","-6.7","0,1112","-8.9","0,1215","0.0","0,0427","-3.9","0,0420","-4.4","0,0317","-6.7","0,0314","-8.9","0,0306","","","","","1168.4",",0","","","818",",0","11.81","0","16.95","0","6.67","0","","","","","",""
"USW00013867","1927","39.2811","-81.5572","189.0","PARKERSBURG, WV US","495.8","","495.8","0","157","0","95","0","","","6","0","1","0","77","0","19","0","175","0","17","0","-17.8","0,0116,","","","86",",0,0220,","35.6",",0,0808,","34.4","0,0713,+","-2.2","0,1106","-2.2","0,1106","-10.0","0,1208","-10.0","0,1208","-10.0","0,1208","-0.6","0,0425","-2.2","0,0329","-5.0","0,0305","-7.2","0,0211","-11.7","0,0127","2633.8","","2633.8","0","1024.1",",0","","","382",",0","12.93","0","18.31","0","7.55","0","","","","","",""
"USW00013867","1928","39.2811","-81.5572","189.0","PARKERSBURG, WV US","554.3","","554.3","0","139","0","80","0","6","","2","0","0","0","98","0","13","0","156","0","17","0","-16.7","0,0102,","102",",0,0318,","119",",0,0318,","41.9",",0,0824,","34.4","0,0720,","-1.1","0,1029","-3.9","0,1030","-5.0","0,1125","-7.8","0,1206","-10.0","0,1221","-0.6","0,0426","-2.8","0,0416","-5.0","0,0307","-7.8","0,0306","-8.9","0,0221","2675.7","","2675.7","0","941.0",",0","","","279",",0","12.21","0","17.42","0","6.99","0","","","","","",""
"USW00013867","1929","39.2811","-81.5572","189.0","PARKERSBURG, WV US","534.5","","534.5","0","167","0","100","0","24","","10","0","1","0","92","0","32","0","164","0","22","0","-20.0","0,0114,","203",",0,1223,","211",",0,1223,","48.5",",0,0907,","33.9","0,0728,+","0.0","0,1106","-2.2","0,1121","-5.0","0,1122","-13.3","0,1129","-13.3","0,1129","-0.6","0,0419","-5.6","0,0311","-5.6","0,0311","-11.1","0,0310","-11.1","0,0310","2706.2","","2706.2","0","1071.0",",0","","","870",",0","12.17","0","17.56","0","6.77","0","","","","","",""
"USW00013867","1930","39.2811","-81.5572","189.0","PARKERSBURG, WV US","720.9","","720.9","0","115","0","61","0","14","","6","0","1","0","97","0","26","0","179","0","46","0","-17.8","0,0119,","76",",0,0302,+","102",",0,0118,","25.7",",0,0307,","40.0","0,0728,","-2.2","0,1020","-2.2","0,1020","-5.0","0,1022","-7.8","0,1107","-13.3","0,1127","0.0","0,0425","-2.8","0,0331","-5.0","0,0323","-6.7","0,0322","-10.6","0,0303","2611.8","","2611.8","0","500.9",",0","","","407",",0","13.02","0","18.82","0","7.21","0","","","","","",""
"USW00013867","1931","39.2811","-81.5572","189.0","PARKERSBURG, WV US","745.2","","745.2","0","150","0","80","0","4","","4","0","0","0","74","0","5","0","172","0","44","0","-10.0","0,0211,+","25",",0,0311,+","74",",0,0209,","37.3",",0,0925,","37.2","0,0701,","-0.6","0,1019","-3.3","0,1107","-4.4","0,1126","","","","","-1.1","0,0321","-3.3","0,0313","-4.4","0,0310","-7.8","0,0214","-10.0","0,0211","2790.4","","2790.4","0","966.2",",0","","","244",",0","13.73","0","18.93","0","8.53","0","","","","","",""
"USW00013867","1932","39.2811","-81.5572","189.0","PARKERSBURG, WV US","617.0","","617.0","0","135","0","79","0","17","","3","0","1","0","90","0","18","0","170","0","24","0","-19.4","0,1216,","76",",0,1217,+","69",",0,1210,","38.4",",0,0710,","36.7","0,0901,","-1.7","0,1102","-2.2","0,1113","-5.0","0,1122","-9.4","0,1127","-9.4","0,1127","-0.6","0,0418","-2.2","0,0415","-4.4","0,0316","-8.9","0,0315","-8.9","0,0315","2203.9","","2203.9","0","864.2",",0","","","237",",0","13.06","0","18.81","0","7.31","0","","","","","",""
"USW00013867","1933","39.2811","-81.5572","189.0","PARKERSBURG, WV US","703.6","","703.6","0","139","0","88","0","14","","6","0","1","0","85","0","16","0","171","0","34","0","-18.9","0,0209,","76",",0,1229,+","86",",0,1226,","48.3",",0,0802,","36.7","0,0722,+","0.0","0,1014","-2.2","0,1026","-7.8","0,1115","-7.8","0,1115","-11.7","0,1116","-1.1","0,0329","-3.3","0,0316","-5.0","0,0312","-10.0","0,0311","-10.0","0,0311","2539.5","","2539.5","0","1043.8",",0","","","370",",0","13.37","0","18.81","0","7.94","0","","","","","",""
"USW00013867","1934","39.2811","-81.5572","189.0","PARKERSBURG, WV US","766.1","","766.1","0","117","0","68","0","19","","8","0","3","0","119","0","24","0","181","0","41","0","-21.7","0,0209,","178",",0,0226,","102",",0,0225,","39.9",",0,0622,","39.4","0,0726,+","-0.6","0,1014","-2.2","0,1030","-4.4","0,1102","-7.2","0,1115","-10.6","0,1211","-2.8","0,0428","-2.8","0,0428","-5.6","0,0328","-7.2","0,0325","-9.4","0,0319","2823.5","","2823.5","0","729.0",",0","","","623",",0","12.57","0","18.54","0","6.61","0","","","","","",""
"USW00013867","1935","39.2811","-81.5572","189.0","PARKERSBURG, WV US","551.6","","551.6","0","156","0","97","0","20","","6","0","5","0","90","0","26","0","160","0","22","0","-20.0","0,0128,","229",",0,1230,","109",",0,0122,","89.4",",0,0801,","34.4","0,0803,+","0.0","0,1005","-4.4","0,1123","-4.4","0,1123","-7.2","0,1124","-12.8","0,1220","-1.1","0,0418","-5.0","0,0416","-5.0","0,0416","-8.9","0,0228","-8.9","0,0228","2624.2","","2624.2","0","1279.4",",0","","","567",",0","12.19","0","17.43","0","6.95","0","","","","","",""
