"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00014737","1948","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","441.5","","441.5","0","137","0","89","0","65","","12","0","11","0","125","0","44","0","139","0","19","0","-22.8","0,0131,","356",",0,0126,+","218",",0,0222,","45.0",",0,0805,","37.2","0,0826,","0.0","0,1016","-3.9","0,1019","-6.1","0,1202","-10.6","0,1220","-10.6","0,1220","-3.9","X,0418","-3.9","X,0418","-5.6","X,0329","-8.3","X,0314","-10.0","X,0313","","","","","1105.4",",0","1346",",0","10.31","0","16.20","0","4.43","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1949","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","608.5","","608.5","0","131","0","85","0","17","","7","0","0","0","116","0","10","0","157","0","35","0","-17.2","0,0203,","102",",0,0201,+","147",",0,0131,","73.9",",0,0905,","38.9","0,0704,","-1.1","0,1027","-2.8","0,1028","-7.2","0,1122","-7.2","0,1122","-9.4","0,1126","-1.1","0,0429","-2.8","0,0405","-5.0","0,0321","-14.4","0,0320","-14.4","0,0320","2922.8","","2922.8","0","1009.4",",0","450",",0","11.93","0","17.88","0","5.98","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1950","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","354.0","","354.0","0","148","0","76","0","15","","6","0","2","0","129","0","23","0","146","0","15","0","-22.2","0,1228,","51",",0,1228,+","102",",0,1215,","69.9",",0,0910,","34.4","0,0731,+","-0.6","0,1016","-3.3","0,1027","-4.4","0,1112","-6.7","0,1126","-10.6","0,1218","-1.1","0,0422","-2.8","0,0416","-5.0","0,0414","-7.2","0,0320","-9.4","0,0307","3134.6","","3134.6","0","1036.5",",0","458",",0","10.29","0","15.78","0","4.80","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1951","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","365.7","","365.7","0","122","0","81","0","32","","5","0","3","0","118","0","24","0","146","0","5","0","-18.9","0,1220,+","229",",0,1219,+","137",",0,1218,+","66.0",",0,0728,","33.3","0,0517,","-0.6","0,1013","-4.4","0,1103","-4.4","0,1103","-7.2","0,1104","-8.9","0,1127","0.0","0,0421","-6.7","0,0327","-6.7","0,0327","-6.7","0,0327","-12.2","0,0211","3168.8","","3168.8","0","1386.7",",0","602",",0","10.53","0","15.97","0","5.09","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1952","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","446.7","","446.7","0","121","0","93","0","6","","6","0","0","0","126","0","8","0","146","0","19","0","-15.6","0,0130,","127",",0,1203,","91",",0,1202,","105.4",",0,0709,","37.2","0,0626,","-0.6","0,1020","-3.9","0,1021","-4.4","0,1026","-7.2","0,1201","-9.4","0,1227","-1.7","0,0412","-2.8","0,0330","-5.0","0,0316","-6.7","0,0315","-11.1","0,0302","3180.9","","3180.9","0","1719.6",",0","400",",0","11.01","0","16.44","0","5.59","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1953","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","452.5","","452.5","0","119","0","84","0","16","","6","0","0","0","117","0","15","0","145","0","25","0","-11.7","0,1218,","152",",0,1107,","86",",0,1107,","68.1",",0,1206,","37.2","0,0903,+","-1.1","0,1009","-3.9","0,1106","-6.1","0,1109","-11.1","0,1217","-11.1","0,1217","-0.6","0,0422","-2.2","0,0321","-7.8","0,0311","-7.8","0,0311","-10.6","0,0309","3006.9","","3006.9","0","1394.7",",0","406",",0","11.55","0","17.26","0","5.84","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1954","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","393.1","","393.1","0","110","0","77","0","18","","5","0","2","0","132","0","22","0","153","0","18","0","-23.3","0,0118,","178",",0,0116,+","150",",0,0111,","65.5",",0,0831,","38.3","0,0731,","-1.7","0,1008","-3.9","0,1106","-5.0","0,1107","-7.2","0,1111","-8.9","0,1206","0.0","0,0413","-6.7","0,0404","-6.7","0,0404","-6.7","0,0404","-13.3","0,0213","3024.6","","3024.6","0","973.4",",0","447",",0","10.79","0","16.52","0","5.07","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1955","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","557.3","","557.3","0","114","0","66","0","23","","8","0","1","0","128","0","30","0","156","0","29","0","-18.9","0,0203,","102",",0,0203,","91",",0,0202,","92.2",",0,0813,","37.8","0,0805,+","-1.7","0,1023","-2.2","0,1026","-4.4","0,1125","-8.9","0,1128","-8.9","0,1128","-1.1","0,0408","-2.2","0,0331","-5.6","0,0329","-7.8","0,0327","-9.4","0,0308","3151.3","","3151.3","0","1078.8",",0","561",",0","10.84","0","16.47","0","5.21","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1956","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","341.9","","341.9","0","149","0","92","0","20","","9","0","0","0","134","0","19","0","121","0","10","0","-13.3","0,0102,","254",",0,0320,+","145",",0,0319,","68.6",",0,0623,","35.0","0,0613,","-1.1","0,1011","-6.1","0,1110","-6.1","0,1110","-7.2","0,1111","-8.9","0,1125","0.0","0,0517","-2.8","0,0425","-4.4","0,0328","-7.2","0,0325","-8.9","0,0322","3461.4","","3461.4","0","1179.8",",0","815",",0","10.18","0","15.56","0","4.80","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1957","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","466.6","","466.6","0","120","0","74","0","24","","9","0","3","0","132","0","16","0","150","0","16","0","-21.1","0,0118,","178",",0,0202,","183",",0,0201,","57.2",",0,0624,","37.8","0,0722,+","-1.7","0,1012","-2.2","0,1110","-4.4","0,1111","-8.3","0,1205","-10.0","0,1206","-0.6","0,0504","-2.2","0,0416","-4.4","0,0331","-7.2","0,0305","-9.4","0,0212","3170.9","","3170.9","0","895.0",",0","686",",0","10.96","0","16.74","0","5.17","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1958","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","360.0","","360.0","0","119","0","80","0","48","","12","0","2","0","127","0","37","0","143","0","6","0","-18.9","0,1211,","432",",0,0217,","419",",0,0320,","53.8",",0,0320,","33.9","0,0702,","-0.6","0,1006","-3.9","0,1108","-6.1","0,1123","-6.7","0,1129","-10.0","0,1130","-1.1","0,0410","-3.3","0,0409","-4.4","0,0324","-8.3","0,0223","-10.0","0,0221","3280.5","","3280.5","0","1133.6",",0","1574",",0","9.68","0","14.96","0","4.40","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1959","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","596.4","","596.4","0","134","0","85","0","20","","7","0","0","0","134","0","23","0","159","0","19","0","-16.7","0,0119,","127",",0,1222,+","183",",0,0312,","55.9",",0,0723,","36.1","0,0629,","-1.1","0,1019","-3.3","0,1029","-5.0","0,1117","-8.3","0,1118","-11.7","0,1222","-0.6","0,0413","-8.3","0,0329","-8.3","0,0329","-8.3","0,0329","-9.4","0,0225","3331.9","","3331.9","0","1057.7",",0","620",",0","11.37","0","16.93","0","5.81","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1960","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","355.4","","355.4","0","125","0","81","0","53","","14","0","2","0","134","0","31","0","151","0","1","0","-19.4","0,1223,","356",",0,0304,","351",",0,0303,","83.3",",0,0912,","32.2","0,0829,","-0.6","0,1021","-3.3","0,1107","-6.7","0,1108","-6.7","0,1108","-11.1","0,1209","0.0","0,0420","-2.8","0,0411","-8.3","0,0326","-8.3","0,0326","-9.4","0,0314","3153.9","","3153.9","0","1189.4",",0","1267",",0","10.22","0","15.68","0","4.77","0","","","","","","","","","","","","","","","","","",""
