"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014827","1941","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","549.4","","549.4","0","111","0","58","0","","","","","1","0","127","0","45","0","162","0","39","0","-17.8","0,0219,","","","","","46.7",",0,0611,","37.2","0,0811,+","-1.1","0,1028","-2.2","0,1029","-7.2","0,1124","-7.2","0,1124","-8.9","0,1210","0.0","0,0425","-3.3","0,0402","-6.7","0,0330","-6.7","0,0330","-8.9","0,0319","","","","","654.2",",0","","","","","10.65","0","16.23","0","5.07","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1942","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","446.4","","446.4","0","131","0","71","0","36","","8","0","10","0","136","0","51","0","144","0","7","0","-23.3","0,0108,","152",",0,1220,+","157",",0,1129,","63.2",",0,0606,","35.0","0,0717,","0.0","0,0925","-3.3","0,1024","-6.1","0,1026","-6.7","0,1126","-8.9","0,1201","-1.1","0,0420","-2.2","0,0413","-6.1","0,0330","-11.1","0,0225","-11.1","0,0225","3266.8","","3266.8","0","1080.9",",0","","","634",",0","9.72","0","14.91","0","4.53","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1943","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","476.1","","476.1","0","118","0","75","0","37","","9","0","11","0","148","0","45","0","132","0","14","0","-25.0","0,0120,","178",",0,0121,+","66",",0,0118,","63.0",",0,0906,","34.4","0,0625,","-1.7","0,1019","-2.2","0,1104","-6.7","0,1113","-6.7","0,1113","-12.2","0,1213","-1.7","0,0501","-5.0","0,0415","-5.0","0,0415","-6.7","0,0323","-9.4","0,0309","3756.0","","3756.0","0","913.0",",0","","","470",",0","9.08","0","14.60","0","3.55","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1944","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","552.6","","552.6","0","119","0","70","0","39","","10","0","6","0","145","0","47","0","145","0","31","0","-22.2","0,0213,","229",",0,1213,+","152",",0,1210,","65.0",",0,0411,","37.2","0,0627,","0.0","0,1012","-2.8","0,1016","-6.1","0,1106","-6.7","0,1201","-8.9","0,1202","0.0","0,0428","-3.3","0,0406","-5.6","0,0405","-6.7","0,0404","-13.3","0,0310","3688.4","","3688.4","0","780.6",",0","","","816",",0","9.90","0","15.42","0","4.37","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1945","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","325.1","","325.1","0","152","0","79","0","","","","","10","0","132","0","59","0","135","0","7","0","-22.2","0,0102,","","","","","52.1",",0,0731,","34.4","0,0724,","0.0","0,1009","-3.9","0,1103","-4.4","0,1104","-7.8","0,1122","-11.1","0,1211","-1.1","0,0511","-2.2","0,0501","-7.8","0,0308","-7.8","0,0308","-10.0","0,0219","3642.2","","3642.2","0","1023.8",",0","","","","","9.11","0","14.41","0","3.82","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1946","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","329.9","","329.9","0","115","0","60","0","21","","4","0","4","0","118","0","35","0","153","0","12","0","-21.7","0,0122,","76",",0,0122,+","97",",0,0111,","60.7",",0,0612,","35.0","0,0719,+","0.0","0,1001","-2.8","0,1113","-6.1","0,1118","-7.8","0,1123","-12.2","0,1202","-2.2","0,0513","-2.2","0,0513","-6.1","0,0311","-6.7","0,0310","-11.7","0,0221","3459.5","","3459.5","0","767.5",",0","","","306",",0","10.60","0","16.67","0","4.54","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1947","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","505.1","","505.1","0","129","0","71","0","","","","","3","0","143","0","56","0","144","0","21","0","-18.9","0,0208,","","","","","75.2",",0,1018,","37.8","0,0806,","0.0","0,0930","-2.8","0,1109","-5.0","0,1112","-8.3","0,1126","-10.6","0,1129","-1.7","0,0510","-2.8","0,0509","-6.1","0,0330","-7.2","0,0326","-8.9","0,0315","3536.0","","3536.0","0","981.7",",0","","","","","9.51","0","14.62","0","4.39","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1948","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","442.4","","442.4","0","124","0","71","0","44","","8","0","10","0","129","0","53","0","145","0","15","0","-21.7","0,0312,+","102",",0,0106,","142",",0,0311,","61.2",",0,0713,","35.6","0,0827,+","-1.1","0,1017","-3.9","0,1018","-5.6","0,1201","-6.7","0,1208","-8.9","0,1209","0.0","0,0418","-2.2","0,0403","-5.6","0,0328","-7.2","0,0314","-15.0","0,0313","3559.4","","3559.4","0","946.3",",0","","","599",",0","9.94","0","15.51","0","4.38","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1949","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","538.0","","538.0","0","136","0","81","0","13","","5","0","1","0","125","0","25","0","147","0","20","0","-17.8","0,0130,","76",",0,0111,","79",",0,0111,","61.0",",0,0118,","35.0","0,0701,","-0.6","0,1025","-3.9","0,1027","-4.4","0,1105","-7.8","0,1122","-8.9","0,1208","0.0","0,0419","-3.9","0,0409","-5.6","0,0320","-8.3","0,0319","-9.4","0,0317","3176.6","","3176.6","0","1072.8",",0","","","346",",0","11.06","0","16.44","0","5.67","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1950","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","307.5","","307.5","0","142","0","95","0","64","","18","0","9","0","138","0","58","0","148","0","4","0","-22.2","0,1228,+","229",",0,1129,+","152",",0,1125,","89.2",",0,0901,","32.8","0,0817,+","0.0","0,0924","-2.8","0,1105","-5.0","0,1110","-8.3","0,1111","-16.1","0,1123","-1.7","0,0428","-2.8","0,0415","-6.1","0,0413","-7.8","0,0319","-14.4","0,0314","3418.1","","3418.1","0","1315.9",",0","","","1275",",0","9.05","0","14.40","0","3.70","0","","","","","","","","","","","","","","","","","","","","","",""
