"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00014855","1948","42.08333","-87.83333","196.9","GLENVIEW NAS, IL US","","","429.8","","429.8","X","101","X","57","X","","","7","X","12","X","120","X","60","X","127","X","19","X","-23.3","X,0117,","","","229",",X,0101,","47.0",",X,0319,","36.7","X,0824,","-3.3","X,1017","-3.3","X,1017","-6.1","X,1018","-7.2","X,1201","-8.9","X,1209","0.0","X,0508","-2.8","X,0403","-4.4","X,0330","-6.7","X,0328","-12.2","X,0313","","","","","656.5",",X","653",",X","9.23","X","14.04","X","4.42","X","","","",""
"USW00014855","1949","42.08333","-87.83333","196.9","GLENVIEW NAS, IL US","","","515.4","","515.4","X","97","X","64","X","27","","9","X","6","X","126","X","40","X","139","X","21","X","-20.0","X,0130,+","152",",X,1201,","152",",X,1201,","95.5",",X,0614,","36.7","X,0703,","0.0","X,1024","-2.2","X,1026","-7.2","X,1121","-7.2","X,1121","-8.9","X,1122","0.0","X,0419","-3.3","X,0416","-9.4","X,0319","-9.4","X,0319","-9.4","X,0319","3432.6","","3432.6","X","836.5",",X","563",",X","10.01","X","15.06","X","4.96","X","315","X","28.3","X"
"USW00014855","1950","42.08333","-87.83333","196.9","GLENVIEW NAS, IL US","","","278.0","","278.0","X","122","X","75","X","61","","21","X","12","X","139","X","61","X","130","X","8","X","-24.4","X,1227,","254",",X,1231,+","165",",X,0213,","52.8",",X,0602,","34.4","X,0816,","-0.6","X,1025","-3.3","X,1104","-4.4","X,1105","-10.0","X,1111","-10.0","X,1111","0.0","X,0428","-2.2","X,0415","-6.7","X,0413","-6.7","X,0413","-11.1","X,0314","3692.5","","3692.5","X","838.4",",X","1402",",X","8.24","X","13.25","X","3.23","X","315","X","31.9","X"
"USW00014855","1951","42.08333","-87.83333","196.9","GLENVIEW NAS, IL US","","","274.4","","274.4","X","118","X","75","X","75","","20","X","17","X","137","X","58","X","125","X","4","X","-28.9","X,0130,","457",",X,1227,+","320",",X,1214,","66.5",",X,0708,","33.3","X,0831,","-1.1","X,1029","-4.4","X,1101","-4.4","X,1101","-10.0","X,1102","-10.0","X,1102","0.0","X,0423","-3.9","X,0326","-7.2","X,0325","-7.2","X,0325","-8.9","X,0322","3961.9","","3961.9","X","955.3",",X","1612",",X","8.08","X","12.93","X","3.23","X","","","",""
"USW00014855","1952","42.08333","-87.83333","196.9","GLENVIEW NAS, IL US","","","461.0","","461.0","X","99","X","61","X","30","","11","X","3","X","140","X","33","X","132","X","24","X","-20.6","X,0124,","127",",X,0306,+","124",",X,0104,","63.5",",X,0616,","36.1","X,0628,","0.0","X,1003","-3.3","X,1006","-5.0","X,1029","-9.4","X,1127","-9.4","X,1127","-2.8","X,0411","-2.8","X,0411","-5.0","X,0325","-6.7","X,0324","-9.4","X,0307","3809.3","","3809.3","X","778.2",",X","604",",X","9.75","X","14.77","X","4.73","X","225","X","32.9","X"
"USW00014855","1953","42.08333","-87.83333","196.9","GLENVIEW NAS, IL US","","","534.3","","534.3","X","103","X","59","X","22","","9","X","1","X","118","X","33","X","146","X","26","X","-17.8","X,0201,","76",",X,0129,","76",",X,0129,","32.3",",X,0522,","38.9","X,0620,","-0.6","X,1104","-3.9","X,1105","-6.1","X,1127","-8.9","X,1128","-8.9","X,1128","0.0","X,0421","-2.2","X,0420","-10.0","X,0309","-10.0","X,0309","-10.0","X,0309","3533.3","","3533.3","X","673.8",",X","522",",X","10.49","X","15.59","X","5.38","X","248","X","32.4","X"
"USW00014855","1954","42.08333","-87.83333","196.9","GLENVIEW NAS, IL US","","","474.7","","474.7","X","121","X","73","X","29","","10","X","3","X","134","X","32","X","133","X","18","X","-23.3","X,0117,","203",",X,0330,","213",",X,0329,","90.4",",X,1010,","36.7","X,0625,","-0.6","X,1029","-2.2","X,1030","-6.1","X,1130","-6.7","X,1202","-10.0","X,1211","-0.6","X,0504","-2.2","X,0409","-8.9","X,0403","-8.9","X,0403","-8.9","X,0403","3422.9","","3422.9","X","1147.7",",X","1035",",X","10.12","X","14.74","X","5.50","X","","","",""
"USW00014855","1955","42.08333","-87.83333","196.9","GLENVIEW NAS, IL US","","","594.8","","594.8","X","110","X","63","X","40","","9","X","10","X","124","X","51","X","146","X","34","X","-23.9","X,0127,","102",",X,0212,+","61",",X,0210,","58.4",",X,1005,","38.3","X,0727,","0.0","X,1025","-5.0","X,1103","-5.0","X,1103","-8.3","X,1116","-14.4","X,1127","-1.7","X,0330","-3.3","X,0329","-6.1","X,0328","-8.3","X,0327","-11.7","X,0326","3345.2","","3345.2","X","707.8",",X","487",",X","10.08","X","15.05","X","5.11","X","315","X","31.9","X"
"USW00014855","1956","42.08333","-87.83333","196.9","GLENVIEW NAS, IL US","","","454.8","","454.8","X","98","X","49","X","35","","7","X","1","X","134","X","38","X","135","X","14","X","-17.8","X,0122,","102",",X,0212,","112",",X,0216,","40.1",",X,0812,","37.2","X,0701,","0.0","X,0920","-2.2","X,1109","-5.0","X,1116","-6.7","X,1117","-11.1","X,1123","-2.2","X,0424","-2.2","X,0424","-6.7","X,0324","-6.7","X,0324","-11.1","X,0228","3739.8","","3739.8","X","521.6",",X","684",",X","9.90","X","14.71","X","5.09","X","360","X","29.8","X"
"USW00014855","1957","42.08333","-87.83333","196.9","GLENVIEW NAS, IL US","","","401.1","","401.1","X","117","X","77","X","40","","12","X","9","X","131","X","37","X","127","X","13","X","-23.9","X,0114,","203",",X,0114,+","170",",X,0109,","126.0",",X,0712,","33.9","X,0802,+","-1.1","X,1025","-2.2","X,1026","-5.0","X,1109","-6.7","X,1110","-11.7","X,1130","-2.2","X,0415","-2.2","X,0415","-4.4","X,0413","-6.7","X,0304","-10.6","X,0303","3546.0","","3546.0","X","1044.2",",X","1029",",X","9.35","X","13.89","X","4.81","X","248","X","25.2","X"
