"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00023062","1948","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","395.6","","395.6","0","84","0","32","0","59","","24","0","18","0","166","0","34","0","161","0","36","0","-28.9","0,0127,","279",",0,0126,","168",",0,0124,","61.0",",0,0424,","35.0","0,0904,","-1.1","0,1006","-3.9","0,1007","-7.2","0,1017","-7.2","0,1017","-10.6","0,1108","-0.6","X,0510","-2.2","X,0413","-5.6","X,0331","-8.9","X,0321","-8.9","X,0321","","","","","321.4",",0","","","1801",",0","9.56","0","17.34","0","1.78","0","","","","","","","","","","","","","",""
"USW00023062","1949","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","314.5","","314.5","0","102","0","47","0","41","","22","0","17","0","150","0","33","0","154","0","20","0","-28.3","0,0129,","203",",0,0104,","183",",0,0409,","25.4",",0,0603,","35.0","0,0822,","0.0","0,1011","-2.8","0,1019","-5.0","0,1112","-8.9","0,1204","-8.9","0,1204","-2.8","0,0415","-2.8","0,0415","-4.4","0,0402","-12.2","0,0331","-12.2","0,0331","3618.3","","3618.3","0","427.5",",0","","","1549",",0","9.78","0","17.32","0","2.23","0","","","","","","","","","","","","","",""
"USW00023062","1950","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","237.4","","237.4","0","69","0","34","0","23","","14","0","9","0","144","0","13","0","164","0","12","0","-25.6","0,0104,","203",",0,1109,","236",",0,0525,","52.3",",0,0616,","33.9","0,0624,","-1.1","0,1004","-2.8","0,1102","-6.7","0,1103","-6.7","0,1103","-8.9","0,1108","0.0","0,0526","-2.2","0,0505","-5.6","0,0404","-6.7","0,0321","-8.9","0,0314","3175.7","","3175.7","0","354.7",",0","","","1468",",0","10.32","0","18.19","0","2.44","0","","","","","","","","","","","","","",""
"USW00023062","1951","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","312.1","","312.1","0","105","0","41","0","43","","29","0","13","0","162","0","24","0","136","0","28","0","-31.7","0,0201,","152",",0,1101,+","211",",0,0129,","49.0",",0,0803,","36.1","0,0715,","0.0","0,0921","-3.9","0,1021","-6.1","0,1022","-21.1","0,1101","-21.1","0,1101","-1.1","0,0602","-2.8","0,0421","-5.6","0,0415","-9.4","0,0412","-9.4","0,0412","3360.9","","3360.9","0","494.5",",0","","","2413",",0","9.04","0","16.36","0","1.71","0","","","","","338","X","","","","","25.0","X","",""
"USW00023062","1952","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","445.5","","445.5","0","84","0","35","0","36","","22","0","5","0","160","0","19","0","163","0","46","0","-21.7","0,1125,","305",",0,0321,","229",",0,0320,","38.1",",0,0523,","36.1","0,0615,+","0.0","0,1005","-2.2","0,1007","-4.4","0,1015","-6.7","0,1107","-10.6","0,1122","-1.1","0,0423","-3.3","0,0410","-5.0","0,0409","-10.0","0,0325","-10.0","0,0325","3420.4","","3420.4","0","342.0",",0","","","1675",",0","10.44","0","18.04","0","2.84","0","","","","","","","","","","","","","",""
"USW00023062","1953","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","406.5","","406.5","0","86","0","35","0","47","","21","0","2","0","147","0","16","0","161","0","31","0","-18.9","0,0221,","254",",0,0220,","241",",0,0219,","44.5",",0,0516,","37.2","0,0629,","0.0","0,1004","-2.2","0,1107","-6.1","0,1118","-7.2","0,1119","-12.2","0,1120","-2.2","0,0513","-2.2","0,0513","-5.0","0,0512","-13.3","0,0418","-13.3","0,0418","3256.8","","3256.8","0","362.3",",0","","","1818",",0","11.01","0","18.46","0","3.56","0","","","","","","","","","","","","","",""
"USW00023062","1954","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","505.0","","505.0","0","62","0","22","0","21","","10","0","2","0","141","0","14","0","181","0","43","0","-20.6","0,0303,","203",",0,1229,+","122",",0,1226,+","29.2",",0,0714,","38.9","0,0711,+","-1.7","0,1014","-2.2","0,1026","-6.1","0,1027","-7.2","0,1102","-11.7","0,1130","-1.1","0,0503","-5.6","0,0502","-5.6","0,0502","-15.0","0,0331","-15.0","0,0331","2857.5","","2857.5","0","191.6",",0","","","834",",0","11.94","0","19.94","0","3.94","0","","","","","","","","","","","","","",""
"USW00023062","1955","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","429.1","","429.1","0","80","0","38","0","50","","16","0","6","0","149","0","33","0","166","0","37","0","-20.6","0,0220,","178",",0,0325,","150",",0,0324,","35.3",",0,0827,","37.2","0,0710,","-3.9","0,1023","-3.9","0,1023","-8.3","0,1102","-8.3","0,1102","-15.0","0,1115","-2.8","0,0428","-2.8","0,0428","-5.0","0,0413","-13.9","0,0327","-13.9","0,0327","3291.6","","3291.6","0","408.1",",0","","","1394",",0","10.07","0","17.66","0","2.49","0","","","","","","","","","","","","","",""
"USW00023062","1956","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","415.5","","415.5","0","67","0","34","0","38","","18","0","4","0","152","0","23","0","174","0","31","0","-20.6","0,0202,","229",",0,1120,","272",",0,1119,","36.1",",0,0731,","35.6","0,0613,","-1.7","0,1020","-2.2","0,1025","-4.4","0,1102","-6.7","0,1103","-11.7","0,1115","-0.6","0,0424","-5.0","0,0409","-5.0","0,0409","-6.7","0,0316","-13.3","0,0315","3229.5","","3229.5","0","348.9",",0","","","1568",",0","10.81","0","18.39","0","3.23","0","","","","","","","","","","","","","",""
"USW00023062","1957","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","359.3","","359.3","0","101","0","45","0","26","","11","0","2","0","155","0","19","0","132","0","24","0","-20.6","0,0129,","381",",0,0403,","439",",0,0402,","59.4",",0,0509,","36.1","0,0702,","-1.7","0,1024","-2.8","0,1025","-5.6","0,1026","-6.7","0,1109","-11.1","0,1121","-1.7","0,0517","-2.8","0,0426","-6.7","0,0412","-6.7","0,0412","-12.8","0,0408","3306.0","","3306.0","0","548.7",",0","","","1469",",0","10.09","0","17.07","0","3.10","0","","","","","","","","","","","","","",""
