"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00023154","1893","39.2952","-114.8466","1908.7","ELY AIRPORT, NV US","","","","","","","29","6","25","6","","","18","6","22","6","233","6","","","","","","","-25.6","6,0118,","","","305",",6,0305,","30.5",",6,0305,","","","-1.1","6,0907","-4.4","6,0917","-4.4","6,0917","-11.7","6,1010","-11.7","6,1010","0.0","6,0711","-2.2","6,0613","-5.6","6,0523","-8.9","6,0418","-8.9","6,0418","","","","","232.2",",6","","","1811",",6","","","","","-2.80","6","","","","","","","","","","","","","","","","","",""
"USW00023154","1894","39.2952","-114.8466","1908.7","ELY AIRPORT, NV US","","","","","","","56","6","44","6","","","26","6","","","","","26","6","134","6","5","6","","","","","305",",6,0211,","30.5",",6,0211,","34.4","6,0710,+","","","","","","","","","","","","","","","","","","","","","","","","","431.0",",6","","","2609",",6","","","15.69","6","","","","","","","","","","","","","","","","","","","",""
"USW00023154","1895","39.2952","-114.8466","1908.7","ELY AIRPORT, NV US","","","83.9","","83.9","6","47","6","44","6","","","26","6","20","6","230","6","20","6","138","6","14","6","-28.3","6,0127,","","","356",",6,0531,","35.6",",6,0531,","35.0","6,0806,","-1.1","6,0827","-8.9","6,0920","-8.9","6,0920","-8.9","6,0920","-8.9","6,0920","-2.8","6,0618","-2.8","6,0618","-4.4","6,0617","-6.7","6,0415","-8.9","6,0407","4297.6","","4297.6","6","375.4",",6","","","2323",",6","6.01","6","15.35","6","-3.34","6","","","","","","","","","","","","","","","","","",""
"USW00023154","1896","39.2952","-114.8466","1908.7","ELY AIRPORT, NV US","","","86.6","","86.6","6","50","6","35","6","","","12","6","9","6","244","6","7","6","125","6","19","6","-26.7","6,1128,","","","203",",6,0410,","20.3",",6,0510,+","35.6","6,0721,","-3.9","6,0909","-3.9","6,0909","-5.0","6,0926","-7.8","6,1009","-10.0","6,1101","0.0","6,0522","-5.0","6,0519","-5.0","6,0519","-9.4","6,0515","-9.4","6,0515","4448.7","","4448.7","6","300.5",",6","","","915",",6","6.75","6","16.24","6","-2.73","6","","","","","","","","","","","","","","","","","",""
"USW00023154","1897","39.2952","-114.8466","1908.7","ELY AIRPORT, NV US","","","58.9","","58.9","6","59","6","50","6","","","26","6","23","6","233","6","30","6","146","6","21","6","-30.0","6,0222,","","","254",",6,1124,+","30.5",",6,1124,","34.4","6,0728,+","-1.1","6,0904","-4.4","6,0908","-4.4","6,0908","-6.7","6,1003","-9.4","6,1014","-1.1","6,0718","-3.9","6,0617","-6.7","6,0508","-6.7","6,0508","-10.0","6,0407","4518.7","","4518.7","6","437.0",",6","","","2400",",6","5.63","6","15.53","6","-4.28","6","","","","","","","","","","","","","","","","","",""
"USW00023154","1898","39.2952","-114.8466","1908.7","ELY AIRPORT, NV US","","","200.8","","200.8","6","58","6","55","6","","","21","6","18","6","215","6","34","6","137","6","33","6","-26.1","6,0125,","","","165",",6,0326,","19.1",",6,1220,+","36.7","6,0730,","0.0","6,0910","-10.0","6,1001","-10.0","6,1001","-10.0","6,1001","-10.0","6,1001","-1.1","6,0604","-2.8","6,0603","-4.4","6,0602","-6.7","6,0403","-8.9","6,0329","4443.8","","4443.8","6","382.1",",6","","","1231",",6","7.04","6","16.04","6","-1.96","6","","","","","","","","","","","","","","","","","",""
"USW00023154","1899","39.2952","-114.8466","1908.7","ELY AIRPORT, NV US","","","126.3","","126.3","6","61","6","48","6","","","31","6","12","6","214","6","21","6","130","6","27","6","-27.2","6,0205,","","","229",",6,0501,","27.9",",6,0501,","35.6","6,0724,","0.0","6,0822","-2.8","6,1001","-6.7","6,1002","-6.7","6,1002","-10.6","6,1011","-1.7","6,0613","-2.2","6,0528","-5.6","6,0525","-9.4","6,0502","-9.4","6,0502","4126.3","","4126.3","6","364.5",",6","","","2185",",6","7.05","6","15.61","6","-1.51","6","","","","","","","","","","","","","","","","","",""
"USW00023154","1900","39.2952","-114.8466","1908.7","ELY AIRPORT, NV US","","","129.0","","129.0","6","45","6","28","6","","","14","6","2","6","216","6","4","6","128","6","28","6","-23.3","6,1231,","","","406",",6,0407,","40.6",",6,0407,","36.1","6,0620,","-1.1","6,0909","-2.8","6,0917","-4.4","6,0926","-6.7","6,1024","-10.6","6,1029","0.0","6,0517","-6.7","6,0426","-6.7","6,0426","-6.7","6,0426","-10.6","6,0409","3873.8","","3873.8","6","266.3",",6","","","1346",",6","8.03","6","16.72","6","-0.67","6","","","","","","","","","","","","","","","","","",""
"USW00023154","1901","39.2952","-114.8466","1908.7","ELY AIRPORT, NV US","","","163.6","","163.6","6","72","6","39","6","","","13","6","10","6","201","6","17","6","146","6","25","6","-25.6","6,0209,","","","127",",6,1206,","22.4",",6,0802,","36.1","6,0720,","-3.9","6,0923","-3.9","6,0923","-6.1","6,1029","-7.8","6,1111","-10.6","6,1207","-1.7","6,0625","-2.2","6,0613","-6.7","6,0426","-6.7","6,0426","-9.4","6,0409","4210.0","","4210.0","6","293.7",",6","","","916",",6","7.80","6","16.50","6","-0.91","6","","","","","","","","","","","","","","","","","",""
"USW00023154","1902","39.2952","-114.8466","1908.7","ELY AIRPORT, NV US","","","143.0","","143.0","6","77","6","49","6","","","34","6","8","6","215","6","22","6","131","6","29","6","-31.1","6,0128,","","","254",",6,0309,","25.4",",6,0309,","35.0","6,0802,+","-4.4","6,0925","-4.4","6,0925","-4.4","6,0925","-10.0","6,1112","-10.0","6,1112","-0.6","6,0705","-2.8","6,0601","-6.1","6,0504","-6.7","6,0401","-11.1","6,0329","3757.7","","3757.7","6","277.5",",6","","","1714",",6","7.36","6","16.06","6","-1.34","6","","","","","","","","","","","","","","","","","",""
