"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023199","1947","32.81667","-115.68333","-12.8","EL CENTRO NAF, CA US","","","2314.2","","2314.2","X","9","X","4","X","","","0","X","0","X","1","X","0","X","308","X","175","X","-0.6","X,0104,","","","0",",X,1231,+","12.2",",X,0808,","46.7","X,0904,+","","","-0.6","X,0104","","","","","","","","","27.9",",X","0",",X","23.24","X","31.14","X","15.34","X","","","","","","","","","","","",""
"USW00023199","1948","32.81667","-115.68333","-12.8","EL CENTRO NAF, CA US","","","2196.9","","2196.9","X","5","X","4","X","","","0","X","0","X","8","X","0","X","304","X","170","X","-3.9","X,0129,","","","0",",X,1231,+","29.7",",X,1017,","47.8","X,0903,+","","","-1.7","X,0213","-3.9","X,0129","","","661.2","","661.2","X","55.8",",X","0",",X","22.49","X","30.56","X","14.41","X","","","","","","","","","","","",""
"USW00023199","1949","32.81667","-115.68333","-12.8","EL CENTRO NAF, CA US","","","2387.9","","2387.9","X","","","","","","","","","0","X","10","X","0","X","292","X","175","X","-3.3","X,0105,+","","","","","","","46.7","X,0802,","0.0","X,1212","-0.6","X,0130","-3.3","X,0105","","","833.0","","833.0","X","","","","","22.84","X","30.22","X","15.44","X","","","","","","","","","","","",""
"USW00023199","1950","32.81667","-115.68333","-12.8","EL CENTRO NAF, CA US","","","2461.4","","2461.4","X","8","X","2","X","0","","0","X","0","X","7","X","0","X","335","X","190","X","-3.3","X,0104,","0",",X,1231,+","0",",X,1231,+","9.4",",X,0724,","48.9","X,0901,","","","0.0","X,0128","-2.8","X,0107","","","485.2","","485.2","X","18.3",",X","0",",X","24.09","X","31.95","X","16.23","X","","","","","248","X","","","","","26.2","X"
"USW00023199","1951","32.81667","-115.68333","-12.8","EL CENTRO NAF, CA US","","","2334.4","","2334.4","X","16","X","5","X","0","","0","X","0","X","1","X","0","X","306","X","165","X","-0.6","X,0131,","0",",X,1231,+","0","T,X,1224,","22.9",",X,0826,","46.1","X,0731,+","","","-0.6","X,0131","","","","","390.0","","390.0","X","47.7",",X","0","T,X","23.19","X","30.78","X","15.60","X","","","","","","","","","","","101.3","X"
"USW00023199","1952","32.81667","-115.68333","-12.8","EL CENTRO NAF, CA US","","","2521.9","","2521.9","X","16","X","8","X","0","","0","X","0","X","3","X","0","X","282","X","190","X","-1.7","X,0104,","0",",X,1231,+","0",",X,1231,+","13.0",",X,0118,","46.1","X,0903,+","","","0.0","X,0105","","","","","622.6","","622.6","X","53.9",",X","0",",X","23.39","X","30.83","X","15.96","X","","","","","360","X","","","","","38.0","X"
"USW00023199","1953","32.81667","-115.68333","-12.8","EL CENTRO NAF, CA US","","","2261.8","","2261.8","X","7","X","1","X","0","","0","X","0","X","2","X","0","X","323","X","158","X","-0.6","X,1225,+","0",",X,1231,+","0",",X,1231,+","3.6",",X,0302,","46.1","X,0702,+","-0.6","X,1224","","","","","","","464.0","","464.0","X","6.2",",X","0",",X","23.37","X","31.21","X","15.54","X","","","","","248","X","","","","","29.8","X"
"USW00023199","1954","32.81667","-115.68333","-12.8","EL CENTRO NAF, CA US","","","2477.7","","2477.7","X","11","X","3","X","0","","0","X","0","X","2","X","0","X","315","X","189","X","-1.7","X,1229,","0",",X,1231,+","0",",X,1231,+","16.8",",X,0119,","47.8","X,0728,","-1.7","X,1229","0.0","X,0102","","","","","412.1","","412.1","X","35.9",",X","0",",X","24.05","X","32.00","X","16.09","X","","","","","248","X","","","","","29.8","X"
"USW00023199","1955","32.81667","-115.68333","-12.8","EL CENTRO NAF, CA US","","","2222.3","","2222.3","X","15","X","8","X","0","","0","X","0","X","1","X","0","X","306","X","170","X","0.0","X,0220,","0",",X,1231,+","0",",X,1231,+","36.1",",X,0823,","47.2","X,0608,","","","0.0","X,0220","","","","","588.1","","588.1","X","85.1",",X","0",",X","22.77","X","30.31","X","15.23","X","","","","","","","","","","","",""
"USW00023199","1956","32.81667","-115.68333","-12.8","EL CENTRO NAF, CA US","","","2311.1","","2311.1","X","2","X","1","X","0","","0","X","0","X","2","X","0","X","319","X","171","X","-0.6","X,0217,","0",",X,1231,+","0",",X,1231,+","3.8",",X,0131,","45.6","X,0612,","","","-0.6","X,0217","","","","","481.9","","481.9","X","4.3",",X","0",",X","23.26","X","31.17","X","15.34","X","","","","","","","","","","","",""
"USW00023199","1957","32.81667","-115.68333","-12.8","EL CENTRO NAF, CA US","","","2202.1","","2202.1","X","20","X","8","X","0","","0","X","0","X","0","X","0","X","311","X","152","X","1.7","X,0130,","0",",X,1231,+","0",",X,1231,+","24.6",",X,1028,","48.3","X,0731,","","","","","","","","","461.7","","461.7","X","76.1",",X","0",",X","23.11","X","30.22","X","15.99","X","","","","","","","","","","","",""
"USW00023199","1958","32.81667","-115.68333","-12.8","EL CENTRO NAF, CA US","","","2536.8","","2536.8","X","13","X","7","X","0","","0","X","0","X","1","X","0","X","330","X","177","X","0.0","X,1118,","0",",X,1231,+","0",",X,1231,+","17.3",",X,1116,","47.8","X,0709,","0.0","X,1118","","","","","","","448.5","","448.5","X","67.1",",X","0",",X","24.18","X","31.60","X","16.75","X","","","","","","","","","","","",""
"USW00023199","2007","32.81667","-115.68333","-12.8","EL CENTRO NAF, CA US","3.4","W","2335.4","","2335.4","W","9","W","5","W","","","","","0","W","11","W","0","W","311","W","196","W","-6.0","W,0114,","","","","","23.9",",W,1130,","46.7","W,0704,","-0.5","W,1223","-0.5","W,0121","-3.8","W,0117","-4.9","W,0115","","","","","55.3",",W","","","23.08","W","31.74","W","14.42","W","320","W","330","W","","","21.5","W","34.4","W","",""
"USW00023199","2008","32.81667","-115.68333","-12.8","EL CENTRO NAF, CA US","3.5","W","2327.4","","2327.4","W","9","W","5","W","","","","","0","W","4","W","0","W","313","W","181","W","-0.5","W,1228,","","","","","17.0",",W,1217,","47.8","W,0620,","0.0","W,1227","0.0","W,0206","","","","","556.1","","556.1","W","37.2",",W","","","23.41","W","31.89","W","14.93","W","250","W","260","W","","","19.7","W","23.7","W","",""
"USW00023199","2009","32.81667","-115.68333","-12.8","EL CENTRO NAF, CA US","3.5","W","2207.6","","2207.6","W","5","W","2","W","","","","","0","W","3","W","0","W","312","W","171","W","-0.5","W,0105,","","","","","7.9",",W,1207,","47.2","W,0828,","0.0","W,1227","0.0","W,0128","","","","","433.2","","433.2","W","15.3",",W","","","23.28","W","31.99","W","14.57","W","230","W","230","W","","","19.2","W","24.6","W","",""
