"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023203","1949","37.38333","-120.56667","58.2","CASTLE AFB, CA US","780.1","","780.1","X","38","X","25","X","0","","0","X","0","X","46","X","0","X","223","X","86","X","-6.7","X,0111,","0",",X,1231,+","0",",X,1231,+","20.8",",X,0319,","40.6","X,0717,","-1.7","X,1211","-3.3","X,1212","","","","","0.0","X,0219","-3.9","X,0214","-6.7","X,0111","-6.7","X,0111","","","","","186.6",",X","0",",X","16.21","X","23.67","X","8.74","X","","","",""
"USW00023203","1950","37.38333","-120.56667","58.2","CASTLE AFB, CA US","922.6","","922.6","X","46","X","28","X","0","","0","X","0","X","14","X","0","X","232","X","95","X","-5.6","X,0106,","0",",X,1231,+","0",",X,1231,+","22.9",",X,1203,","42.8","X,0703,+","","","","","","","","","-1.1","X,0312","-2.2","X,0202","-5.6","X,0106","","","1373.9","","1373.9","X","282.2",",X","0",",X","17.48","X","24.57","X","10.40","X","","","",""
"USW00023203","1951","37.38333","-120.56667","58.2","CASTLE AFB, CA US","832.4","","832.4","X","38","X","25","X","0","","0","X","0","X","17","X","0","X","223","X","96","X","-2.8","X,0101,","0",",X,1231,+","0","T,X,0428,","29.2",",X,1228,+","41.7","X,0718,","0.0","X,1207","-2.2","X,1210","","","","","-1.7","X,0303","-2.8","X,0101","","","","","1218.3","","1218.3","X","268.3",",X","0","T,X","16.84","X","24.13","X","9.54","X","113","X","21.0","X"
"USW00023203","1952","37.38333","-120.56667","58.2","CASTLE AFB, CA US","870.1","","870.1","X","45","X","29","X","0","","0","X","0","X","12","X","0","X","219","X","96","X","-3.3","X,0102,","0",",X,1231,+","0",",X,1231,+","48.5",",X,0114,","40.0","X,0902,+","0.0","X,1123","","","","","","","-1.1","X,0109","-2.8","X,0104","","","","","1449.5","","1449.5","X","342.4",",X","0",",X","16.72","X","23.66","X","9.77","X","135","X","26.4","X"
"USW00023203","1953","37.38333","-120.56667","58.2","CASTLE AFB, CA US","759.1","","759.1","X","33","X","16","X","0","","0","X","0","X","9","X","0","X","217","X","72","X","-2.2","X,1231,","0",",X,1231,+","0",",X,1231,+","22.4",",X,1203,","40.6","X,0910,+","0.0","X,1224","-2.2","X,1231","","","","","-1.1","X,0303","","","","","","","1348.4","","1348.4","X","171.9",",X","0",",X","16.71","X","23.86","X","9.56","X","315","X","21.9","X"
"USW00023203","1954","37.38333","-120.56667","58.2","CASTLE AFB, CA US","820.1","","820.1","X","47","X","24","X","0","","0","X","0","X","12","X","0","X","214","X","73","X","-3.9","X,1227,","0",",X,1231,+","0","T,X,0324,+","29.5",",X,0427,","42.2","X,0622,","-0.6","X,1130","-2.8","X,1226","","","","","0.0","X,0114","","","","","","","1412.8","","1412.8","X","262.6",",X","0","T,X","16.44","X","22.92","X","9.95","X","135","X","24.1","X"
"USW00023203","1955","37.38333","-120.56667","58.2","CASTLE AFB, CA US","801.1","","801.1","X","44","X","29","X","0","","0","X","0","X","17","X","0","X","200","X","74","X","-2.8","X,0108,","0",",X,1231,+","0",",X,1231,+","38.6",",X,1222,","41.1","X,0903,","","","","","","","","","0.0","X,0228","-2.2","X,0204","","","","","1692.3","","1692.3","X","385.3",",X","0",",X","16.15","X","22.77","X","9.54","X","","","",""
"USW00023203","1956","37.38333","-120.56667","58.2","CASTLE AFB, CA US","832.2","","832.2","X","49","X","23","X","0","","0","X","0","X","18","X","0","X","211","X","81","X","-3.9","X,1222,","0",",X,1231,+","0",",X,1231,+","37.8",",X,0426,","42.8","X,0628,","-1.7","X,1208","-2.2","X,1209","","","","","0.0","X,0307","","","","","","","1347.8","","1347.8","X","222.6",",X","0",",X","16.65","X","23.34","X","9.95","X","135","X","25.7","X"
"USW00023203","1957","37.38333","-120.56667","58.2","CASTLE AFB, CA US","890.2","","890.2","X","57","X","29","X","0","","0","X","0","X","13","X","0","X","203","X","86","X","-2.2","X,0131,+","0",",X,1231,+","0","T,X,0126,","18.8",",X,1114,+","42.2","X,0624,","-0.6","X,1223","","","","","","","0.0","X,0204","-2.2","X,0131","","","","","1420.5","","1420.5","X","252.0",",X","0","T,X","16.91","X","22.99","X","10.83","X","338","X","18.5","X"
"USW00023203","1958","37.38333","-120.56667","58.2","CASTLE AFB, CA US","1006.7","","1006.7","X","52","X","34","X","0","","0","X","0","X","3","X","0","X","210","X","91","X","-1.7","X,1117,","0",",X,1231,+","0",",X,1231,+","42.2",",X,0315,","39.4","X,0711,","0.0","X,1116","","","","","","","","","","","","","","","1361.6","","1361.6","X","476.9",",X","0",",X","17.70","X","24.12","X","11.28","X","","","",""
