"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023211","1935","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","","","","","67","6","45","6","","","0","6","","","","","","","","","","","","","","","0",",6,1231,+","43.2",",6,0104,","","","","","","","","","","","","","","","","","","","","","541.9",",6","0",",6","","","","","","","","","",""
"USW00023211","1939","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","","","","","42","6","23","6","","","","","","","","","0","6","197","6","22","6","","","","","","","30.5",",6,0308,","38.9","6,0922,","","","","","","","","","","","","","","","","","","","240.4",",6","","","","","22.01","6","","","","","",""
"USW00023211","1940","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","95.7","","95.7","6","81","6","56","6","0","","0","6","0","6","10","6","0","6","184","6","5","6","-3.3","6,1212,","0",",6,1231,+","0",",6,1231,+","80.0",",6,0226,","37.2","6,0705,","-1.1","6,1123","-3.3","6,1212","","","-0.6","6,0118","-2.8","6,0114","","","","","1453.3","","1453.3","6","1184.5",",6","0",",6","14.43","6","21.04","6","7.82","6","","","",""
"USW00023211","1941","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","","","","","95","6","69","6","","","0","6","","","","","0","6","167","6","10","6","","","","","0",",6,1231,+","58.2",",6,0404,","36.7","6,0905,","","","","","","","","","","","","","","","","","","","1102.2",",6","0",",6","","","20.54","6","","","","","",""
"USW00023211","1942","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","75.9","","75.9","6","68","6","46","6","","","","","0","6","11","6","0","6","161","6","7","6","-2.8","6,0102,","","","","","64.8",",6,0206,","35.6","6,0914,","-1.7","6,1106","","","","","0.0","6,0327","-2.2","6,0104","","","","","1781.8","","1781.8","6","731.4",",6","","","13.56","6","19.87","6","7.24","6","","","",""
"USW00023211","1943","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","161.6","","161.6","6","57","6","33","6","","","","","0","6","16","6","0","6","173","6","19","6","-3.3","6,0119,+","","","","","91.2",",6,0121,","38.9","6,0921,","0.0","6,1204","","","","","-0.6","6,0210","-3.3","6,0119","","","","","1624.5","","1624.5","6","553.6",",6","","","14.41","6","21.02","6","7.79","6","","","",""
"USW00023211","1944","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","105.0","","105.0","6","63","6","49","6","","","0","6","0","6","14","6","0","6","165","6","7","6","-3.9","6,0104,","","","0",",6,1231,+","43.7",",6,0202,","41.7","6,0909,","0.0","6,1204","","","","","-0.6","6,0323","-3.9","6,0104","","","","","1736.6","","1736.6","6","666.9",",6","0",",6","13.64","6","20.21","6","7.07","6","","","",""
"USW00023211","1945","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","186.2","","186.2","6","59","6","40","6","0","","0","6","0","6","10","6","0","6","156","6","15","6","-2.2","6,1214,","0",",6,1231,+","0",",6,1231,+","76.7",",6,1221,","37.2","6,0618,+","-1.7","6,1213","-2.2","6,1214","","","0.0","6,0305","","","","","","","1756.5","","1756.5","6","777.1",",6","0",",6","14.27","6","20.41","6","8.14","6","","","",""
"USW00023211","1946","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","","","","","40","6","26","6","0","","0","6","0","6","14","6","","","","","","","-2.8","6,0131,","0",",6,1231,+","0",",6,1231,+","50.3",",6,1122,","","","0.0","6,1228","","","","","0.0","6,0213","-2.2","6,0201","","","","","","","","","347.9",",6","0",",6","","","","","7.67","6","","","",""
"USW00023211","1947","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","","","","","46","6","32","6","0","","0","6","0","6","28","6","","","","","","","-3.9","6,0117,","0",",6,1231,+","0",",6,1231,+","37.1",",6,1028,","","","-0.6","6,1120","-2.2","6,1123","","","0.0","6,0131","-2.8","6,0118","","","","","","","","","476.9",",6","0",",6","","","","","7.74","6","","","",""
"USW00023211","1948","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","","","","","73","0","46","0","","","0","0","0","0","26","0","","","","","","","-6.7","0,0207,","","","0","T,0,1225,","43.2",",0,1226,","","","-0.6","0,1128","-2.2","0,1222","","","-1.1","6,0413","-2.2","6,0212","-6.7","6,0207","-6.7","6,0207","","","","","477.6",",0","0","T,0","","","","","7.10","0","","","",""
"USW00023211","1949","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","128.4","","128.4","0","44","0","26","0","0","","0","0","0","0","36","0","0","0","177","0","11","0","-4.4","0,0105,","0",",0,1231,+","0",",0,1231,+","48.8",",0,0311,","38.3","0,0921,","0.0","0,1211","-2.2","0,1212","","","-2.2","0,0214","-2.2","0,0214","-4.4","0,0105","","","1909.5","","1909.5","0","476.8",",0","0",",0","13.62","0","20.12","0","7.12","0","","","25.0","X"
"USW00023211","1950","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","191.2","","191.2","0","65","0","44","0","0","","0","0","0","0","18","0","0","0","179","0","20","0","-3.9","0,0201,+","0",",0,1231,+","0",",0,1231,+","98.3",",0,1203,","40.0","0,0903,+","","","","","","","0.0","0,0312","-3.3","0,0202","","","","","1800.5","","1800.5","0","895.5",",0","0",",0","14.40","0","20.71","0","8.09","0","158","X","30.8","X"
"USW00023211","1951","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","96.8","","96.8","0","60","0","40","0","0","","0","0","0","0","14","0","0","0","167","0","11","0","-1.7","0,0201,+","0",",0,1231,+","0","T,0,1205,+","51.6",",0,1203,","37.2","0,0909,","-0.6","0,1209","","","","","0.0","0,0310","","","","","","","1593.9","","1593.9","0","550.7",",0","0","T,0","13.76","0","19.63","0","7.90","0","","","",""
"USW00023211","1952","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","149.3","","149.3","0","64","0","45","0","0","","0","0","0","0","9","0","0","0","162","0","13","0","-2.8","0,0102,","0",",0,1231,+","0","T,0,0312,+","63.8",",0,1201,","36.7","0,0901,","-0.6","0,1124","","","","","0.0","0,0213","-2.8","0,0102","","","","","1747.8","","1747.8","0","935.4",",0","0","T,0","14.00","0","19.58","0","8.42","0","","","",""
"USW00023211","1953","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","118.4","","118.4","0","46","0","30","0","0","","0","0","0","0","3","0","0","0","153","0","7","0","-1.1","0,1231,+","0",",0,1231,+","0",",0,1231,+","62.0",",0,1113,","36.1","0,0913,","-1.1","0,1226","","","","","-0.6","0,0225","","","","","","","1659.3","","1659.3","0","376.9",",0","0",",0","14.25","0","19.81","0","8.69","0","315","X","25.9","X"
"USW00023211","1954","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","122.7","","122.7","0","60","0","36","0","0","","0","0","0","0","3","0","0","0","161","0","7","0","-1.1","0,0125,","0",",0,1231,+","0","T,0,0321,+","84.1",",0,1108,","38.9","0,0728,","0.0","0,1130","","","","","0.0","0,0317","","","","","","","1627.1","","1627.1","0","807.4",",0","0","T,0","13.84","0","19.20","0","8.47","0","203","X","29.1","X"
"USW00023211","1955","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","111.1","","111.1","0","59","0","36","0","0","","0","0","0","0","5","0","0","0","161","0","8","0","-1.1","0,0104,","0",",0,1231,+","0",",0,1231,+","85.6",",0,1222,","37.8","0,0902,","","","","","","","0.0","0,0221","","","","","","","1861.9","","1861.9","0","825.2",",0","0",",0","13.71","0","19.44","0","7.99","0","180","X","27.2","X"
"USW00023211","1956","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","101.9","","101.9","0","54","0","30","0","0","","0","0","0","0","11","0","0","0","167","0","6","0","-1.7","0,1223,","0",",0,1231,+","0",",0,1231,+","48.0",",0,0219,","36.1","0,0626,","-0.6","0,1207","","","","","-0.6","0,0201","","","","","","","1651.4","","1651.4","0","447.2",",0","0",",0","13.92","0","19.65","0","8.18","0","","","",""
"USW00023211","1957","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","183.0","","183.0","0","81","0","47","0","0","","0","0","0","0","8","0","0","0","159","0","13","0","-2.8","0,0110,","0",",0,1231,+","0",",0,1231,+","64.3",",0,0112,","36.1","0,0624,","","","","","","","-1.1","0,0204","-2.8","0,0110","","","","","1643.8","","1643.8","0","668.7",",0","0",",0","14.48","0","19.81","0","9.16","0","225","X","27.8","X"
"USW00023211","1958","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","160.4","","160.4","0","64","0","47","0","0","","0","0","0","0","2","0","0","0","186","0","10","0","-1.7","0,1117,","0",",0,1231,+","0",",0,1231,+","75.2",",0,0218,","34.4","0,0919,","-0.6","0,1116","","","","","","","","","","","","","1492.4","","1492.4","0","878.7",",0","0",",0","14.82","0","20.43","0","9.23","0","203","X","38.6","X"
"USW00023211","1959","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","231.4","","231.4","0","29","0","20","0","0","","0","0","0","0","11","0","0","0","206","0","10","0","-2.2","0,0104,","0",",0,1231,+","0",",0,1231,+","69.9",",0,0105,","38.3","0,0710,","-0.6","0,1204","","","","","0.0","0,0213","-2.2","0,0104","","","","","1404.5","","1404.5","0","467.3",",0","0",",0","15.00","0","21.47","0","8.54","0","203","X","23.6","X"
"USW00023211","1960","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","104.6","","104.6","0","56","0","42","0","0","","0","0","0","0","10","0","0","0","167","0","7","0","-3.9","0,0102,","0",",0,1231,+","0",",0,1231,+","67.1",",0,1201,","40.6","0,0602,","0.0","0,1208","","","","","0.0","0,0117","-2.2","0,0105","","","","","1557.2","","1557.2","0","564.3",",0","0",",0","13.94","0","19.80","0","8.08","0","338","X","32.9","X"
"USW00023211","1961","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","140.3","","140.3","0","44","0","24","0","0","","0","0","0","0","12","0","0","0","152","0","15","0","-2.8","0,0101,","0",",0,1231,+","0",",0,1231,+","40.9",",0,1201,","41.1","0,0614,","-2.2","0,1117","-2.2","0,1117","","","0.0","0,0106","-2.8","0,0101","","","","","1886.3","","1886.3","0","342.0",",0","0",",0","13.41","0","19.26","0","7.57","0","180","X","19.5","X"
"USW00023211","1962","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","63.7","","63.7","0","45","0","27","0","0","","0","0","0","0","20","0","0","0","150","0","9","0","-4.4","0,0124,","0",",0,1231,+","0",",0,1231,+","98.8",",0,1012,","35.0","0,0815,","-3.3","0,1225","-3.3","0,1225","","","-1.7","0,0227","-4.4","0,0124","-4.4","0,0124","","","1976.5","","1976.5","0","784.2",",0","0",",0","13.21","0","18.89","0","7.52","0","","","",""
"USW00023211","1963","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","107.7","","107.7","0","71","0","39","0","0","","0","0","0","0","19","0","0","0","145","0","8","0","-5.0","0,0113,","0",",0,1231,+","0",",0,1231,+","85.3",",0,0130,","35.6","0,0925,","0.0","0,1210","-2.2","0,1211","","","-0.6","0,0317","-2.8","0,0121","-5.0","0,0113","","","1849.3","","1849.3","0","771.0",",0","0",",0","13.66","0","19.04","0","8.29","0","180","X","23.6","X"
"USW00023211","1964","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","82.2","","82.2","X","64","X","35","X","0","","0","X","0","X","26","X","0","X","137","X","9","X","-2.2","X,1119,+","0",",X,1231,+","0",",X,1231,+","47.5",",X,0120,","36.7","X,0711,","-1.7","X,1117","-2.2","X,1119","","","-0.6","X,0424","-2.2","0,0115","","","","","2046.3","","2046.3","X","598.9",",X","0",",X","12.78","X","18.90","X","6.66","X","200","X","24.2","X"
"USW00023211","1965","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","35.9","","35.9","X","56","X","42","X","0","","0","X","0","X","12","X","0","X","132","X","0","X","-4.4","X,1217,","0",",X,1231,+","0",",X,1231,+","51.1",",X,0104,","31.7","X,1007,+","-1.1","X,1215","-3.3","X,1216","-4.4","X,1217","-1.1","X,0108","-2.8","X,0101","","","","","2055.6","","2055.6","X","699.9",",X","0",",X","12.63","X","18.15","X","7.10","X","150","X","27.8","X"
"USW00023211","1966","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","82.8","","82.8","X","62","X","31","X","0","","0","X","0","X","21","X","0","X","166","X","6","X","-3.3","X,1228,+","0",",X,1231,+","0",",X,1231,+","77.7",",X,1119,","37.2","X,0613,","0.0","X,1124","-3.3","X,1228","","","-0.6","X,0304","-2.2","X,0303","","","","","1943.6","","1943.6","X","786.3",",X","0",",X","13.47","X","19.31","X","7.64","X","140","X","21.6","X"
"USW00023211","1967","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","66.3","","66.3","X","72","X","47","X","0","","0","X","0","X","18","X","0","X","152","X","4","X","-3.3","X,1215,","0",",X,1231,+","0",",X,1231,+","100.1",",X,0121,","33.9","X,0920,","0.0","X,1127","-3.3","X,1215","","","0.0","X,0304","","","","","","","2095.4","","2095.4","X","838.8",",X","0",",X","12.94","X","18.67","X","7.20","X","270","X","23.1","X"
"USW00023211","1968","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","107.7","","107.7","X","71","X","39","X","0","","0","X","0","X","19","X","0","X","157","X","11","X","-5.0","X,1221,","0",",X,1231,+","0",",X,1231,+","98.6",",X,0129,","35.0","X,0916,","-0.6","X,1203","-2.8","X,1204","-5.0","X,1221","-0.6","X,0128","-2.2","X,0111","","","","","1785.7","","1785.7","X","696.9",",X","0",",X","13.43","X","19.22","X","7.63","X","203","X","24.2","X"
"USW00023211","1969","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","75.3","","75.3","X","68","X","53","X","0","","0","X","0","X","18","X","0","X","164","X","6","X","-3.3","X,1201,+","0",",X,1231,+","0",",X,1231,+","72.1",",X,1219,","35.0","X,0804,+","-1.7","X,1118","-3.3","X,1129","","","0.0","X,0313","-2.8","X,0110","","","","","1978.3","","1978.3","X","994.5",",X","0",",X","13.33","X","19.03","X","7.63","X","170","X","26.2","X"
"USW00023211","1970","38.06667","-122.51667","4.0","HAMILTON AFB, CA US","90.6","","90.6","X","75","X","53","X","0","","0","X","0","X","8","X","0","X","143","X","12","X","-2.8","X,0104,+","0",",X,1231,+","0",",X,1231,+","89.9",",X,1127,","36.7","X,0702,","0.0","X,1212","","","","","-2.2","X,0105","-2.2","X,0105","","","","","1715.7","","1715.7","X","1032.6",",X","0",",X","13.55","X","19.53","X","7.58","X","180","X","23.6","X"
