"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00023271","1878","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","558.7","","558.7","0","65","0","44","0","","","","","0","0","18","0","0","0","194","0","43","0","-4.4","0,1229,","","","","","41.4",",0,0115,","38.3","0,0812,","0.0","0,1214","-2.2","0,1217","-4.4","0,1229","","","-1.7","0,0105","-2.2","0,0104","","","","","","","","","596.2",",0","","","16.06","0","22.14","0","9.99","0"
"USW00023271","1879","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","581.3","","581.3","0","77","0","58","0","","","","","0","0","16","0","0","0","186","0","54","0","-3.9","0,1226,+","","","","","50.0",",0,0305,","39.4","0,0801,","-1.1","0,1223","-3.9","0,1224","","","","","0.0","0,0127","","","","","","","1404.3","","1404.3","0","565.8",",0","","","15.82","0","21.91","0","9.73","0"
"USW00023271","1880","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","406.8","","406.8","0","65","0","39","0","","","","","0","0","27","0","0","0","183","0","17","0","-3.9","0,0129,","","","","","134.1",",0,0420,","36.7","0,0724,","0.0","0,1114","-2.2","0,1127","","","","","-1.7","0,0315","-3.9","0,0129","","","","","1904.2","","1904.2","0","812.8",",0","","","14.48","0","20.34","0","8.62","0"
"USW00023271","1881","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","443.7","","443.7","0","58","0","36","0","","","","","0","0","3","0","0","0","190","0","26","0","0.0","0,1223,+","","","","","67.6",",0,0129,","37.2","0,0723,","0.0","0,1117","","","","","","","","","","","","","","","1284.6","","1284.6","0","526.3",",0","","","15.68","0","21.42","0","9.95","0"
"USW00023271","1882","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","578.2","","578.2","0","58","0","39","0","","","","","0","0","7","0","0","0","169","0","49","0","-2.8","0,1231,","","","","","46.2",",0,1002,","37.8","0,0901,+","0.0","0,1230","-2.8","0,1231","","","","","-0.6","0,0220","","","","","","","1713.6","","1713.6","0","459.4",",0","","","15.26","0","21.20","0","9.32","0"
"USW00023271","1883","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","706.1","","706.1","0","47","0","25","0","","","","","0","0","37","0","0","0","185","0","58","0","-5.6","0,0203,+","","","","","48.3",",0,0101,","40.0","0,0702,","0.0","0,1125","-4.4","0,1214","-4.4","0,1214","","","0.0","0,0216","-2.2","0,0208","-5.0","0,0204","","","1690.1","","1690.1","0","343.2",",0","","","15.59","0","21.91","0","9.27","0"
"USW00023271","1884","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","416.9","","416.9","0","69","0","54","0","","","","","0","0","21","0","0","0","194","0","25","0","-6.1","0,0213,","","","","","66.5",",0,0309,","37.8","0,0810,+","0.0","0,1207","-2.2","0,1210","","","","","-2.8","0,0214","-2.8","0,0214","-6.1","0,0213","","","1613.1","","1613.1","0","887.1",",0","","","15.50","0","21.14","0","9.85","0"
"USW00023271","1885","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","615.5","","615.5","0","54","0","24","0","","","","","0","0","0","0","0","0","224","0","55","0","1.1","0,0124,","","","","","76.7",",0,1117,","40.6","0,0817,+","","","","","","","","","","","","","","","","","1148.0","","1148.0","0","527.1",",0","","","16.99","0","22.93","0","11.05","0"
"USW00023271","1886","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","","","","","52","0","32","0","","","","","","","","","","","","","","","","","","","","","63.5",",0,0123,","","","","","","","","","","","","","","","","","","","1351.2","","1351.2","","461.0",",0","","","","","","","",""
"USW00023271","1887","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","501.8","","501.8","0","46","0","28","0","","","","","0","0","16","0","0","0","223","0","52","0","-2.2","0,1127,","","","","","43.9",",0,0205,+","37.8","0,0927,+","0.0","0,1125","-2.2","0,1127","","","","","0.0","0,0226","","","","","","","","","","","341.3",",0","","","15.75","0","22.74","0","8.76","0"
"USW00023271","1888","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","667.9","","667.9","0","58","0","38","0","","","","","0","0","13","0","0","0","218","0","64","0","-7.2","0,0115,+","","","","","49.5",",0,1116,","42.2","0,0824,","0.0","0,1129","","","","","","","-3.9","0,0118","-3.9","0,0118","-5.6","0,0117","-7.2","0,0115","1409.5","","1409.5","0","468.6",",0","","","16.39","0","23.02","0","9.76","0"
"USW00023271","1889","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","569.3","","569.3","0","76","0","51","0","","","","","0","0","9","0","0","0","192","0","61","0","-0.6","0,0218,+","","","","","60.5",",0,0313,","40.0","0,0730,","","","","","","","","","-0.6","0,0218","","","","","","","1330.5","","1330.5","0","698.5",",0","","","16.06","0","22.50","0","9.61","0"
