"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00024149","1948","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","257.4","","257.4","0","109","0","50","0","16","","8","0","0","0","120","0","22","0","133","0","22","0","-17.2","0,0203,","76",",0,0204,+","76",",0,1219,","41.4",",0,0508,","37.8","0,0629,","-1.7","0,1016","-3.9","0,1028","-6.1","0,1109","-10.6","0,1216","-10.6","0,1216","0.0","X,0502","-2.2","X,0427","-5.6","X,0311","-10.0","X,0310","-10.0","X,0310","","","","","403.8",",0","427",",0","9.92","0","15.79","0","4.05","0","","","","","","","","","",""
"USW00024149","1949","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","401.3","","401.3","0","96","0","37","0","42","","7","0","8","0","106","0","37","0","144","0","38","0","-22.8","0,0125,+","102",",0,0220,+","79",",0,0218,","19.3",",0,0915,","40.6","0,0731,","0.0","0,1008","-4.4","0,1017","-4.4","0,1017","-13.3","0,1219","-13.3","0,1219","0.0","0,0403","-2.8","0,0329","-12.2","0,0213","-12.2","0,0213","-12.2","0,0213","3406.4","","3406.4","0","252.4",",0","531",",0","10.49","0","16.88","0","4.10","0","","","","","","","","","",""
"USW00024149","1950","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","380.5","","380.5","0","132","0","51","0","35","","5","0","16","0","82","0","25","0","131","0","41","0","-30.0","0,0131,","356",",0,0116,","221",",0,0115,","25.7",",0,1029,","39.4","0,0902,","-0.6","0,0929","-3.3","0,1001","","","","","","","-1.7","0,0429","-2.2","0,0313","-10.6","0,0312","-10.6","0,0312","-10.6","0,0312","3438.7","","3438.7","0","476.9",",0","721",",0","10.33","0","16.28","0","4.38","0","","","","","","","","","",""
"USW00024149","1951","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","344.5","","344.5","0","90","0","31","0","12","","4","0","0","0","122","0","16","0","146","0","36","0","-17.2","0,0130,+","76",",0,1228,+","89",",0,0304,","17.3",",0,0605,","40.0","0,0717,","-1.1","0,1017","-3.9","0,1030","-6.1","0,1031","-7.2","0,1101","-8.9","0,1209","0.0","0,0530","-5.6","0,0421","-5.6","0,0421","-6.7","0,0305","-10.0","0,0201","2891.9","","2891.9","0","258.0",",0","319",",0","10.49","0","17.12","0","3.85","0","","","","","","","","","",""
"USW00024149","1952","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","352.9","","352.9","0","86","0","34","0","28","","2","0","0","0","104","0","14","0","164","0","36","0","-17.2","0,0103,+","127",",0,0123,","61",",0,0123,","18.5",",0,0428,","38.9","0,0730,","-2.8","0,1102","-2.8","0,1102","-4.4","0,1106","-6.7","0,1121","-10.6","0,1128","0.0","0,0410","-3.9","0,0408","-4.4","0,0307","-6.7","0,0224","-10.0","0,0122","3181.4","","3181.4","0","259.1",",0","232",",0","11.07","0","17.59","0","4.55","0","","","","","","","","","",""
"USW00024149","1953","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","319.2","","319.2","0","100","0","44","0","0","","0","0","0","0","68","0","0","0","140","0","35","0","-5.6","0,1230,+","0","T,0,0320,+","23",",0,0102,","16.3",",0,0824,","40.0","0,0815,","-1.7","0,1022","-2.2","0,1024","-5.6","0,1230","","","","","-3.3","0,0410","-3.3","0,0410","-4.4","0,0302","","","","","2817.1","","2817.1","0","339.7",",0","39",",0","11.81","0","18.16","0","5.45","0","","","","","","","","","",""
"USW00024149","1954","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","215.4","","215.4","0","90","0","36","0","8","","3","0","2","0","115","0","7","0","128","0","22","0","-23.3","0,0120,","76",",0,0121,+","69",",0,0113,","16.5",",0,0915,+","37.2","0,0706,","-1.1","0,0930","-2.8","0,1024","-5.0","0,1026","-6.7","0,1130","-8.9","0,1201","-2.2","0,0502","-2.2","0,0502","-5.0","0,0501","-6.7","0,0330","-16.1","0,0121","2878.1","","2878.1","0","260.6",",0","190",",0","10.37","0","16.85","0","3.89","0","","","","","","","","","",""
"USW00024149","1955","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","346.2","","346.2","0","115","0","39","0","29","","16","0","3","0","140","0","23","0","120","0","42","0","-19.4","0,1115,+","127",",0,1217,","137",",0,0314,","43.9",",0,0914,","41.1","0,0716,","-0.6","0,1027","-2.2","0,1101","-5.0","0,1111","-13.9","0,1112","-13.9","0,1112","0.0","0,0514","-2.8","0,0427","-4.4","0,0405","-7.2","0,0326","-16.7","0,0305","3431.7","","3431.7","0","358.4",",0","1032",",0","9.38","0","15.53","0","3.23","0","","","","","","","","","",""
"USW00024149","1956","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","332.6","","332.6","0","96","0","41","0","33","","12","0","5","0","113","0","23","0","146","0","35","0","-23.3","0,0201,","102",",0,0223,","178",",0,0222,","41.7",",0,0615,","40.0","0,0814,","-1.1","0,1022","-4.4","0,1114","-4.4","0,1114","-8.3","0,1119","-9.4","0,1206","-0.6","0,0430","-2.2","0,0406","-5.6","0,0314","-6.7","0,0312","-8.9","0,0219","3365.0","","3365.0","0","408.8",",0","763",",0","10.39","0","16.55","0","4.23","0","","","","","","","","","",""
"USW00024149","1957","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","292.1","","292.1","0","106","0","43","0","34","","9","0","9","0","93","0","23","0","139","0","26","0","-28.9","0,0127,","406",",0,0126,+","150",",0,0123,","19.8",",0,0509,","36.7","0,0705,","0.0","0,0919","-3.9","0,1102","-5.6","0,1104","","","","","0.0","0,0416","-2.2","0,0314","-5.6","0,0223","-11.1","0,0221","-11.1","0,0221","3298.2","","3298.2","0","341.4",",0","870",",0","10.47","0","16.42","0","4.52","0","","","","","","","","","",""
