"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00024242","1999","45.55111","-122.40889","8.8","PORTLAND TROUTDALE AIRPORT, OR US","3.3","W","165.2","","165.2","W","175","W","115","W","","","0","W","16","W","0","W","111","W","9","W","-3.3","W,0105,","","","47.8",",W,0624,","34.4","W,0919,+","-2.2","W,1229","-2.2","W,1229","","","","","","","0.0","W,0402","-3.3","W,0105","","","","","2530.5","","2530.5","W","1163.6",",W","12.07","W","17.04","W","7.12","W","90","W","210","W","17.4","W","21.9","W"
"USW00024242","2000","45.55111","-122.40889","8.8","PORTLAND TROUTDALE AIRPORT, OR US","","","","","","","167","W","108","W","","","","","","","","","","","","","","","","","31.2",",W,0930,","","","","","","","","","","","","","","","","","","","","","","","","","929.6",",W","","","","","","","","","","","","","",""
"USW00024242","2001","45.55111","-122.40889","8.8","PORTLAND TROUTDALE AIRPORT, OR US","3.4","W","154.1","","154.1","W","171","W","106","W","","","0","W","19","W","0","W","128","W","8","W","-3.9","W,0226,","","","44.2",",W,1128,","37.8","W,0809,","-1.1","W,1107","","","","","","","","","0.0","W,0414","-3.9","W,0226","","","","","2517.2","","2517.2","W","971.5",",W","12.15","W","17.28","W","7.01","W","90","W","90","W","16.5","W","19.7","W"
"USW00024242","2002","45.55111","-122.40889","8.8","PORTLAND TROUTDALE AIRPORT, OR US","3.4","W","204.2","","204.2","W","144","W","96","W","","","0","W","15","W","0","W","127","W","14","W","-3.3","W,0301,+","","","36.1",",W,1230,","41.1","W,0813,","-0.6","W,1025","","","","","","","","","-2.2","W,0307","-2.2","W,0307","","","","","2383.5","","2383.5","W","972.9",",W","12.47","W","17.62","W","7.32","W","70","W","70","W","18.3","W","21.9","W"
"USW00024242","2003","45.55111","-122.40889","8.8","PORTLAND TROUTDALE AIRPORT, OR US","3.3","W","276.1","","276.1","W","169","W","111","W","","","0","W","21","W","0","W","133","W","27","W","-3.9","W,1122,+","","","63.8",",W,0131,","38.9","W,0729,","0.0","W,1031","-2.2","W,1101","","","","","","","-1.7","W,0302","-2.2","W,0209","","","","","2183.1","","2183.1","W","1167.3",",W","12.87","W","18.01","W","7.73","W","360","W","330","W","38.9","W","38.9","W"
"USW00024242","2004","45.55111","-122.40889","8.8","PORTLAND TROUTDALE AIRPORT, OR US","3.1","W","230.2","","230.2","W","167","W","101","W","","","0","W","22","W","5","W","127","W","13","W","-8.3","W,0106,","","","33.0",",W,0123,","38.9","W,0723,","-0.6","W,1105","-2.2","W,1121","","","","","","","-0.6","W,0402","-2.2","W,0121","-4.4","W,0108","-7.8","W,0107","2322.4","","2322.4","W","941.3",",W","12.56","W","17.41","W","7.71","W","90","W","90","W","18.3","W","21.9","W"
"USW00024242","2005","45.55111","-122.40889","8.8","PORTLAND TROUTDALE AIRPORT, OR US","3.4","B","164.6","","164.6","B","160","B","102","B","","","0","B","42","B","4","B","113","B","14","B","-4.4","B,0111,","","","53.1",",B,0930,","35.0","B,0814,+","-0.6","B,1107","-2.2","B,1127","","","","","","","0.0","W,0318","-3.3","W,0215","-4.4","W,0111","","","2387.7","","2387.7","B","1114.5",",B","11.86","B","16.83","B","6.90","B","200","B","90","B","17.9","B","22.8","B"
"USW00024242","2006","45.55111","-122.40889","8.8","PORTLAND TROUTDALE AIRPORT, OR US","3.3","W","198.2","","198.2","W","160","W","103","W","","","0","W","29","W","1","W","127","W","17","W","-7.7","W,0220,","","","43.2",",W,1106,","40.6","W,0721,","0.0","W,1010","-3.2","W,1217","","","","","","","-1.6","W,0319","-2.7","W,0313","-7.7","W,0220","-7.7","W,0220","2493.8","","2493.8","W","1171.1",",W","12.06","W","17.24","W","6.88","W","300","W","290","W","26.4","W","26.4","W"
"USW00024242","2007","45.55111","-122.40889","8.8","PORTLAND TROUTDALE AIRPORT, OR US","2.7","W","173.6","","173.6","W","162","W","102","W","","","0","W","34","W","5","W","110","W","7","W","-6.0","W,0113,","","","43.9",",W,1202,","38.9","W,0710,","-1.0","W,1026","-3.8","W,1209","","","","","","","0.0","W,0420","-3.2","W,0203","-6.0","W,0113","","","2570.4","","2570.4","W","1046.2",",W","11.64","W","16.48","W","6.81","W","330","W","270","W","36.2","W","76.0","W"
"USW00024242","2008","45.55111","-122.40889","8.8","PORTLAND TROUTDALE AIRPORT, OR US","2.7","W","183.8","","183.8","W","157","W","93","W","","","0","W","42","W","7","W","106","W","15","W","-8.2","W,1221,+","","","34.8",",W,1112,","38.9","W,0815,","0.0","W,1205","-3.2","W,1206","-4.9","W,1214","-8.2","W,1220","","","0.0","W,0411","-2.7","W,0402","","","","","2768.7","","2768.7","W","769.5",",W","11.31","W","16.24","W","6.38","W","80","W","180","W","59.5","W","82.3","W"
