"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00025325","1914","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","0.0","","0.0","6","216","6","215","6","","","","","0","6","133","6","27","6","29","6","0","6","-15.6","6,0127,+","","","","","132.1",",6,0805,","30.0","6,0523,","0.0","6,0917","-3.9","6,1113","-7.2","6,1115","-7.2","6,1115","-8.9","6,1201","0.0","6,0605","-3.3","6,0420","-5.0","6,0406","-8.3","6,0328","-8.9","6,0326","4181.7","","4181.7","6","4402.3",",6","","","6.26","6","10.82","6","1.71","6","","","","","","","","","",""
"USW00025325","1916","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","0.0","","0.0","6","","","","","","","","","3","6","136","6","37","6","37","6","0","6","-21.7","6,0123,","","","","","","","27.2","6,0725,","-0.6","6,1001","-3.3","6,1110","-5.6","6,1111","-8.9","6,1223","-8.9","6,1223","-0.6","6,0523","-2.2","6,0418","-4.4","6,0306","-7.8","6,0304","-9.4","6,0303","4250.9","","4250.9","6","","","","","5.84","6","9.98","6","1.70","6","","","","","","","","","",""
"USW00025325","1917","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","","","","","","","","","","","","","5","6","139","6","","","","","","","-20.6","6,0129,","","","","","","","","","-0.6","6,1016","-3.3","6,1130","-6.1","6,1201","-8.3","6,1202","-15.0","6,1222","0.0","6,0524","-2.8","6,0511","-5.6","6,0330","-6.7","6,0301","-8.9","6,0226","","","","","","","","","","","","","1.63","6","","","","","","","","","",""
"USW00025325","1918","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","10.0","","10.0","6","","","","","","","","","0","6","127","6","6","6","49","6","0","6","-12.2","6,0311,","","","","","","","29.4","6,0716,+","-1.1","6,1016","-2.2","6,1111","-5.0","6,1205","-8.3","6,1212","-9.4","6,1213","0.0","6,0523","-4.4","6,0406","-4.4","6,0406","-12.2","6,0311","-12.2","6,0311","4368.7","","4368.7","6","","","","","7.05","6","11.23","6","2.87","6","","","","","","","","","",""
"USW00025325","1919","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","","","","","250","6","178","6","","","","","","","","","","","","","","","","","","","","","113.8",",6,0917,","","","","","","","","","","","","","","","","","","","","","","","4142.1","","4142.1","6","3140.3",",6","","","","","","","","","","","","","","","","","",""
"USW00025325","1921","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","","","","","275","6","178","6","","","","","","","","","20","6","21","6","0","6","","","","","","","141.0",",6,1002,","27.8","6,0813,","","","","","","","","","","","","","","","","","","","","","4299.4","","4299.4","","4113.1",",6","","","","","10.27","6","","","","","","","","","","","",""
"USW00025325","1922","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","0.0","","0.0","6","","","","","","","","","0","6","120","6","21","6","38","6","0","6","-14.4","6,0212,+","","","","","","","28.3","6,0601,","0.0","6,1003","-2.2","6,1110","-6.1","6,1204","-8.9","6,1205","-8.9","6,1205","0.0","6,0525","-3.9","6,0416","-7.2","6,0326","-7.2","6,0326","-8.9","6,0226","","","","","","","","","6.63","6","10.62","6","2.64","6","","","","","","","","","",""
"USW00025325","1923","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","6.1","","6.1","6","269","6","206","6","","","","","0","6","91","6","16","6","45","6","0","6","-13.3","6,0214,","","","","","115.1",",6,0830,","31.1","6,0707,","0.0","6,1027","-2.2","6,1030","-4.4","6,1226","-9.4","6,1229","-9.4","6,1229","0.0","6,0428","-3.3","6,0406","-6.1","6,0215","-13.3","6,0214","-13.3","6,0214","4031.7","","4031.7","6","4388.4",",6","","","7.99","6","11.83","6","4.14","6","","","","","","","","","",""
"USW00025325","1924","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","5.0","","5.0","6","267","6","204","6","","","","","0","6","80","6","9","6","30","6","0","6","-14.4","6,1215,","","","","","149.1",",6,0529,","26.7","6,0610,","0.0","6,1008","-3.3","6,1028","-5.6","6,1107","-7.8","6,1108","-8.9","6,1109","-2.2","6,0423","-2.2","6,0423","-7.2","6,0329","-7.2","6,0329","-8.9","6,0101","3588.6","","3588.6","6","4263.1",",6","","","7.56","6","11.10","6","4.02","6","","","","","","","","","",""
"USW00025325","1925","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","","","","","221","6","184","6","","","18","6","","","","","","","","","","","","","","","229",",6,0326,","91.4",",6,1018,","","","","","","","","","","","","","","","","","","","","","","","4145.6","","4145.6","6","3921.3",",6","1563",",6","","","","","","","","","","","","","","","",""
"USW00025325","1926","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","5.7","","5.7","6","239","6","202","6","","","","","0","6","74","6","3","6","38","6","0","6","-9.4","6,1213,+","","","","","112.8",",6,0412,","28.9","6,0810,","0.0","6,0915","-2.2","6,0921","-5.0","6,1211","-9.4","6,1212","-9.4","6,1212","0.0","6,0506","-2.8","6,0405","-5.6","6,0213","","","","","","","","","4362.2",",6","","","8.29","6","12.05","6","4.53","6","","","","","","","","","",""
"USW00025325","1927","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","12.9","","12.9","6","","","","","","","21","6","0","6","148","6","20","6","40","6","0","6","-14.4","6,1230,","","","203",",6,1214,","","","30.0","6,0731,","0.0","6,1001","-3.3","6,1106","-6.7","6,1107","-6.7","6,1107","-9.4","6,1109","0.0","6,0506","-5.6","6,0418","-5.6","6,0418","-11.7","6,0216","-11.7","6,0216","4042.6","","4042.6","6","","","1479",",6","6.32","6","10.55","6","2.10","6","","","","","","","","","",""
"USW00025325","1928","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","2.6","","2.6","6","","","","","","","","","0","6","111","6","0","6","37","6","0","6","-6.7","6,1202,+","","","","","","","28.9","6,0609,","-1.1","6,1009","-2.2","6,1112","-5.0","6,1113","-6.7","6,1201","","","-1.1","6,0515","-2.2","6,0411","-5.0","6,0307","","","","","4061.9","","4061.9","6","","","","","7.54","6","11.64","6","3.44","6","","","","","","","","","",""
"USW00025325","1929","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","0.6","","0.6","6","","","","","","","","","0","6","103","6","14","6","19","6","0","6","-14.4","6,0201,+","","","","","","","28.9","6,0802,","-0.6","6,1105","-5.6","6,1208","-5.6","6,1208","-10.0","6,1209","-10.0","6,1209","-0.6","6,0512","-2.8","6,0418","-5.0","6,0408","-7.8","6,0405","-8.9","6,0404","4137.2","","4137.2","6","","","","","6.87","6","10.86","6","2.88","6","","","","","","","","","",""
"USW00025325","1930","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","3.6","","3.6","6","213","6","179","6","","","9","6","0","6","83","6","11","6","34","6","0","6","-11.1","6,0106,","","","152",",6,0206,","172.7",",6,1002,","27.2","6,0729,","-0.6","6,1010","-2.2","6,1015","","","","","","","0.0","6,0508","-2.2","6,0409","-8.3","6,0319","-8.3","6,0319","-10.0","6,0121","3922.9","","3922.9","6","3965.5",",6","597",",6","7.92","6","11.33","6","4.51","6","","","","","","","","","",""
"USW00025325","1931","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","0.8","","0.8","6","254","6","205","6","","","7","6","0","6","45","6","1","6","24","6","0","6","-8.3","6,1117,","","","127",",6,0303,","92.2",",6,0827,","26.7","6,0613,","0.0","6,1020","-4.4","6,1115","-4.4","6,1115","-6.7","6,1116","","","-1.1","6,0419","-2.8","6,0328","-6.7","6,0313","-6.7","6,0313","","","3371.3","","3371.3","6","3577.6",",6","495",",6","8.52","6","11.94","6","5.11","6","","","","","","","","","",""
"USW00025325","1932","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","8.9","","8.9","6","253","6","199","6","","","","","0","6","81","6","16","6","17","6","0","6","-11.1","6,0131,","","","","","125.5",",6,0224,","26.7","6,0816,","0.0","6,1107","-3.3","6,1201","-6.1","6,1206","-7.8","6,1207","-8.9","6,1208","0.0","6,0424","-2.2","6,0315","-4.4","6,0307","-6.7","6,0302","-8.9","6,0204","3902.9","","3902.9","6","3893.7",",6","","","7.60","6","10.75","6","4.44","6","","","","","","","","","",""
"USW00025325","1933","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","4.2","","4.2","6","253","6","193","6","","","","","0","6","103","6","22","6","22","6","0","6","-16.7","6,1230,","","","","","115.8",",6,1026,","26.7","6,0804,+","-0.6","6,1019","-4.4","6,1021","-4.4","6,1021","-7.2","6,1210","-10.0","6,1215","-1.1","6,0429","-2.2","6,0408","-5.6","6,0313","-8.3","6,0301","-8.9","6,0123","3923.0","","3923.0","6","3531.6",",6","","","7.02","6","10.51","6","3.53","6","","","","","","","","","",""
"USW00025325","1934","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","11.1","","11.1","6","222","6","181","6","","","12","6","0","6","61","6","9","6","37","6","0","6","-15.6","6,0101,","","","51",",6,1130,+","106.7",",6,0107,","30.0","6,0726,+","-0.6","6,1022","-2.8","6,1222","-7.2","6,1223","-7.2","6,1223","-10.6","6,1224","0.0","6,0417","-2.2","6,0325","-5.6","6,0306","-6.7","6,0102","-15.6","6,0101","3769.0","","3769.0","6","3352.4",",6","378",",6","8.82","6","12.65","6","4.99","6","","","","","","","","","",""
"USW00025325","1935","55.35667","-131.71167","23.2","KETCHIKAN INTERNATIONAL AIRPORT, AK US","","","0.5","","0.5","6","227","6","173","6","","","12","6","0","6","89","6","15","6","24","6","0","6","-15.6","6,0118,","","","51",",6,0324,+","119.1",",6,1023,","26.1","6,0726,","0.0","6,1021","-5.0","6,1028","-5.0","6,1028","","","","","0.0","6,0430","-3.3","6,0408","-4.4","6,0401","-8.3","6,0308","-8.9","6,0306","3901.4","","3901.4","6","3277.4",",6","456",",6","7.62","6","10.90","6","4.35","6","","","","","","","","","",""
