"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00026528","1919","62.32","-150.095","106.7","TALKEETNA AIRPORT, AK US","","","","","","","","","","","","","","","55","6","200","6","","","","","","","-44.4","6,0128,","","","","","","","","","-0.6","6,0831","-2.2","6,0929","-5.6","6,0930","-6.7","6,1001","-14.4","6,1005","-2.8","6,0523","-2.8","6,0523","-5.0","6,0416","-7.8","6,0415","-9.4","6,0414","","","","","","","","","","","","","-4.55","6","","","","","","","","","","","",""
"USW00026528","1921","62.32","-150.095","106.7","TALKEETNA AIRPORT, AK US","","","0.0","","0.0","6","","","","","","","","","72","6","233","6","120","6","41","6","0","6","-36.1","6,0212,+","","","","","","","28.3","6,0708,","-1.1","6,0822","-3.9","6,0903","-5.0","6,1002","-6.7","6,1004","-10.6","6,1024","0.0","6,0721","-3.3","6,0530","-5.0","6,0510","-7.8","6,0427","-11.7","6,0426","","","","","","","","","0.23","6","6.25","6","-5.80","6","","","","","","","","","","","",""
"USW00026528","1922","62.32","-150.095","106.7","TALKEETNA AIRPORT, AK US","","","","","","","","","","","","","","","","","","","113","6","33","6","0","6","","","","","","","","","30.6","6,0725,","","","","","","","","","","","","","","","","","","","","","6421.3","","6421.3","6","","","","","","","6.83","6","","","","","","","","","","","","","",""
"USW00026528","1923","62.32","-150.095","106.7","TALKEETNA AIRPORT, AK US","","","6.7","","6.7","6","","","","","","","","","70","6","231","6","92","6","65","6","1","6","-35.6","6,0127,","","","","","","","32.2","6,0724,","-0.6","6,0814","-2.2","6,0922","-4.4","6,0924","-6.7","6,0928","-10.0","6,1104","-0.6","6,0626","-2.8","6,0523","-4.4","6,0522","-6.7","6,0506","-13.3","6,0420","","","","","","","","","1.52","6","8.40","6","-5.37","6","","","","","","","","","","","",""
"USW00026528","1924","62.32","-150.095","106.7","TALKEETNA AIRPORT, AK US","","","0.3","","0.3","6","","","","","","","","","56","6","244","6","102","6","47","6","0","6","-40.6","6,1213,","","","","","","","27.8","6,0621,","0.0","6,0823","-2.8","6,0901","-5.0","6,0922","-7.8","6,1007","-10.0","6,1011","-0.6","6,0603","-2.2","6,0518","-5.0","6,0506","-9.4","6,0423","-9.4","6,0423","6026.3","","6026.3","6","","","","","0.65","6","7.10","6","-5.80","6","","","","","","","","","","","",""
"USW00026528","1925","62.32","-150.095","106.7","TALKEETNA AIRPORT, AK US","","","0.0","","0.0","6","","","","","","","","","70","6","221","6","97","6","53","6","0","6","-40.6","6,0118,","","","","","","","31.1","6,0713,","0.0","6,0820","-3.9","6,0923","-4.4","6,0925","-6.7","6,1024","-10.6","6,1114","-0.6","6,0719","-2.8","6,0606","-12.2","6,0421","-12.2","6,0421","-12.2","6,0421","6825.0","","6825.0","6","","","","","0.74","6","7.26","6","-5.79","6","","","","","","","","","","","",""
"USW00026528","1926","62.32","-150.095","106.7","TALKEETNA AIRPORT, AK US","","","6.1","","6.1","6","101","6","77","6","","","","","28","6","220","6","73","6","71","6","0","6","-35.6","6,1222,","","","","","25.4",",6,1209,+","31.1","6,0619,+","-2.8","6,0915","-2.8","6,0915","-8.9","6,1007","-8.9","6,1007","-8.9","6,1007","0.0","6,0605","-2.8","6,0526","-4.4","6,0428","-7.8","6,0408","-10.0","6,0406","5373.1","","5373.1","6","598.4",",6","","","3.73","6","10.13","6","-2.68","6","","","","","","","","","","","",""
"USW00026528","1927","62.32","-150.095","106.7","TALKEETNA AIRPORT, AK US","","","0.3","","0.3","6","114","6","88","6","","","","","78","6","234","6","136","6","47","6","0","6","-34.4","6,1129,","","","","","30.5",",6,1025,","26.1","6,0729,+","0.0","6,0826","-2.8","6,0908","-6.7","6,0912","-6.7","6,0912","-15.6","6,1012","0.0","6,0613","-3.9","6,0517","-5.6","6,0503","-6.7","6,0429","-11.1","6,0419","5927.3","","5927.3","6","710.2",",6","","","-0.28","6","6.16","6","-6.72","6","","","","","","","","","","","",""
"USW00026528","1928","62.32","-150.095","106.7","TALKEETNA AIRPORT, AK US","","","3.1","","3.1","6","117","6","93","6","","","54","6","24","6","241","6","108","6","33","6","0","6","-31.1","6,1212,","","","914",",6,0216,","61.0",",6,0216,","31.1","6,0608,","0.0","6,0809","-2.8","6,0910","-6.7","6,0914","-6.7","6,0914","-10.0","6,1005","0.0","6,0527","-3.9","6,0523","-4.4","6,0514","-6.7","6,0510","-9.4","6,0429","6500.6","","6500.6","6","923.9",",6","5609",",6","1.55","6","7.30","6","-4.19","6","","","","","","","","","","","",""
"USW00026528","1929","62.32","-150.095","106.7","TALKEETNA AIRPORT, AK US","","","0.0","","0.0","6","115","6","105","6","","","","","48","6","232","6","121","6","32","6","0","6","-40.0","6,1231,+","","","","","48.3",",6,0905,","26.7","6,0803,+","0.0","6,0817","-2.8","6,0919","-4.4","6,1005","-6.7","6,1017","-17.2","6,1020","0.0","6,0731","-2.2","6,0524","-5.6","6,0513","-9.4","6,0422","-9.4","6,0422","6240.1","","6240.1","6","1148.9",",6","","","0.85","6","6.50","6","-4.80","6","","","","","","","","","","","",""
