"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00026627","1945","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","","","","","","","","","","","80","6","244","6","164","6","2","6","0","6","-40.0","6,1230,","","","","","","","23.9","6,0710,","0.0","6,0806","-2.2","6,0908","-5.0","6,1006","-6.7","6,1010","-11.1","6,1011","0.0","6,0622","-3.3","6,0604","-8.9","6,0514","-8.9","6,0514","-8.9","6,0514","7624.7","","7624.7","6","","","","","-3.84","6","0.05","6","-7.72","6","","","","","","","",""
"USW00026627","1946","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","1.9","","1.9","6","","","","","","","","","88","6","217","6","167","6","12","6","0","6","-38.9","6,0207,","","","","","","","26.1","6,0708,","0.0","6,0805","-2.8","6,0921","-4.4","6,0923","-7.8","6,0927","-8.9","6,1031","-0.6","6,0611","-3.9","6,0508","-11.7","6,0507","-11.7","6,0507","-11.7","6,0507","","","","","","","","","-3.54","6","0.21","6","-7.28","6","","","","","","","",""
"USW00026627","1947","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","1.9","","1.9","6","84","6","23","6","","","","","77","6","221","6","162","6","9","6","0","6","-43.9","6,0120,","","","","","26.7",",6,0826,","25.6","6,0720,","0.0","6,0817","-2.8","6,0919","-4.4","6,0921","-6.7","6,0930","-10.0","6,1001","-0.6","6,0518","-9.4","6,0503","-9.4","6,0503","-9.4","6,0503","-9.4","6,0503","7687.6","","7687.6","6","214.1",",6","","","-2.82","6","0.93","6","-6.57","6","","","","","","","",""
"USW00026627","1948","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.6","","0.6","6","108","6","31","6","","","","","93","6","245","6","182","6","3","6","0","6","-43.9","6,1201,+","","","","","17.8",",6,0804,","30.0","6,0618,","0.0","6,0819","-3.3","6,0918","-4.4","6,0922","-7.2","6,0926","-9.4","6,1016","-2.2","6,0530","-2.2","6,0530","-5.0","6,0514","-6.7","6,0508","-8.9","6,0506","7577.3","","7577.3","6","248.8",",6","","","-4.32","6","-0.71","6","-7.92","6","","","","","","","",""
"USW00026627","1949","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.3","","0.3","0","117","0","38","0","203","","18","0","72","0","228","0","149","0","3","0","0","0","-43.3","0,0102,","1067",",0,0218,+","112",",0,0204,","18.3",",0,0524,","23.9","0,0714,+","0.0","0,1003","-4.4","0,1004","-4.4","0,1004","-8.3","0,1006","-10.0","0,1013","0.0","6,0622","-2.2","6,0516","-10.0","6,0509","-10.0","6,0509","-10.0","6,0509","8267.5","","8267.5","0","327.3",",0","1109",",0","-2.47","0","1.23","0","-6.18","0","","","","","","","",""
"USW00026627","1950","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","","0.0","0","89","0","34","0","175","","14","0","81","0","235","0","157","0","11","0","0","0","-41.1","0,0210,","254",",0,0113,+","102",",0,0104,","13.5",",0,0927,+","26.7","0,0815,+","-0.6","0,0912","-2.8","0,1007","-5.6","0,1008","-10.6","0,1010","-10.6","0,1010","0.0","0,0614","-5.6","0,0523","-5.6","0,0523","-13.3","0,0506","-13.3","0,0506","7497.9","","7497.9","0","254.9",",0","733",",0","-2.41","0","1.99","0","-6.81","0","","","","","","","",""
"USW00026627","1951","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.6","","0.6","0","126","0","50","0","180","","28","0","92","0","227","0","159","0","5","0","0","0","-42.8","0,0112,","330",",0,1231,+","163",",0,1008,","30.7",",0,0821,","30.0","0,0626,","-1.1","0,0831","-2.2","0,0923","-6.7","0,0927","-6.7","0,0927","-8.9","0,1005","-2.2","0,0514","-2.2","0,0514","-4.4","0,0501","-7.8","0,0426","-10.0","0,0412","7530.0","","7530.0","0","488.9",",0","1567",",0","-3.15","0","1.07","0","-7.38","0","","","","","","","",""
"USW00026627","1952","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","","0.0","0","80","0","35","0","176","","12","0","78","0","252","0","179","0","7","0","0","0","-38.9","0,0212,+","483",",0,0308,+","104",",0,0504,","25.7",",0,0803,","26.7","0,0627,","-0.6","0,0824","-2.2","0,0905","-5.6","0,0906","-8.3","0,0929","-8.9","0,1012","-3.9","0,0606","-3.9","0,0606","-5.0","0,0526","-7.2","0,0512","-12.2","0,0510","8082.3","","8082.3","0","331.3",",0","665",",0","-3.49","0","0.75","0","-7.73","0","","","","","","","",""
"USW00026627","1953","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.6","","0.6","0","58","0","31","0","103","","8","0","95","0","253","0","168","0","5","0","0","0","-42.8","0,0127,","102",",0,1105,+","76",",0,0124,","21.6",",0,0624,","27.8","0,0726,","-1.7","0,0815","-2.2","0,0816","-5.6","0,0928","-6.7","0,0929","-8.9","0,1001","0.0","0,0716","-2.2","0,0521","-4.4","0,0516","-12.2","0,0416","-12.2","0,0416","7903.7","","7903.7","0","262.3",",0","439",",0","-3.78","0","1.22","0","-8.77","0","","","","","","","",""
"USW00026627","1954","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","","0.0","0","68","0","37","0","119","","10","0","93","0","232","0","156","0","3","0","0","0","-44.4","0,0131,","203",",0,1215,+","86",",0,0114,","33.0",",0,0822,","22.2","0,0610,","-0.6","0,0912","-3.9","0,0920","-4.4","0,0921","-6.7","0,0925","-8.9","0,1109","0.0","0,0526","-3.3","0,0523","-4.4","0,0517","-8.9","0,0427","-8.9","0,0427","7947.4","","7947.4","0","271.5",",0","577",",0","-3.84","0","0.45","0","-8.13","0","","","","","","","",""
"USW00026627","1955","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.3","","0.3","0","94","0","39","0","214","","12","0","92","0","247","0","182","0","3","0","0","0","-38.3","0,0105,","279",",0,0312,+","91",",0,1111,","15.5",",0,0826,","24.4","0,0722,","-0.6","0,0830","-2.8","0,0902","-5.0","0,0925","-9.4","0,1011","-9.4","0,1011","-0.6","0,0613","-3.3","0,0511","-6.1","0,0502","-7.2","0,0427","-11.7","0,0426","8207.2","","8207.2","0","244.3",",0","761",",0","-4.61","0","-0.52","0","-8.69","0","","","","","","","",""
