"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00053847","2007","30.70444","-87.02306","54.3","WHITING FIELD NAS SOUTH, FL US","","","1743.6","","1743.6","W","147","W","67","W","0","W","18","W","0","W","296","W","129","W","-6.7","W,0217,","124.7",",W,1018,","39.4","W,0822,+","-0.5","W,1116","","","","","0.0","M,0306","-4.4","M,0219","-4.4","M,0219","-6.7","M,0217","","","","","1374.8",",W","21.06","W","27.69","W","14.44","W","","","","","","","",""
"USW00053847","2008","30.70444","-87.02306","54.3","WHITING FIELD NAS SOUTH, FL US","2.9","W","1608.0","","1608.0","W","","","","","0","W","21","W","0","W","294","W","114","W","-3.2","W,1119,+","","","37.8","W,0806,+","0.0","W,1029","-3.2","W,1119","","","-1.6","W,0325","-2.7","W,0228","","","","","693.1","","693.1","W","","","20.64","W","27.19","W","14.09","W","","","","","","","",""
"USW00053847","2009","30.70444","-87.02306","54.3","WHITING FIELD NAS SOUTH, FL US","","","","","","","149","W","87","W","","","","","","","","","","","","","133.3",",W,1202,","","","","","","","","","","","","","","","","","727.9","","727.9","W","2167.0",",W","","","","","","","100","W","300","W","17.4","W","27.7","W"
"USW00053847","2010","30.70444","-87.02306","54.3","WHITING FIELD NAS SOUTH, FL US","2.7","W","1745.2","","1745.2","W","","","","","0","W","43","W","0","W","266","W","126","W","-6.6","W,0106,","","","39.4","W,0801,","-0.5","W,1202","-3.8","W,1207","-6.0","W,1228","-1.0","W,0307","-2.7","W,0305","-6.6","W,0106","","","","","","","","","20.29","W","26.96","W","13.61","W","50","W","30","W","15.7","W","31.3","W"
"USW00053847","2011","30.70444","-87.02306","54.3","WHITING FIELD NAS SOUTH, FL US","2.8","W","1491.0","","1491.0","W","110","W","60","W","0","W","18","W","0","W","289","W","103","W","-6.0","W,0114,","166.9",",W,0717,","40.0","W,0604,","-1.0","W,1130","-2.7","W,1201","","","-0.5","W,0213","-2.7","W,0212","-6.0","W,0114","","","843.2","","843.2","W","1357.2",",W","20.23","W","26.86","W","13.60","W","180","W","30","W","13.9","W","25.0","W"
"USW00053847","2012","30.70444","-87.02306","54.3","WHITING FIELD NAS SOUTH, FL US","2.6","W","1365.3","","1365.3","W","132","W","85","W","0","W","15","W","0","W","291","W","66","W","-6.6","W,0104,","108.0",",W,0609,","37.2","W,0527,","-2.1","W,1125","","","","","-3.8","W,0213","-3.8","W,0213","-4.9","W,0114","","","637.0","","637.0","W","1515.1",",W","20.29","W","26.44","W","14.13","W","350","W","70","W","17.0","W","23.3","W"
"USW00053847","2013","30.70444","-87.02306","54.3","WHITING FIELD NAS SOUTH, FL US","","","","","","","117","W","65","W","","","","","","","","","","","","","59.7",",W,0921,","","","","","","","","","","","","","","","","","","","","","1088.9",",W","","","","","","","190","W","190","W","14.8","W","23.7","W"
"USW00053847","2014","30.70444","-87.02306","54.3","WHITING FIELD NAS SOUTH, FL US","2.8","W","","","","","126","W","87","W","","","","","","","","","","","","","280.7",",W,0429,","","","","","","","","","","","","","","","","","","","","","1944.3",",W","","","","","","","340","W","350","W","19.2","W","26.4","W"
"USW00053847","2015","30.70444","-87.02306","54.3","WHITING FIELD NAS SOUTH, FL US","2.9","W","","","","","111","W","73","W","","","","","","","","","","","","","129.5",",W,0928,","","","","","","","","","","","","","","","","","","","","","1787.1",",W","","","","","","","350","W","360","W","16.5","W","22.4","W"
"USW00053847","2016","30.70444","-87.02306","54.3","WHITING FIELD NAS SOUTH, FL US","2.8","W","","","","","115","W","81","W","","","","","","","","","","","","","125.0",",W,0604,","","","","","","","","","","","","","","","","","","","","","1823.6",",W","","","","","","","50","W","50","W","21.0","W","28.6","W"
"USW00053847","2017","30.70444","-87.02306","54.3","WHITING FIELD NAS SOUTH, FL US","2.8","W","","","","","124","W","85","W","","","","","","","","","","","","","136.9",",W,0621,","","","","","","","","","","","","","","","","","","","","","2057.6",",W","","","","","","","160","W","160","W","17.4","W","23.3","W"
