"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00053853","1998","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","","","1596.4","","1596.4","W","","","","","0","W","2","W","0","W","263","W","43","W","-1.1","W,0312,+","","","36.1","W,0629,","","","-1.1","M,0312","","","","","877.6","","877.6","W","","","20.90","W","24.79","W","17.00","W","","","","","","","",""
"USW00053853","1999","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","2.8","W","1461.4","","1461.4","W","108","W","47","W","0","W","5","W","0","W","267","W","48","W","-3.9","W,0104,","58.7",",W,1101,","36.1","W,0803,+","-1.1","W,1226","-2.2","W,0110","-2.2","W,0110","","","459.6","","459.6","W","753.5",",W","20.80","W","25.30","W","16.30","W","330","W","120","W","19.2","W","21.5","W"
"USW00053853","2000","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","2.8","W","","","","","110","W","56","W","","","","","","","","","","","","","53.1",",W,1124,+","","","","","","","","","","","591.3","","591.3","W","913.5",",W","","","","","","","","","","","","","",""
"USW00053853","2001","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","3.0","W","1400.9","","1400.9","W","124","W","62","W","0","W","9","W","0","W","267","W","19","W","-3.9","W,0102,","79.0",",W,0601,","34.4","W,0723,+","0.0","W,1226","-0.6","W,0122","-2.8","W,0103","","","","","","","985.1",",W","20.39","W","24.65","W","16.12","W","10","W","10","W","16.1","W","21.5","W"
"USW00053853","2002","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","","","","","","","127","W","67","W","","","","","","","","","","","","","112.3",",W,0925,","","","","","","","","","","","","","","","1535.5",",W","","","","","","","","","","","","","",""
"USW00053853","2003","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","2.9","W","","","","","143","W","81","W","","","","","","","","","","","","","115.6",",W,0701,","","","","","","","","","","","","","","","1668.1",",W","","","","","","","340","W","360","W","16.1","W","65.7","W"
"USW00053853","2004","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","3.1","W","1499.5","","1499.5","W","114","W","59","W","0","W","7","W","0","W","255","W","38","W","-1.7","W,0128,","87.9",",W,0810,","36.7","W,0712,","-0.6","W,1215","0.0","W,0208","","","","","810.5","","810.5","W","1267.6",",W","20.38","W","24.47","W","16.30","W","340","W","70","W","13.9","W","80.0","W"
"USW00053853","2005","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","3.4","B","1511.5","","1511.5","B","119","B","67","B","0","B","5","B","0","B","251","B","43","B","-2.2","B,0123,","123.7",",B,0806,","35.6","B,0919,","0.0","B,1223","-0.6","W,0124","-2.2","W,0123","","","622.6","","622.6","B","1580.6",",B","20.61","B","24.61","B","16.60","B","130","B","360","B","27.7","B","65.7","B"
"USW00053853","2006","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","","","","","","","78","W","42","W","","","","","","","","","","","","","63.0",",W,0805,","","","","","","","","","","","670.9","","670.9","W","787.5",",W","","","","","","","130","W","210","W","14.3","W","19.2","W"
"USW00053853","2007","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","2.9","W","1544.4","","1544.4","W","81","W","57","W","0","W","6","W","0","W","260","W","60","W","-2.1","W,0217,","161.3",",W,1018,","35.0","W,0806,","","","-0.5","W,0219","","","","","","","","","1230.3",",W","20.73","W","25.05","W","16.41","W","130","W","","","13.9","W","55.4","W"
"USW00053853","2008","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","3.0","W","","","","","85","W","61","W","","","","","0","W","257","W","27","W","","","103.6",",W,1210,","34.4","W,0830,","","","","","","","","","715.7","","715.7","W","985.3",",W","","","24.24","W","","","120","W","180","W","13.9","W","20.6","W"
"USW00053853","2009","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","3.0","W","1501.9","","1501.9","W","100","W","73","W","0","W","7","W","0","W","261","W","25","W","-2.1","W,0204,+","93.2",",W,0413,","37.2","W,0623,","","","-0.5","W,0205","","","","","","","","","1388.9",",W","20.44","W","24.33","W","16.56","W","350","W","340","W","20.1","W","31.3","W"
"USW00053853","2010","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","3.0","W","1611.1","","1611.1","W","119","W","65","W","0","W","23","W","0","W","237","W","76","W","-4.9","W,0111,+","151.4",",W,0503,","37.2","W,0731,","0.0","W,1207","0.0","W,0225","-4.9","W,0111","-4.9","W,0111","1039.6","","1039.6","W","1539.9",",W","19.74","W","24.07","W","15.40","W","140","W","150","W","15.7","W","23.7","W"
"USW00053853","2011","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","2.8","W","1667.1","","1667.1","W","115","W","64","W","0","W","7","W","0","W","269","W","78","W","-4.9","W,0212,","170.9",",W,0716,","36.7","W,0826,+","","","-4.9","W,0212","-4.9","W,0212","-4.9","W,0212","837.9","","837.9","W","1438.8",",W","21.00","W","25.24","W","16.77","W","290","W","330","W","38.9","W","79.1","W"
"USW00053853","2012","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","2.9","W","1516.1","","1516.1","W","114","W","68","W","0","W","2","W","0","W","290","W","19","W","-1.6","W,0212,","187.7",",W,0303,","36.7","W,0527,","","","-1.6","W,0212","","","","","442.0","","442.0","W","1469.3",",W","21.36","W","25.37","W","17.35","W","330","W","190","W","17.0","W","25.9","W"
"USW00053853","2013","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","3.0","W","1546.4","","1546.4","W","114","W","66","W","0","W","0","W","0","W","270","W","32","W","0.6","W,1128,","127.5",",W,0609,","33.9","W,0911,+","","","","","","","","","607.5","","607.5","W","1796.4",",W","20.93","W","24.85","W","17.01","W","330","W","120","W","14.3","W","18.8","W"
"USW00053853","2014","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","2.9","W","1571.0","","1571.0","W","105","W","71","W","0","W","8","W","1","W","247","W","65","W","-6.6","W,0107,","242.1",",W,0430,","37.8","W,0823,","","","-3.8","W,0130","-3.8","W,0130","-6.6","W,0107","771.1","","771.1","W","1856.6",",W","20.35","W","24.53","W","16.17","W","340","W","350","W","21.5","W","29.1","W"
"USW00053853","2015","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","3.1","W","1867.2","","1867.2","W","101","W","56","W","0","W","7","W","0","W","293","W","69","W","-6.0","W,0108,","318.5",",W,0928,","37.2","W,0717,","","","0.0","W,0306","-6.0","W,0108","-6.0","W,0108","735.4","","735.4","W","1445.6",",W","21.92","W","25.94","W","17.91","W","120","W","120","W","14.8","W","20.6","W"
"USW00053853","2016","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","3.0","W","2011.2","","2011.2","W","84","W","64","W","0","W","0","W","0","W","293","W","108","W","1.1","W,0124,","146.8",",W,1205,","36.1","W,0720,+","","","","","","","","","416.9","","416.9","W","1424.4",",W","22.57","W","26.61","W","18.53","W","140","W","130","W","16.5","W","21.9","W"
"USW00053853","2017","30.4","-86.47167","6.7","DESTIN FORT WALTON BEACH AIRPORT, FL US","3.0","W","1959.6","","1959.6","W","109","W","73","W","0","W","2","W","0","W","317","W","79","W","-1.6","W,0108,","83.1",",W,0520,","37.2","W,0824,","","","-1.6","W,0108","","","","","262.7","","262.7","W","1609.2",",W","22.80","W","26.80","W","18.80","W","140","W","190","W","15.7","W","25.5","W"
