"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00053854","1998","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","","","1265.1","","1265.1","W","","","","","0","W","18","W","0","W","248","W","89","W","-5.6","W,0101,","","","38.3","W,0630,+","-3.3","W,1218","-3.3","W,1218","","","","","-5.0","M,0313","-5.0","M,0313","-5.0","M,0313","","","","","","","","","","","18.83","W","24.86","W","12.80","W","","","","","","","",""
"USW00053854","1999","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.6","W","1094.6","","1094.6","W","117","W","56","W","0","W","37","W","0","W","255","W","65","W","-8.3","W,0106,","60.7",",W,0430,","40.6","W,0801,","-0.6","W,1117","-2.2","W,1118","-5.0","W,1225","","","0.0","W,0316","-3.3","W,0225","-8.3","W,0106","-8.3","W,0106","","","1067.7","","1067.7","W","763.0",",W","18.11","W","24.57","W","11.64","W","270","W","280","W","16.5","W","21.9","W"
"USW00053854","2000","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.2","W","1133.5","","1133.5","W","99","W","55","W","0","W","44","W","0","W","253","W","75","W","-7.8","W,1231,+","95.5",",W,0923,","38.3","W,0525,","-1.7","W,1121","-5.6","W,1122","-5.6","W,1122","-6.7","W,1205","-1.1","W,0222","-5.0","W,0206","-5.0","W,0206","","","","","1212.7","","1212.7","W","937.8",",W","17.54","W","24.06","W","11.01","W","260","W","270","W","17.0","W","21.9","W"
"USW00053854","2001","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.5","W","1083.2","","1083.2","W","109","W","54","W","0","W","40","W","0","W","259","W","48","W","-8.9","W,0103,","41.1",",W,0529,","35.6","W,0828,+","-0.6","W,1027","-2.2","W,1221","-4.4","W,1226","","","-0.6","W,0328","-2.2","W,0307","-6.1","W,0126","-8.3","W,0104","-8.9","W,0103","1427.5","","1427.5","W","679.5",",W","18.06","W","24.56","W","11.56","W","280","W","280","W","17.0","W","24.1","W"
"USW00053854","2002","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.6","W","1293.6","","1293.6","W","146","W","67","W","0","W","43","W","1","W","238","W","80","W","-7.8","W,0228,","39.4",",W,0827,","38.9","W,0719,","-0.6","W,1118","-3.3","W,1129","","","","","-1.7","W,0323","-2.8","W,0306","-4.4","W,0305","-7.8","W,0228","","","1103.8","","1103.8","W","912.6",",W","18.38","W","24.51","W","12.26","W","270","W","240","W","16.5","W","21.9","W"
"USW00053854","2003","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.4","W","1056.6","","1056.6","W","180","W","90","W","0","W","47","W","0","W","245","W","47","W","-10.0","W,0124,","105.4",",W,0315,","34.4","W,0709,","-1.7","W,1114","-3.9","W,1130","-6.1","W,1221","","","-1.7","W,0219","-2.2","W,0211","-5.6","W,0128","-8.3","W,0125","-10.0","W,0124","1377.7","","1377.7","W","1483.3",",W","17.50","W","23.34","W","11.66","W","260","W","260","W","15.6","W","19.7","W"
"USW00053854","2004","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.5","W","1215.0","","1215.0","W","122","W","65","W","0","W","52","W","0","W","248","W","57","W","-6.1","W,1228,+","79.5",",W,0927,","36.7","W,0714,","-1.7","W,1115","-4.4","W,1215","-4.4","W,1215","","","0.0","W,0324","-3.3","W,0229","-5.6","W,0129","","","","","1376.1","","1376.1","W","971.4",",W","17.91","W","23.95","W","11.87","W","270","W","260","W","15.6","W","20.1","W"
"USW00053854","2005","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.7","B","1243.3","","1243.3","B","142","B","71","B","0","B","29","B","0","B","242","B","69","B","-9.4","B,0124,","54.4",",B,0327,","37.2","B,0821,+","0.0","B,1123","-3.9","B,1222","-4.4","B,1223","","","-2.8","W,0309","-2.8","W,0309","-9.4","W,0124","-9.4","W,0124","-9.4","W,0124","1298.1","","1298.1","B","1067.9",",B","18.12","B","24.17","B","12.06","B","270","B","260","B","17.4","B","24.6","B"
"USW00053854","2006","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.6","W","1151.5","","1151.5","W","120","W","57","W","0","W","28","W","0","W","251","W","74","W","-7.1","W,1209,","62.0",",W,0913,","38.3","W,0715,","0.0","W,1024","-3.2","W,1205","-5.5","W,1208","-7.1","W,1209","0.0","W,0327","-3.2","W,0227","","","","","","","1188.0","","1188.0","W","1001.3",",W","18.30","W","24.71","W","11.89","W","240","W","230","W","20.1","W","22.8","W"
"USW00053854","2007","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.6","W","1230.1","","1230.1","W","109","W","56","W","0","W","32","W","0","W","262","W","81","W","-4.9","W,0217,","48.0",",W,0611,","40.0","W,0810,","-1.6","W,1108","-2.7","W,1117","","","","","0.0","W,0409","-4.3","W,0219","-4.9","W,0217","","","","","1186.2","","1186.2","W","905.3",",W","18.58","W","25.03","W","12.12","W","80","W","270","W","17.4","W","24.1","W"
