"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00053904","1998","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2600.5","","2600.5","W","","","","","","","","","","","","","","","",""
"USW00053904","1999","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","3.6","W","695.5","","695.5","W","100","W","60","W","","","3","W","96","W","12","W","188","W","41","W","-25.0","W,0105,","","","52.3",",W,0706,","38.9","W,0729,","-1.7","W,1018","-3.3","W,1024","-5.6","W,1130","-8.3","W,1220","-12.2","W,1221","-2.8","W,0327","-2.8","W,0327","-5.0","W,0315","-7.2","W,0307","-8.9","W,0114","","","","","865.8",",W","13.38","W","19.49","W","7.28","W","220","W","220","W","21.9","W","34.4","W"
"USW00053904","2000","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","3.6","W","747.4","","747.4","W","122","W","67","W","","","3","W","102","W","25","W","186","W","33","W","-19.4","W,1220,","","","63.0",",W,0620,","37.8","W,0817,","-0.6","W,1010","-2.8","W,1114","-4.4","W,1115","-8.3","W,1118","-11.1","W,1121","-1.7","W,0409","-3.3","W,0317","-10.0","W,0312","-10.0","W,0312","-10.0","W,0312","2340.1","","2340.1","W","826.6",",W","12.78","W","18.67","W","6.90","W","230","W","290","W","19.2","W","26.4","W"
"USW00053904","2001","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","3.5","W","715.2","","715.2","W","123","W","69","W","","","3","W","95","W","19","W","183","W","38","W","-22.2","W,0102,","","","65.0",",W,0410,","36.7","W,0822,+","-1.1","W,1017","-2.2","W,1109","-4.4","W,1210","-8.3","W,1225","-8.9","W,1226","-1.1","W,0418","-3.9","W,0401","-4.4","W,0328","-8.3","W,0327","-10.0","W,0217","2946.0","","2946.0","W","1033.1",",W","13.28","W","19.17","W","7.39","W","290","W","290","W","23.2","W","30.0","W"
"USW00053904","2002","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","3.4","W","","","","","106","W","63","W","","","","","","","","","","","","","","","","","86.4",",W,0512,","","","","","","","","","","","","","","","","","","","","","","","2441.6","","2441.6","","1055.3",",W","","","","","","","280","W","270","W","19.7","W","23.2","W"
"USW00053904","2003","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","3.6","W","588.3","","588.3","W","132","W","63","W","","","2","W","100","W","24","W","177","W","29","W","-20.0","W,0123,","","","60.5",",W,0625,","38.3","W,0821,","0.0","W,1002","-3.3","W,1124","-6.1","W,1129","-7.2","W,1211","-8.9","W,1212","-0.6","W,0411","-2.8","W,0331","-7.8","W,0311","-7.8","W,0311","-9.4","W,0310","","","","","1005.1",",W","12.42","W","18.24","W","6.59","W","20","W","10","W","22.8","W","27.7","W"
"USW00053904","2004","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","3.6","W","591.8","","591.8","W","130","W","72","W","","","1","W","98","W","21","W","177","W","14","W","-17.8","W,0131,","","","60.5",",W,1018,","35.6","W,0713,","0.0","W,1105","-3.9","W,1125","-5.0","W,1213","-7.8","W,1214","-9.4","W,1215","-0.6","W,0414","-2.8","W,0322","-4.4","W,0313","-7.2","W,0216","-11.7","W,0208","2606.9","","2606.9","W","1138.4",",W","12.85","W","18.50","W","7.20","W","300","W","70","W","20.6","W","40.7","W"
"USW00053904","2005","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","3.4","B","829.9","","829.9","B","114","B","60","B","","","2","B","99","B","19","B","181","B","55","B","-20.6","B,0117,","","","70.6",",B,0613,","38.9","B,0724,","-0.6","B,1026","-3.9","B,1116","-7.8","B,1117","-7.8","B,1117","-10.6","B,1205","-5.6","W,0320","-5.6","W,0320","-5.6","W,0320","-8.3","W,0314","-9.4","W,0123","2497.0","","2497.0","B","813.4",",B","13.34","B","19.29","B","7.39","B","330","B","250","B","23.7","B","30.4","B"
"USW00053904","2006","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","","","","","","","100","W","57","W","","","","","","","","","","","","","","","","","84.8",",W,0810,","","","","","","","","","","","","","","","","","","","","","","","2479.4","","2479.4","","821.7",",W","","","","","","","","","","","","","",""
"USW00053904","2007","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","3.3","W","945.2","","945.2","W","104","W","64","W","","","0","W","114","W","22","W","199","W","58","W","-17.1","W,0216,+","","","31.2",",W,1002,","39.4","W,0815,+","-0.5","W,1028","-4.3","W,1102","-7.7","W,1107","-7.7","W,1107","-11.0","W,1216","-0.5","W,0413","-4.3","W,0409","-4.9","W,0407","-8.8","W,0304","-9.9","W,0218","","","","","617.5",",W","13.71","W","19.67","W","7.75","W","300","W","210","W","22.8","W","72.4","W"
"USW00053904","2008","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","","","","","","","145","W","79","W","","","","","","","","","","","","","","","","","84.1",",W,0914,","","","","","","","","","","","","","","","","","","","","","","","","","","","1338.0",",W","","","","","","","","","","","","","",""
"USW00053904","2009","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","3.5","W","579.7","","579.7","W","133","W","76","W","","","2","W","99","W","24","W","164","W","20","W","-19.3","W,0116,","","","88.6",",W,1008,","36.1","W,0627,","0.0","W,1017","-3.2","W,1203","-7.1","W,1204","-7.1","W,1204","-10.5","W,1209","0.0","W,0409","-3.8","W,0314","-5.5","W,0312","-7.1","W,0304","-9.3","W,0303","2783.5","","2783.5","W","1284.1",",W","12.45","W","17.87","W","7.01","W","230","W","200","W","20.1","W","28.2","W"
"USW00053904","2010","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","3.3","W","907.9","","907.9","W","140","W","71","W","","","2","W","105","W","34","W","195","W","52","W","-22.1","W,0110,","","","81.8",",W,0627,","38.3","W,0803,","-2.7","W,1029","-2.7","W,1029","-4.9","W,1106","-8.2","W,1206","-9.9","W,1208","-2.1","W,0326","-4.3","W,0306","-6.6","W,0305","-7.7","W,0304","-9.9","W,0225","2760.1","","2760.1","W","1077.1",",W","13.16","W","18.87","W","7.46","W","210","W","160","W","19.2","W","62.6","W"
"USW00053904","2011","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","3.4","W","893.6","","893.6","W","121","W","64","W","","","1","W","96","W","23","W","178","W","58","W","-18.8","W,0121,","","","40.6",",W,0614,","38.9","W,0901,+","0.0","W,1028","-3.2","W,1111","-6.0","W,1209","-9.3","W,1210","-9.3","W,1210","-0.5","W,0401","-2.7","W,0311","-9.9","W,0211","-9.9","W,0211","-9.9","W,0211","2781.4","","2781.4","W","907.7",",W","13.52","W","19.19","W","7.86","W","290","W","330","W","21.0","W","38.5","W"
"USW00053904","2012","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","3.3","W","944.0","","944.0","W","99","W","60","W","0","","0","W","95","W","4","W","198","W","72","W","-13.2","W,0113,","0",",W,1231,+","57.4",",W,0831,","41.1","W,0725,+","-1.0","W,1008","-3.2","W,1113","-4.9","W,1124","-7.7","W,1222","","","-0.5","W,0412","-2.7","W,0310","-8.8","W,0212","-8.8","W,0212","-9.3","W,0211","2091.8","","2091.8","W","787.2",",W","14.78","W","21.15","W","8.41","W","290","W","270","W","18.3","W","28.6","W"
"USW00053904","2013","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","","","","","","","102","W","64","W","","","","","","","","","","","","","","","","","79.5",",W,0520,","","","","","","","","","","","","","","","","","","","","","","","","","","","951.0",",W","","","","","","","","","","","","","",""
"USW00053904","2014","38.92861","-90.42806","132.9","ST CHARLES CO AIRPORT, MO US","3.6","W","680.2","","680.2","W","95","W","61","W","","","7","W","117","W","34","W","172","W","25","W","-24.9","W,0107,+","","","90.7",",W,0807,","36.1","W,0825,","-1.0","W,1101","-2.7","W,1102","-5.5","W,1113","-8.2","W,1114","-10.5","W,1118","0.0","W,0415","-4.9","W,0330","-4.9","W,0330","-8.8","W,0326","-11.0","W,0304","3114.8","","3114.8","W","1123.2",",W","11.62","W","17.35","W","5.88","W","240","W","250","W","21.9","W","30.9","W"
