"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00053910","1999","30.0675","-95.55611","46.3","HOUSTON HOOKS MEMORIAL AIRPORT, TX US","2.6","W","","","","","124","W","53","W","","","","","0","W","17","W","","","","","","","-3.3","W,0105,","","","","","70.6",",W,0512,","","","-1.7","W,1103","-2.2","W,1215","","","0.0","W,0315","-3.3","W,0105","","","","","","","","","797.1",",W","","","","","","","14.69","W","160","W","180","W","15.2","W","22.8","W"
"USW00053910","2000","30.0675","-95.55611","46.3","HOUSTON HOOKS MEMORIAL AIRPORT, TX US","2.8","W","1724.8","","1724.8","W","125","W","61","W","","","","","0","W","15","W","0","W","280","W","111","W","-5.6","W,0105,","","","","","121.9",",W,0519,","43.9","W,0904,","-0.6","W,1114","-3.3","W,1217","","","-0.6","W,0206","-5.6","W,0105","-5.6","W,0105","","","646.6","","646.6","W","1095.3",",W","","","20.75","W","26.93","W","14.57","W","270","W","","","17.4","W","25.0","W"
"USW00053910","2001","30.0675","-95.55611","46.3","HOUSTON HOOKS MEMORIAL AIRPORT, TX US","2.1","W","","","","","160","W","72","W","","","","","","","","","","","","","","","","","","","","","238.0",",W,0608,","","","","","","","","","","","","","","","","","","","","","1737.6",",W","","","","","","","","","110","W","290","W","17.0","W","23.2","W"
"USW00053910","2002","30.0675","-95.55611","46.3","HOUSTON HOOKS MEMORIAL AIRPORT, TX US","2.8","W","1557.7","","1557.7","W","131","W","64","W","","","","","0","W","24","W","0","W","276","W","91","W","-6.7","W,0304,+","","","","","99.3",",W,0815,","36.1","W,0803,","0.0","W,1205","","","","","-2.8","W,0305","-2.8","W,0305","-6.7","W,0304","-6.7","W,0304","840.7","","840.7","W","1321.4",",W","","","20.08","W","25.77","W","14.39","W","290","W","260","W","14.8","W","20.1","W"
"USW00053910","2003","30.0675","-95.55611","46.3","HOUSTON HOOKS MEMORIAL AIRPORT, TX US","2.6","W","1526.9","","1526.9","W","141","W","59","W","","","","","0","W","19","W","0","W","274","W","83","W","-3.9","W,0118,","","","","","102.6",",W,1117,","38.9","W,0807,","-0.6","W,1125","-2.8","W,1217","","","-1.1","W,0217","-2.8","W,0124","","","","","953.5","","953.5","W","1145.9",",W","","","20.12","W","25.74","W","14.50","W","290","W","290","W","15.6","W","20.1","W"
"USW00053910","2004","30.0675","-95.55611","46.3","HOUSTON HOOKS MEMORIAL AIRPORT, TX US","2.6","W","1580.1","","1580.1","W","168","W","79","W","","","","","0","W","13","W","0","W","278","W","84","W","-2.8","W,1226,+","","","","","101.3",",W,0821,","36.1","W,0917,+","0.0","W,1201","-2.8","W,1215","","","-1.1","W,0207","-2.2","W,0128","","","","","754.0","","754.0","W","1484.2",",W","","","20.56","W","25.76","W","15.37","W","280","W","270","W","15.6","W","19.7","W"
"USW00053910","2005","30.0675","-95.55611","46.3","HOUSTON HOOKS MEMORIAL AIRPORT, TX US","2.7","B","1754.2","","1754.2","B","108","B","58","B","","","","","0","B","8","B","0","B","287","B","132","B","-2.2","B,1208,+","","","","","66.8",",B,1214,","39.4","B,0927,","-2.2","B,1206","-2.2","B,1206","","","0.0","W,0124","","","","","","","739.3","","739.3","B","862.1",",B","","","21.02","B","27.09","B","14.94","B","210","B","200","B","15.6","B","25.0","B"
"USW00053910","2006","30.0675","-95.55611","46.3","HOUSTON HOOKS MEMORIAL AIRPORT, TX US","2.7","W","1757.9","","1757.9","W","131","W","62","W","","","","","0","W","11","W","0","W","310","W","117","W","-2.7","W,0212,","","","","","126.0",",W,1026,","37.2","W,0613,","0.0","W,1121","","","","","-1.6","W,0213","-2.7","W,0212","","","","","672.4","","672.4","W","1499.1",",W","","","21.39","W","27.27","W","15.51","W","290","W","290","W","14.8","W","20.6","W"
"USW00053910","2007","30.0675","-95.55611","46.3","HOUSTON HOOKS MEMORIAL AIRPORT, TX US","2.5","W","1673.7","","1673.7","W","178","W","86","W","","","","","0","W","15","W","0","W","289","W","97","W","-3.8","W,0216,","","","","","88.4",",W,1015,","38.3","W,0814,+","-0.5","W,1204","","","","","-1.0","W,0305","-3.8","W,0216","","","","","833.0","","833.0","W","1442.5",",W","","","20.65","W","26.16","W","15.14","W","150","W","140","W","14.3","W","19.2","W"
"USW00053910","2008","30.0675","-95.55611","46.3","HOUSTON HOOKS MEMORIAL AIRPORT, TX US","2.7","W","","","","","125","W","53","W","","","","","0","W","13","W","","","","","","","-3.2","W,0103,","","","","","87.6",",W,0505,","","","0.0","W,1116","-2.7","W,1212","","","-0.5","W,0227","-2.7","W,0120","","","","","748.9","","748.9","W","922.3",",W","","","","","","","14.18","W","340","W","330","W","15.7","W","28.6","W"
