"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00054794","2002","43.1716","-70.9277","36.3","DURHAM 2 N, NH US","277.6","","277.6","R","","","","","0","R","154","R","22","R","115","R","17","R","-16.6","R,0214,","","","35.7","R,0813,","-0.4","R,1009","-3.1","R,1015","-5.5","R,1022","-10.1","R,1103","-10.1","R,1103","-2.1","R,0520","-2.8","R,0425","-5.3","R,0407","-7.5","R,0323","-10.2","R,0322","","","","","","","8.51","R","14.23","R","2.79","R"
"USW00054794","2003","43.1716","-70.9277","36.3","DURHAM 2 N, NH US","214.5","","214.5","R","154","R","81","R","20","R","149","R","57","R","103","R","1","R","-25.2","R,0118,","48.3",",R,1029,","32.6","R,0625,","-0.7","R,1006","-4.1","R,1020","-4.4","R,1025","-8.0","R,1110","-9.9","R,1202","-0.4","R,0518","-5.9","R,0418","-5.9","R,0418","-7.0","R,0407","-9.4","R,0320","4305.7","","4305.7","R","1081.6",",R","7.41","R","12.85","R","1.97","R"
"USW00054794","2004","43.1716","-70.9277","36.3","DURHAM 2 N, NH US","152.4","","152.4","R","127","R","77","R","14","R","153","R","40","R","112","R","1","R","-24.2","R,0114,","53.3",",R,0909,","33.0","R,0609,","-0.4","R,1005","-4.0","R,1104","-5.1","R,1109","-8.3","R,1110","-10.8","R,1215","-1.0","R,0505","-3.1","R,0417","-12.1","R,0323","-12.1","R,0323","-12.1","R,0323","3929.4","","3929.4","R","1095.1",",R","7.84","R","13.23","R","2.44","R"
"USW00054794","2005","43.1716","-70.9277","36.3","DURHAM 2 N, NH US","280.0","","280.0","R","171","R","92","R","10","R","156","R","50","R","119","R","4","R","-25.9","R,0122,","122.6",",R,1008,","33.5","R,0727,","-0.5","R,1021","-2.7","R,1109","-4.4","R,1112","-7.4","R,1123","-8.9","R,1125","-1.8","R,0513","-2.7","R,0422","-7.6","R,0327","-7.6","R,0327","-15.9","R,0311","4024.6","","4024.6","R","1543.6",",R","8.14","R","13.64","R","2.63","R"
"USW00054794","2006","43.1716","-70.9277","36.3","DURHAM 2 N, NH US","248.2","","248.2","R","125","R","83","R","1","R","142","R","26","R","110","R","6","R","-19.7","R,0228,","125.9",",R,0513,","34.9","R,0802,","0.0","R,1008","-2.3","R,1027","-5.5","R,1121","-8.6","R,1206","","","-1.1","R,0430","-3.0","R,0410","-5.8","R,0321","-8.3","R,0320","-9.5","R,0318","3612.0","","3612.0","R","1535.8",",R","9.38","R","14.71","R","4.04","R"
"USW00054794","2007","43.1716","-70.9277","36.3","DURHAM 2 N, NH US","234.8","","234.8","R","123","R","77","R","6","R","151","R","54","R","121","R","9","R","-20.4","R,0309,","109.9",",R,0416,","34.1","R,0627,","-1.0","R,1017","-2.3","R,1029","-6.3","R,1111","-7.2","R,1124","-10.0","R,1201","-1.0","R,0507","-3.5","R,0411","-5.6","R,0407","-10.7","R,0321","-10.7","R,0321","3737.1","","3737.1","R","1289.8",",R","8.10","R","13.68","R","2.53","R"
"USW00054794","2008","43.1716","-70.9277","36.3","DURHAM 2 N, NH US","183.8","","183.8","R","140","R","98","R","3","R","154","R","38","R","108","R","2","R","-22.8","R,0104,","93.5",",R,0906,","33.0","R,0610,","-0.3","R,1007","-2.7","R,1023","-4.5","R,1024","-8.5","R,1119","-10.1","R,1120","-0.1","R,0502","-2.7","R,0501","-6.8","R,0331","-6.8","R,0331","-8.9","R,0324","3868.2","","3868.2","R","1667.8",",R","8.15","R","13.58","R","2.72","R"
"USW00054794","2009","43.1716","-70.9277","36.3","DURHAM 2 N, NH US","148.9","","148.9","R","124","R","82","R","8","R","144","R","44","R","93","R","1","R","-27.1","R,0116,","65.4",",R,1114,","33.1","R,0428,","-1.1","R,1012","-2.6","R,1014","-4.7","R,1107","-7.4","R,1207","-12.2","R,1213","0.0","R,0430","-2.7","R,0420","-5.1","R,0326","-7.0","R,0324","-9.6","R,0313","3972.3","","3972.3","R","1321.3",",R","7.75","R","13.13","R","2.37","R"
"USW00054794","2010","43.1716","-70.9277","36.3","DURHAM 2 N, NH US","","","","","116","R","70","R","","","","","","","","","","","","","107.1",",R,0314,","","","","","","","","","","","","","","","","","","","","","","","","","","","1429.7",",R","","","","","",""
"USW00054794","2011","43.1716","-70.9277","36.3","DURHAM 2 N, NH US","257.0","","257.0","R","126","R","84","R","6","R","140","R","36","R","112","R","5","R","-22.7","R,0124,","48.5",",R,0815,","36.7","R,0722,","-0.9","R,1028","-2.6","R,1029","-6.0","R,1106","-7.7","R,1211","-11.5","R,1218","0.0","R,0422","-3.2","R,0416","-4.6","R,0409","-7.8","R,0308","-15.5","R,0304","","","","","1284.8",",R","8.92","R","14.41","R","3.43","R"
"USW00054794","2012","43.1716","-70.9277","36.3","DURHAM 2 N, NH US","258.8","","258.8","R","135","R","78","R","2","R","135","R","19","R","127","R","5","R","-20.4","R,0116,","65.4",",R,0602,","34.5","R,0620,","-2.0","R,1013","-3.0","R,1105","-4.8","R,1106","-6.7","R,1213","-10.0","R,1226","-1.8","R,0430","-3.1","R,0406","-4.4","R,0401","-8.0","R,0307","-10.3","R,0306","3268.4","","3268.4","R","1030.1",",R","9.66","R","15.13","R","4.18","R"
"USW00054794","2013","43.1716","-70.9277","36.3","DURHAM 2 N, NH US","249.4","","249.4","R","131","R","75","R","5","R","158","R","39","R","113","R","9","R","-21.9","R,0103,","86.5",",R,0912,","34.2","R,0719,","0.0","R,1021","-3.0","R,1025","-4.8","R,1026","-7.6","R,1121","-10.3","R,1129","-0.4","R,0515","-5.1","R,0407","-5.1","R,0407","-9.4","R,0321","-9.4","R,0321","3713.6","","3713.6","R","1137.9",",R","8.27","R","13.72","R","2.82","R"
"USW00054794","2014","43.1716","-70.9277","36.3","DURHAM 2 N, NH US","182.8","","182.8","R","139","R","86","R","12","R","141","R","48","R","113","R","2","R","-25.0","R,0104,","73.5",",R,0813,","32.3","R,0723,","-0.7","R,0920","-2.6","R,1110","-6.0","R,1115","-7.6","R,1116","-11.8","R,1129","-2.9","R,0421","-2.9","R,0421","-4.4","R,0418","-7.9","R,0327","-14.1","R,0325","4149.8","","4149.8","R","1147.4",",R","7.81","R","13.21","R","2.40","R"
"USW00054794","2015","43.1716","-70.9277","36.3","DURHAM 2 N, NH US","259.5","","259.5","R","125","R","72","R","17","R","139","R","53","R","129","R","3","R","-25.0","R,0224,","65.5",",R,0930,","33.3","R,0909,","-2.6","R,1018","-2.6","R,1018","-6.6","R,1118","-6.9","R,1130","","","-0.5","R,0502","-3.0","R,0408","-4.4","R,0406","-7.0","R,0329","-12.5","R,0324","4142.8","","4142.8","R","1009.2",",R","8.16","R","14.00","R","2.31","R"
"USW00054794","2016","43.1716","-70.9277","36.3","DURHAM 2 N, NH US","263.5","","263.5","R","122","R","73","R","5","R","147","R","31","R","125","R","8","R","-24.7","R,0214,","79.9",",R,1021,","34.7","R,0812,","-0.5","R,1011","-2.4","R,1027","-4.6","R,1129","-9.7","R,1210","-9.7","R,1210","-0.7","R,0430","-2.6","R,0427","-7.9","R,0406","-7.9","R,0406","-9.1","R,0405","3433.3","","3433.3","R","1035.1",",R","9.09","R","14.89","R","3.28","R"
"USW00054794","2017","43.1716","-70.9277","36.3","DURHAM 2 N, NH US","231.5","","231.5","R","127","R","83","R","5","R","146","R","38","R","124","R","5","R","-25.0","R,1229,","51.5",",R,0818,","33.9","R,0612,","0.0","R,1018","-3.0","R,1108","-4.7","R,1109","-6.8","R,1111","-12.1","R,1214","-1.0","R,0509","-3.0","R,0403","-6.7","R,0326","-6.7","R,0326","-10.3","R,0323","3682.7","","3682.7","R","1198.9",",R","8.75","R","14.19","R","3.31","R"
