"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00063892","2008","32.8369","-88.1374","32.6","GAINESVILLE 2 NE, AL US","","","","","95","R","69","R","","","","","","","","","","","","","96.6",",R,0515,","","","","","","","","","","","","","","","","","","","","","1349.2","","1349.2","","1156.5",",R","","","","","",""
"USW00063892","2009","32.8369","-88.1374","32.6","GAINESVILLE 2 NE, AL US","1069.9","","1069.9","R","125","R","93","R","0","R","41","R","0","R","224","R","40","R","-7.7","R,0121,","96.8",",R,0729,","36.8","R,0701,","-1.4","R,1127","-2.7","R,1205","","","","","-0.4","R,0304","-2.9","R,0303","-4.6","R,0220","-7.3","R,0205","","","","","","","1739.5",",R","17.42","R","22.95","R","11.89","R"
"USW00063892","2010","32.8369","-88.1374","32.6","GAINESVILLE 2 NE, AL US","1341.3","","1341.3","R","90","R","68","R","0","R","66","R","2","R","232","R","92","R","-10.3","R,0111,","55.0",",R,0204,","38.6","R,0805,","-0.5","R,1106","-2.3","R,1206","-5.7","R,1207","-7.3","R,1209","-0.6","R,0307","-2.5","R,0306","-4.5","R,0225","-7.5","R,0113","-10.3","R,0111","1657.6","","1657.6","R","1143.5",",R","17.33","R","23.55","R","11.12","R"
"USW00063892","2011","32.8369","-88.1374","32.6","GAINESVILLE 2 NE, AL US","1265.0","","1265.0","R","91","R","68","R","0","R","47","R","2","R","239","R","90","R","-8.7","R,0114,","180.5",",R,0905,","38.1","R,0803,","-1.6","R,1111","-3.3","R,1201","","","","","-0.8","R,0214","-3.1","R,0213","-6.1","R,0212","-7.7","R,0211","","","1451.2","","1451.2","R","1260.1",",R","17.94","R","24.30","R","11.58","R"
"USW00063892","2012","32.8369","-88.1374","32.6","GAINESVILLE 2 NE, AL US","1140.6","","1140.6","R","98","R","74","R","0","R","29","R","0","R","248","R","44","R","-5.7","R,0104,","98.9",",R,1225,","38.7","R,0630,","0.0","R,1118","-2.8","R,1125","","","","","-0.1","R,0225","-5.4","R,0213","-5.4","R,0213","","","","","1085.9","","1085.9","R","1458.1",",R","18.43","R","24.55","R","12.31","R"
"USW00063892","2013","32.8369","-88.1374","32.6","GAINESVILLE 2 NE, AL US","1092.5","","1092.5","R","116","R","77","R","0","R","48","R","0","R","217","R","39","R","-6.2","R,1225,","63.3",",R,1208,","35.0","R,0901,","-2.2","R,1113","-2.2","R,1113","-5.5","R,1128","","","-1.9","R,0327","-3.6","R,0217","","","","","","","1451.3","","1451.3","R","1496.0",",R","17.08","R","22.68","R","11.48","R"
"USW00063892","2014","32.8369","-88.1374","32.6","GAINESVILLE 2 NE, AL US","1104.6","","1104.6","R","97","R","71","R","0","R","58","R","4","R","222","R","47","R","-13.0","R,0130,","121.0",",R,1116,","36.7","R,0807,","-0.7","R,1102","-3.2","R,1114","-4.8","R,1118","","","-1.8","R,0326","-3.6","R,0228","-5.4","R,0227","-13.0","R,0130","-13.0","R,0130","1660.5","","1660.5","R","1460.4",",R","16.85","R","23.05","R","10.65","R"
"USW00063892","2015","32.8369","-88.1374","32.6","GAINESVILLE 2 NE, AL US","1216.9","","1216.9","R","111","R","84","R","0","R","47","R","1","R","240","R","73","R","-11.4","R,0108,","101.7",",R,0103,","36.8","R,0804,","-1.7","R,1122","-3.5","R,1123","","","","","-0.7","R,0308","-4.1","R,0307","-5.8","R,0306","-6.7","R,0219","-11.4","R,0108","1495.1","","1495.1","R","1334.8",",R","18.20","R","24.01","R","12.39","R"
"USW00063892","2016","32.8369","-88.1374","32.6","GAINESVILLE 2 NE, AL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1071.8","","1071.8","","","","","","","","",""
"USW00063892","2017","32.8369","-88.1374","32.6","GAINESVILLE 2 NE, AL US","","","","","113","R","90","R","","","","","","","","","","","","","62.5",",R,0403,","","","","","","","","","","","","","","","","","","","","","","","","","1468.5",",R","","","","","",""
