"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00074401","1910","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","732.3","","732.3","X","79","X","51","X","22","","4","X","4","X","117","X","28","X","184","X","43","X","-25.0","X,0106,","152",",X,0104,","130",",X,0104,","41.1",",X,0506,","39.4","X,0728,+","-2.2","X,1028","-2.2","X,1028","-4.4","X,1116","-6.7","X,1130","-10.6","X,1201","0.0","X,0424","-3.3","X,0310","-8.9","X,0227","-8.9","X,0227","-8.9","X,0227","","","","","590.7",",X","284",",X","12.22","X","17.94","X","6.49","X","",""
"USW00074401","1911","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","957.1","","957.1","X","99","X","54","X","26","","7","X","4","X","110","X","25","X","166","X","61","X","-23.9","X,0103,","127",",X,1230,","107",",X,0218,","95.5",",X,1001,","41.1","X,0705,+","0.0","X,1031","-6.7","X,1101","-6.7","X,1101","-6.7","X,1101","-8.9","X,1102","-1.1","X,0409","-3.3","X,0327","-5.0","X,0318","-6.7","X,0301","-12.8","X,0221","2879.9","","2879.9","X","1014.8",",X","504",",X","12.81","X","18.21","X","7.41","X","",""
"USW00074401","1912","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","791.0","","791.0","X","87","X","54","X","51","","8","X","15","X","125","X","52","X","161","X","48","X","-31.1","X,0112,","305",",X,0302,","218",",X,0225,","45.7",",X,0815,","37.2","X,0828,","0.0","X,0926","-2.8","X,1101","-6.7","X,1124","-6.7","X,1124","-8.9","X,1206","0.0","X,0326","-3.3","X,0325","-8.9","X,0322","-8.9","X,0322","-8.9","X,0322","3589.1","","3589.1","X","676.5",",X","870",",X","11.12","X","16.51","X","5.74","X","",""
"USW00074401","1913","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","1016.8","","1016.8","X","96","X","55","X","33","","7","X","7","X","109","X","40","X","163","X","72","X","-20.0","X,0302,+","203",",X,0228,+","109",",X,0226,","53.3",",X,0910,","40.6","X,0805,","-0.6","X,1019","-3.9","X,1020","-5.0","X,1028","-6.7","X,1208","-11.1","X,1221","-1.1","X,0328","-9.4","X,0327","-9.4","X,0327","-9.4","X,0327","-9.4","X,0327","3042.7","","3042.7","X","734.6",",X","580",",X","12.80","X","18.26","X","7.33","X","",""
"USW00074401","1914","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","949.4","","949.4","X","90","X","51","X","32","","8","X","9","X","113","X","43","X","178","X","56","X","-22.2","X,1214,","254",",X,0223,","191",",X,0223,","83.3",",X,0630,","38.9","X,0716,","0.0","X,1026","-3.9","X,1027","-7.2","X,1116","-7.2","X,1116","-13.9","X,1119","0.0","X,0412","-3.3","X,0409","-4.4","X,0408","-11.1","X,0322","-11.1","X,0322","2883.1","","2883.1","X","748.9",",X","868",",X","12.60","X","17.95","X","7.25","X","",""
"USW00074401","1915","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","517.9","","517.9","X","127","X","77","X","33","","10","X","4","X","113","X","30","X","177","X","8","X","-24.4","X,0128,","203",",X,0305,","155",",X,0304,","85.3",",X,0713,","33.9","X,0514,","-1.7","X,1009","-4.4","X,1114","-4.4","X,1114","-6.7","X,1202","-8.9","X,1217","-1.7","X,0403","-3.9","X,0331","-4.4","X,0326","-7.2","X,0321","-10.6","X,0206","3049.6","","3049.6","X","1156.6",",X","742",",X","11.82","X","16.75","X","6.88","X","",""
"USW00074401","1916","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","799.5","","799.5","X","94","X","64","X","21","","9","X","10","X","111","X","52","X","162","X","51","X","-28.3","X,0113,","102",",X,0205,","46",",X,0205,+","97.0",",X,0512,","38.9","X,0804,","-2.8","X,1019","-2.8","X,1019","-4.4","X,1020","-10.0","X,1113","-10.0","X,1113","-2.2","X,0409","-2.2","X,0409","-5.0","X,0315","-15.6","X,0303","-15.6","X,0303","2986.5","","2986.5","X","873.9",",X","350",",X","11.66","X","17.32","X","6.00","X","",""
"USW00074401","1917","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","630.0","","630.0","X","88","X","49","X","8","","2","X","15","X","123","X","34","X","158","X","32","X","-26.7","X,0202,","51",",X,0407,","51",",X,1209,","67.6",",X,0601,","39.4","X,0730,","-1.1","X,1008","-2.2","X,1012","-5.0","X,1029","-6.7","X,1030","-10.6","X,1205","-1.7","X,0409","-3.9","X,0318","-12.2","X,0305","-12.2","X,0305","-12.2","X,0305","3231.5","","3231.5","X","630.9",",X","151",",X","10.73","X","16.47","X","4.98","X","",""
"USW00074401","1918","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","943.1","","943.1","X","95","X","55","X","32","","7","X","13","X","93","X","42","X","172","X","52","X","-28.3","X,0112,+","152",",X,1224,","140",",X,1223,","64.8",",X,0902,","42.8","X,0803,","-0.6","X,1101","-2.8","X,1110","-5.6","X,1123","-9.4","X,1224","-9.4","X,1224","0.0","X,0421","-4.4","X,0316","-4.4","X,0316","-8.3","X,0310","-9.4","X,0222","3301.6","","3301.6","X","762.1",",X","533",",X","12.76","X","18.54","X","6.98","X","",""
"USW00074401","1919","39.81667","-94.85","291.7","ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US","823.7","","823.7","X","95","X","59","X","43","","4","X","10","X","105","X","37","X","155","X","41","X","-26.7","X,0103,","127",",X,0104,+","76",",X,0220,","129.3",",X,0315,","37.8","X,0806,+","-1.7","X,1017","-4.4","X,1028","-4.4","X,1028","-6.7","X,1111","-11.1","X,1112","0.0","X,0331","-2.2","X,0311","-10.6","X,0305","-10.6","X,0305","-10.6","X,0305","2727.7","","2727.7","X","924.5",",X","266",",X","12.03","X","17.27","X","6.78","X","",""
