"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00093101","1946","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","356.3","","356.3","X","38","X","26","X","","","","","0","X","0","X","0","X","197","X","9","X","0.6","X,0212,","","","","","63.2",",X,0330,","33.3","X,0929,+","","","","","","","","","1039.3","","1039.3","X","379.5",",X","","","16.13","X","21.95","X","10.31","X","","","",""
"USW00093101","1947","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","362.6","","362.6","X","40","X","16","X","","","0","X","0","X","0","X","0","X","231","X","17","X","0.6","X,1230,+","","","0",",X,1231,+","27.2",",X,1204,","36.1","X,0901,+","","","","","","","","","1044.9","","1044.9","X","118.8",",X","0",",X","16.57","X","22.96","X","10.19","X","","","",""
"USW00093101","1948","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","201.6","","201.6","X","31","X","14","X","","","0","X","0","X","4","X","0","X","218","X","7","X","-1.1","X,0213,","","","0",",X,1231,+","39.4",",X,0205,","37.8","X,0911,","0.0","X,1205","","","-1.1","X,0213","","","1190.9","","1190.9","X","198.0",",X","0",",X","15.46","X","21.98","X","8.93","X","","","",""
"USW00093101","1949","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","376.2","","376.2","X","55","X","29","X","","","1","X","0","X","11","X","0","X","213","X","15","X","-3.9","X,0111,","","","30",",X,0111,","29.2",",X,0120,","37.8","X,0923,+","0.0","X,1211","","","0.0","X,0201","-3.9","X,0111","1382.3","","1382.3","X","259.0",",X","30",",X","15.80","X","22.19","X","9.41","X","45","X","30.3","X"
"USW00093101","1950","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","301.5","","301.5","X","37","X","15","X","","","0","X","0","X","8","X","0","X","226","X","10","X","-2.2","X,0104,","","","0",",X,1231,+","27.4",",X,0206,","39.4","X,1013,","","","","","-0.6","X,0127","-2.2","X,0104","1155.3","","1155.3","X","189.7",",X","0",",X","16.19","X","22.56","X","9.82","X","","","",""
"USW00093101","1951","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","336.1","","336.1","X","52","X","30","X","0","","0","X","0","X","0","X","0","X","215","X","10","X","0.6","X,0304,","0",",X,1231,+","0",",X,1231,+","48.5",",X,1229,","35.6","X,1007,","","","","","","","","","1002.2","","1002.2","X","295.2",",X","0",",X","16.22","X","22.33","X","10.12","X","45","X","27.2","X"
"USW00093101","1952","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","324.5","","324.5","X","46","X","34","X","0","","0","X","0","X","3","X","0","X","207","X","8","X","-0.6","X,0104,+","0",",X,1231,+","0",",X,1231,+","64.5",",X,0307,","35.6","X,0901,","","","","","0.0","X,0105","","","1179.4","","1179.4","X","642.4",",X","0",",X","15.93","X","21.79","X","10.07","X","","","",""
"USW00093101","1953","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","340.4","","340.4","X","22","X","13","X","0","","0","X","0","X","0","X","0","X","228","X","12","X","0.6","X,0405,","0",",X,1231,+","0",",X,1231,+","24.4",",X,1114,","38.9","X,1005,","","","","","","","","","1081.4","","1081.4","X","125.5",",X","0",",X","16.51","X","22.91","X","10.11","X","90","X","30.8","X"
"USW00093101","1954","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","380.1","","380.1","X","30","X","21","X","0","","0","X","0","X","0","X","0","X","217","X","10","X","1.1","X,1229,","0",",X,1231,+","0",",X,1231,+","46.7",",X,0119,","34.4","X,0831,+","","","","","","","","","996.2","","996.2","X","307.9",",X","0",",X","16.62","X","22.33","X","10.91","X","68","X","30.3","X"
"USW00093101","1955","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","382.4","","382.4","X","34","X","25","X","0","","0","X","0","X","0","X","0","X","197","X","13","X","1.7","X,0117,","0",",X,1231,+","0","T,X,0116,","38.1",",X,0227,","41.1","X,0901,","","","","","","","","","992.8","","992.8","X","298.1",",X","0","T,X","16.42","X","21.60","X","11.24","X","","","",""
"USW00093101","1956","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","470.9","","470.9","X","23","X","15","X","0","","0","X","0","X","0","X","0","X","227","X","15","X","2.2","X,0217,","0",",X,1231,+","0",",X,1231,+","131.6",",X,0126,","38.9","X,0909,","","","","","","","","","1075.9","","1075.9","X","349.6",",X","0",",X","17.19","X","22.67","X","11.72","X","","","",""
"USW00093101","1957","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","463.0","","463.0","X","58","X","34","X","0","","0","X","0","X","0","X","0","X","201","X","9","X","2.2","X,0128,","0",",X,1231,+","0",",X,1231,+","34.8",",X,1205,","39.4","X,0618,","","","","","","","","","771.8","","771.8","X","423.2",",X","0",",X","17.28","X","22.11","X","12.46","X","","","",""
"USW00093101","1958","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","587.2","","587.2","X","43","X","26","X","0","","0","X","0","X","0","X","0","X","238","X","15","X","2.2","X,1116,","0",",X,1231,+","0",",X,1231,+","55.4",",X,0401,","40.0","X,1016,","","","","","","","","","717.5","","717.5","X","538.5",",X","0",",X","18.17","X","23.22","X","13.12","X","203","X","23.6","X"
"USW00093101","1959","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","589.9","","589.9","X","25","X","15","X","0","","0","X","0","X","0","X","0","X","250","X","10","X","3.9","X,0209,","0",",X,1231,+","0",",X,1231,+","27.7",",X,0216,","37.8","X,0710,","","","","","","","","","576.1","","576.1","X","206.7",",X","0",",X","18.37","X","23.38","X","13.36","X","45","X","22.6","X"
"USW00093101","1960","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","502.6","","502.6","X","35","X","24","X","0","","0","X","0","X","0","X","0","X","224","X","11","X","2.2","X,1209,+","0",",X,1231,+","0",",X,1231,+","35.6",",X,0427,","39.4","X,0720,","","","","","","","","","729.5","","729.5","X","271.1",",X","0",",X","17.37","X","22.59","X","12.14","X","45","X","26.2","X"
"USW00093101","1961","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","480.6","","480.6","X","27","X","13","X","0","","0","X","0","X","1","X","0","X","231","X","22","X","-1.1","X,1228,","0",",X,1231,+","0",",X,1231,+","28.2",",X,1202,","42.2","X,1014,","-1.1","X,1228","","","","","","","704.1","","704.1","X","131.2",",X","0",",X","17.16","X","23.09","X","11.23","X","45","X","26.7","X"
"USW00093101","1962","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","403.0","","403.0","X","37","X","20","X","0","","0","X","0","X","3","X","0","X","220","X","19","X","-1.1","X,0227,","0",",X,1231,+","0","T,X,0220,+","41.1",",X,0120,","37.2","X,0406,","","","","","0.0","X,0301","","","1303.2","","1303.2","X","289.2",",X","0","T,X","16.13","X","22.37","X","9.90","X","45","X","23.1","X"
"USW00093101","1963","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","479.2","","479.2","X","32","X","22","X","0","","0","X","0","X","0","X","0","X","230","X","17","X","0.6","X,0114,","0",",X,1231,+","0",",X,1231,+","70.9",",X,1120,","46.7","X,0926,","","","","","","","","","1098.3","","1098.3","X","352.5",",X","0",",X","17.06","X","23.12","X","11.00","X","23","X","21.6","X"
"USW00093101","1964","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","380.9","","380.9","X","31","X","17","X","0","","0","X","0","X","0","X","0","X","217","X","12","X","1.7","X,0308,","0",",X,1231,+","0",",X,1231,+","22.4",",X,0323,","38.3","X,1019,","","","","","","","","","946.8","","946.8","X","175.7",",X","0",",X","16.53","X","22.40","X","10.66","X","45","X","25.7","X"
"USW00093101","1965","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","370.7","","370.7","X","51","X","32","X","0","","0","X","0","X","0","X","0","X","215","X","23","X","1.1","X,1223,","0",",X,1231,+","0",",X,1231,+","66.3",",X,1122,","41.1","X,1022,","","","","","","","","","965.1","","965.1","X","454.2",",X","0",",X","16.61","X","22.42","X","10.79","X","45","X","18.5","X"
"USW00093101","1966","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","584.4","","584.4","X","26","X","12","X","0","","0","X","0","X","1","X","0","X","234","X","24","X","0.0","X,0303,","0",",X,1231,+","0",",X,1231,+","71.4",",X,1107,","38.3","X,0415,","","","","","0.0","X,0303","","","913.9","","913.9","X","270.3",",X","0",",X","17.57","X","23.27","X","11.87","X","270","X","36.0","X"
"USW00093101","1967","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","581.6","","581.6","X","41","X","23","X","0","","0","X","0","X","0","X","0","X","231","X","24","X","2.2","X,0330,","0",",X,1231,+","0",",X,1231,+","33.8",",X,0122,","38.9","X,0830,","","","","","","","","","954.1","","954.1","X","280.6",",X","0",",X","17.23","X","23.12","X","11.35","X","45","X","27.8","X"
"USW00093101","1968","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","448.1","","448.1","X","36","X","17","X","0","","0","X","0","X","2","X","0","X","236","X","26","X","-2.2","X,1221,+","0",",X,1231,+","0",",X,1231,+","29.7",",X,0308,","39.4","X,0823,","-2.2","X,1220","-2.2","X,1220","","","","","856.9","","856.9","X","139.4",",X","0",",X","16.99","X","23.11","X","10.86","X","45","X","22.6","X"
"USW00093101","1969","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","503.9","","503.9","X","48","X","32","X","0","","0","X","0","X","0","X","0","X","244","X","24","X","1.1","X,0130,+","0",",X,1231,+","0",",X,1231,+","75.9",",X,0224,","38.3","X,0822,","","","","","","","","","970.1","","970.1","X","608.6",",X","0",",X","17.48","X","23.27","X","11.69","X","","","",""
"USW00093101","1970","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","590.3","","590.3","X","34","X","22","X","0","","0","X","0","X","0","X","0","X","256","X","34","X","3.3","X,0105,+","0",",X,1231,+","0",",X,1231,+","48.0",",X,1129,","42.2","X,0702,","","","","","","","","","708.4","","708.4","X","314.1",",X","0",",X","17.84","X","24.22","X","11.45","X","45","X","24.2","X"
"USW00093101","1971","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","731.9","","731.9","X","34","X","17","X","0","","0","X","0","X","0","X","0","X","231","X","38","X","2.2","X,0105,","0",",X,1231,+","0",",X,1231,+","19.1",",X,1224,","42.2","X,0913,","","","","","","","","","781.1","","781.1","X","159.7",",X","0",",X","17.89","X","24.01","X","11.78","X","360","X","23.6","X"
"USW00093101","1972","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","438.6","","438.6","X","27","X","9","X","0","","0","X","0","X","0","X","0","X","242","X","19","X","2.2","X,0105,","0",",X,1231,+","0","T,X,1207,","23.4",",X,1116,","39.4","X,0727,","","","","","","","","","919.4","","919.4","X","99.8",",X","0","T,X","17.21","X","23.14","X","11.29","X","360","X","26.2","X"
"USW00093101","1973","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","333.3","","333.3","X","42","X","26","X","0","","0","X","0","X","0","X","0","X","206","X","17","X","0.6","X,0120,+","0",",X,1231,+","0",",X,1231,+","34.3",",X,0211,","41.7","X,0620,","","","","","","","","","1031.5","","1031.5","X","320.1",",X","0",",X","16.17","X","22.26","X","10.09","X","10","X","21.6","X"
"USW00093101","1974","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","327.8","","327.8","X","32","X","22","X","0","","0","X","0","X","1","X","0","X","209","X","12","X","0.0","X,0220,","0",",X,1231,+","0","T,X,0104,","52.8",",X,1204,","38.3","X,1015,","","","","","0.0","X,0220","","","1211.2","","1211.2","X","273.8",",X","0","T,X","15.97","X","21.97","X","9.98","X","30","X","26.2","X"
"USW00093101","1975","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","394.4","","394.4","X","39","X","24","X","0","","0","X","0","X","2","X","0","X","215","X","12","X","0.0","X,0217,+","0",",X,1231,+","0",",X,1231,+","29.5",",X,0308,","39.4","X,0923,","","","","","0.0","X,0217","","","1176.5","","1176.5","X","222.0",",X","0",",X","16.35","X","22.08","X","10.61","X","30","X","24.2","X"
"USW00093101","1976","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","624.0","","624.0","X","32","X","19","X","0","","0","X","0","X","0","X","0","X","273","X","20","X","1.7","X,0304,","0",",X,1231,+","0",",X,1231,+","37.6",",X,0209,","39.4","X,0627,","","","","","","","","","812.2","","812.2","X","256.6",",X","0",",X","18.17","X","24.07","X","12.27","X","50","X","30.3","X"
"USW00093101","1977","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","526.5","","526.5","X","30","X","19","X","0","","0","X","0","X","0","X","0","X","252","X","9","X","2.2","X,0302,","0",",X,1231,+","0",",X,1231,+","65.5",",X,0817,","36.7","X,0726,","","","","","","","","","675.0","","675.0","X","267.2",",X","0",",X","17.94","X","23.50","X","12.38","X","30","X","19.5","X"
"USW00093101","1978","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","601.8","","601.8","X","57","X","40","X","0","","0","X","0","X","0","X","0","X","219","X","19","X","2.8","X,1220,","0",",X,1231,+","0",",X,1231,+","39.1",",X,0104,","39.4","X,0924,","","","","","","","","","593.0","","593.0","X","650.2",",X","0",",X","17.84","X","23.01","X","12.68","X","130","X","21.1","X"
"USW00093101","1979","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","655.3","","655.3","X","44","X","28","X","0","","0","X","0","X","0","X","0","X","228","X","25","X","0.6","X,0129,","0",",X,1231,+","0","T,X,0128,","40.1",",X,0105,","38.9","X,0915,","","","","","","","","","901.5","","901.5","X","345.9",",X","0","T,X","18.03","X","23.33","X","12.73","X","220","X","21.1","X"
"USW00093101","1981","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","775.9","","775.9","X","34","X","19","X","0","","0","X","0","X","0","X","0","X","266","X","28","X","2.2","X,0131,","0",",X,1231,+","0",",X,1231,+","24.9",",X,0128,","41.1","X,0615,","","","","","","","","","526.8","","526.8","X","255.9",",X","0",",X","18.90","X","24.61","X","13.18","X","30","X","26.2","X"
"USW00093101","1982","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","","","529.1","","529.1","X","60","X","30","X","0","","0","X","0","X","0","X","0","X","216","X","22","X","1.1","X,0103,","0",",X,1231,+","0","T,X,1109,","50.8",",X,0317,","37.8","X,0902,","","","","","","","","","795.4","","795.4","X","413.4",",X","0","T,X","17.44","X","22.89","X","12.00","X","40","X","36.5","X"
