"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00093115","1956","32.56667","-117.11667","7.3","IMPERIAL BEACH REAM FIELD NAS, CA US","","","162.1","","162.1","X","24","X","8","X","0","","0","X","0","X","1","X","0","X","148","X","1","X","-0.6","X,1209,","0",",X,1231,+","0",",X,1231,+","19.3",",X,0412,","35.0","X,1109,","-0.6","X,1209","","","","","","","","","102.5",",X","0",",X","15.42","X","19.63","X","11.22","X","","","","","270","X","","","","","22.1","X"
"USW00093115","1957","32.56667","-117.11667","7.3","IMPERIAL BEACH REAM FIELD NAS, CA US","","","211.1","","211.1","X","62","X","31","X","0","","0","X","0","X","0","X","0","X","146","X","0","X","2.8","X,1225,+","0",",X,1231,+","0",",X,1231,+","41.4",",X,0107,","31.7","X,0618,","","","","","","","1001.5","","1001.5","X","338.1",",X","0",",X","16.19","X","20.14","X","12.24","X","","","","","90","X","","","","","23.6","X"
"USW00093115","1958","32.56667","-117.11667","7.3","IMPERIAL BEACH REAM FIELD NAS, CA US","","","307.6","","307.6","X","40","X","24","X","0","","0","X","0","X","0","X","0","X","204","X","3","X","1.7","X,1218,","0",",X,1231,+","0",",X,1231,+","27.4",",X,0204,","36.1","X,1017,","","","","","","","880.0","","880.0","X","263.9",",X","0",",X","16.99","X","21.27","X","12.72","X","","","","","270","X","","","","","26.2","X"
"USW00093115","1959","32.56667","-117.11667","7.3","IMPERIAL BEACH REAM FIELD NAS, CA US","","","303.4","","303.4","X","27","X","12","X","0","","0","X","0","X","0","X","0","X","192","X","0","X","3.9","X,1214,+","0",",X,1231,+","0",",X,1231,+","22.6",",X,0221,","28.9","X,0311,","","","","","","","692.3","","692.3","X","133.2",",X","0",",X","17.32","X","20.99","X","13.64","X","","","","","158","X","","","","","24.7","X"
"USW00093115","1960","32.56667","-117.11667","7.3","IMPERIAL BEACH REAM FIELD NAS, CA US","","","215.9","","215.9","X","42","X","22","X","0","","0","X","0","X","0","X","0","X","125","X","1","X","0.6","X,1209,","0",",X,1231,+","0",",X,1231,+","30.0",",X,0112,","32.2","X,1005,","","","","","","","919.4","","919.4","X","177.2",",X","0",",X","15.95","X","19.55","X","12.34","X","","","","","315","X","","","","","19.5","X"
"USW00093115","1961","32.56667","-117.11667","7.3","IMPERIAL BEACH REAM FIELD NAS, CA US","","","174.7","","174.7","X","36","X","11","X","0","","0","X","0","X","0","X","0","X","117","X","1","X","3.3","X,0103,","0",",X,1231,+","0",",X,1231,+","18.8",",X,1202,","33.9","X,1015,","","","","","","","1004.2","","1004.2","X","120.0",",X","0",",X","16.00","X","19.47","X","12.53","X","","","","","135","X","","","","","19.5","X"
"USW00093115","1962","32.56667","-117.11667","7.3","IMPERIAL BEACH REAM FIELD NAS, CA US","","","83.1","","83.1","X","38","X","21","X","0","","0","X","0","X","0","X","0","X","84","X","0","X","2.8","X,0314,","0",",X,1231,+","0",",X,1231,+","25.7",",X,0120,","27.8","X,1030,+","","","","","","","1196.0","","1196.0","X","170.4",",X","0",",X","15.28","X","18.54","X","12.02","X","","","","","","","","","","","",""
"USW00093115","1963","32.56667","-117.11667","7.3","IMPERIAL BEACH REAM FIELD NAS, CA US","","","218.7","","218.7","X","33","X","18","X","0","","0","X","0","X","1","X","0","X","142","X","1","X","-2.8","X,0113,","0",",X,1231,+","0",",X,1231,+","48.0",",X,1120,","32.2","X,0925,","","","-2.8","X,0113","-2.8","X,0113","1069.3","","1069.3","X","203.7",",X","0",",X","16.36","X","20.00","X","12.72","X","","","","","113","X","","","","","17.5","X"
"USW00093115","1964","32.56667","-117.11667","7.3","IMPERIAL BEACH REAM FIELD NAS, CA US","","","132.6","","132.6","X","36","X","17","X","0","","0","X","0","X","0","X","0","X","103","X","2","X","2.2","X,1115,","0",",X,1231,+","0",",X,1231,+","16.8",",X,1227,+","35.0","X,1020,+","","","","","","","1089.5","","1089.5","X","134.3",",X","0",",X","15.44","X","19.04","X","11.83","X","","","","","248","X","","","","","18.0","X"
"USW00093115","1965","32.56667","-117.11667","7.3","IMPERIAL BEACH REAM FIELD NAS, CA US","","","120.2","","120.2","X","54","X","31","X","0","","0","X","0","X","0","X","0","X","93","X","2","X","2.8","X,0212,+","0",",X,1231,+","0",",X,1231,+","45.0",",X,1122,","35.6","X,1021,","","","","","","","1119.9","","1119.9","X","423.3",",X","0",",X","15.75","X","19.30","X","12.21","X","","","","","180","X","","","","","16.4","X"
"USW00093115","1966","32.56667","-117.11667","7.3","IMPERIAL BEACH REAM FIELD NAS, CA US","","","291.8","","291.8","X","29","X","13","X","0","","0","X","0","X","0","X","0","X","176","X","2","X","1.7","X,0304,","0",",X,1231,+","0",",X,1231,+","33.3",",X,1107,","36.7","X,1101,","","","","","","","954.1","","954.1","X","185.5",",X","0",",X","16.55","X","20.57","X","12.53","X","","","","","270","X","","","","","17.0","X"
"USW00093115","1967","32.56667","-117.11667","7.3","IMPERIAL BEACH REAM FIELD NAS, CA US","","","248.4","","248.4","X","39","X","20","X","0","","0","X","0","X","0","X","0","X","147","X","1","X","2.2","X,0107,","0",",X,1231,+","0","T,X,1213,","36.1",",X,0122,","32.2","X,1017,","","","","","","","1075.7","","1075.7","X","289.4",",X","0","T,X","16.08","X","19.95","X","12.20","X","","","","","315","X","","","","","16.4","X"
"USW00093115","1968","32.56667","-117.11667","7.3","IMPERIAL BEACH REAM FIELD NAS, CA US","","","265.5","","265.5","X","35","X","11","X","0","","0","X","0","X","0","X","0","X","122","X","1","X","0.6","X,1221,","0",",X,1231,+","0",",X,1231,+","40.1",",X,0308,","32.8","X,0924,","","","","","","","891.5","","891.5","X","121.1",",X","0",",X","16.30","X","20.06","X","12.53","X","","","","","225","X","","","","","17.5","X"
"USW00093115","1969","32.56667","-117.11667","7.3","IMPERIAL BEACH REAM FIELD NAS, CA US","","","176.9","","176.9","X","50","X","22","X","0","","0","X","0","X","0","X","0","X","122","X","0","X","3.9","X,0130,","0",",X,1231,+","0",",X,1231,+","34.5",",X,0114,","26.7","X,1111,","","","","","","","1033.5","","1033.5","X","227.3",",X","0",",X","16.46","X","19.50","X","13.42","X","","","","","90","X","","","","","17.0","X"
"USW00093115","1970","32.56667","-117.11667","7.3","IMPERIAL BEACH REAM FIELD NAS, CA US","","","","","","","36","X","22","X","0","","0","X","","","","","","","","","","","","","0",",X,1231,+","0",",X,1231,+","38.1",",X,1129,","","","","","","","","","","","","","227.9",",X","0",",X","","","","","","","","","","","135","X","","","","","18.5","X"
"USW00093115","1971","32.56667","-117.11667","7.3","IMPERIAL BEACH REAM FIELD NAS, CA US","","","86.2","","86.2","X","35","X","17","X","0","","0","X","0","X","4","X","0","X","89","X","0","X","-3.3","X,0107,","0",",X,1231,+","0",",X,1231,+","16.8",",X,0217,","31.7","X,1006,","","","-0.6","X,0108","-3.3","X,0107","","","","","124.9",",X","0",",X","14.37","X","18.28","X","10.47","X","","","","","280","X","","","","","21.1","X"
