"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00093140","1949","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2068.2","","2068.2","0","39","0","17","0","0","","0","0","0","0","24","0","0","0","284","0","162","0","-4.4","0,0105,+","0","T,0,1018,","0","T,0,1210,+","18.8",",0,1018,","44.4","0,0714,","0.0","0,1211","-2.2","0,1212","-1.1","0,0215","-2.2","0,0201","-4.4","0,0105","1008.5","","1008.5","0","158.9",",0","0","T,0","21.50","0","29.02","0","13.99","0"
"USW00093140","1950","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2086.8","","2086.8","0","23","0","12","0","0","","0","0","0","0","6","0","0","0","322","0","178","0","-5.0","0,0105,+","0",",0,1231,+","0","T,0,0211,","19.1",",0,0707,","46.7","0,0901,","","","","","-1.1","0,0126","-4.4","0,0106","-4.4","0,0106","635.4","","635.4","0","100.7",",0","0","T,0","22.59","0","30.72","0","14.46","0"
"USW00093140","1951","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","1978.0","","1978.0","0","39","0","24","0","0","","0","0","0","0","7","0","0","0","286","0","157","0","-1.7","0,1221,+","0",",0,1231,+","0","T,0,0419,","61.7",",0,0827,","44.4","0,0526,","-1.1","0,1208","","","-0.6","0,0113","","","","","584.4","","584.4","0","325.9",",0","0","T,0","21.66","0","29.18","0","14.15","0"
"USW00093140","1952","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2189.5","","2189.5","0","46","0","28","0","0","","0","0","0","0","5","0","0","0","262","0","177","0","-1.7","0,0104,","0",",0,1231,+","0","T,0,0313,+","29.5",",0,0824,","44.4","0,0718,","","","","","0.0","0,0219","","","","","878.5","","878.5","0","281.1",",0","0","T,0","21.76","0","29.22","0","14.30","0"
"USW00093140","1953","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2020.1","","2020.1","0","18","0","11","0","0","","0","0","0","0","6","0","0","0","308","0","152","0","-1.1","0,0221,","0",",0,1231,+","0",",0,1231,+","12.2",",0,0716,","45.0","0,0702,","0.0","0,1121","","","-1.1","0,0221","","","","","733.1","","733.1","0","72.4",",0","0",",0","21.93","0","29.81","0","14.05","0"
"USW00093140","1954","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2198.3","","2198.3","0","28","0","15","0","0","","0","0","0","0","4","0","0","0","318","0","181","0","-2.2","0,1228,","0",",0,1231,+","0","T,0,0112,","16.0",",0,0322,","45.0","0,0728,","-2.2","0,1228","-2.2","0,1228","","","","","","","633.7","","633.7","0","118.4",",0","0","T,0","22.87","0","30.62","0","15.12","0"
"USW00093140","1955","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","1924.5","","1924.5","0","27","0","20","0","0","","0","0","0","0","13","0","0","0","293","0","155","0","-2.2","0,0220,+","0",",0,1231,+","0",",0,1231,+","49.5",",0,0722,","44.4","0,0622,+","","","","","-0.6","0,0223","-2.2","0,0220","","","773.2","","773.2","0","281.4",",0","0",",0","21.40","0","28.96","0","13.82","0"
"USW00093140","1956","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2136.2","","2136.2","0","15","0","8","0","0","","0","0","0","0","5","0","0","0","301","0","163","0","-1.7","0,0206,","0",",0,1231,+","0",",0,1231,+","25.4",",0,0812,","45.0","0,0708,","0.0","0,1120","","","-1.7","0,0206","","","","","632.2","","632.2","0","84.6",",0","0",",0","22.22","0","30.05","0","14.38","0"
"USW00093140","1957","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","1963.4","","1963.4","0","36","0","21","0","0","","0","0","0","0","0","0","0","0","277","0","142","0","1.1","0,1203,+","0",",0,1231,+","0",",0,1231,+","21.6",",0,1031,","46.1","0,0731,+","","","","","","","","","","","601.3","","601.3","0","193.5",",0","0",",0","21.92","0","28.78","0","15.06","0"
"USW00093140","1958","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2195.4","","2195.4","0","29","0","15","0","0","","0","0","0","0","3","0","0","0","293","0","156","0","0.0","0,1118,+","0",",0,1231,+","0",",0,1231,+","54.6",",0,0912,","46.7","0,0711,+","0.0","0,1117","","","0.0","0,0123","","","","","766.5","","766.5","0","225.9",",0","0",",0","22.80","0","29.97","0","15.62","0"
"USW00093140","1959","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2198.1","","2198.1","0","32","0","21","0","0","","0","0","0","0","0","0","0","0","300","0","171","0","0.6","0,1227,","0",",0,1231,+","0",",0,1231,+","35.3",",0,1030,","45.0","0,0624,","","","","","","","","","","","460.8","","460.8","0","198.8",",0","0",",0","22.89","0","30.10","0","15.67","0"
"USW00093140","1960","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2206.5","","2206.5","0","20","0","14","0","0","","0","0","0","0","12","0","0","0","288","0","162","0","-2.2","0,0104,","0",",0,1231,+","0",",0,1231,+","22.9",",0,1015,","45.6","0,0620,","-1.7","0,1206","","","-0.6","0,0225","-2.2","0,0104","","","732.3","","732.3","0","125.6",",0","0",",0","22.37","0","29.80","0","14.95","0"
"USW00093140","1961","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2062.0","","2062.0","0","20","0","13","0","0","","0","0","0","0","2","0","0","0","293","0","156","0","0.0","0,1229,+","0",",0,1231,+","0",",0,1231,+","29.2",",0,0809,","44.4","0,0626,+","0.0","0,1212","","","","","","","","","563.1","","563.1","0","146.7",",0","0",",0","22.29","0","29.56","0","15.03","0"
"USW00093140","1962","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2171.9","","2171.9","0","27","0","17","0","0","","0","0","0","0","4","0","0","0","296","0","161","0","-3.3","0,0111,","0",",0,1231,+","0","T,0,0113,","23.9",",0,0122,","45.0","0,0814,","","","","","-1.1","0,0114","-2.8","0,0112","","","801.3","","801.3","0","119.6",",0","0","T,0","22.45","0","29.97","0","14.93","0"
"USW00093140","1963","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2150.2","","2150.2","0","24","0","19","0","0","","0","0","0","0","11","0","0","0","306","0","168","0","-5.0","0,0114,+","0",",0,1231,+","0",",0,1231,+","37.1",",0,1019,","43.9","0,0725,","","","","","0.0","0,0122","-2.8","0,0120","-5.0","0,0114","603.0","","603.0","0","184.3",",0","0",",0","22.40","0","29.91","0","14.88","0"
"USW00093140","1964","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2001.3","","2001.3","0","33","0","20","0","0","","0","0","0","0","12","0","0","0","267","0","153","0","-1.7","0,0117,+","0",",0,1231,+","0",",0,1231,+","37.3",",0,0915,","44.4","0,0729,","-0.6","0,1116","","","0.0","0,0207","","","","","872.8","","872.8","0","169.7",",0","0",",0","21.24","0","28.59","0","13.88","0"
"USW00093140","1965","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","1922.5","","1922.5","0","54","0","29","0","0","","0","0","0","0","2","0","0","0","284","0","160","0","-0.6","0,0213,+","0",",0,1231,+","0",",0,1231,+","30.5",",0,0624,","43.9","0,0810,+","","","","","-0.6","0,0213","","","","","808.8","","808.8","0","344.3",",0","0",",0","21.55","0","28.76","0","14.34","0"
