"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00093193","1948","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","923.0","","923.0","0","47","0","22","0","0","","0","0","0","0","32","0","0","0","228","0","105","0","-2.8","0,1129,+","0",",0,1231,+","0",",0,1231,+","21.1",",0,0409,","43.3","0,0716,","-0.6","0,1121","-2.8","0,1127","","","","","-0.6","X,0224","-2.2","X,0212","","","","","","","","","194.5",",0","","","0",",0","16.91","0","25.11","0","8.71","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1949","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","1025.5","","1025.5","0","41","0","19","0","0","","0","0","0","0","50","0","0","0","231","0","119","0","-7.8","0,0110,","0",",0,1231,+","0","T,0,0211,+","20.3",",0,0323,","42.8","0,0717,","-1.1","0,1019","-3.9","0,1211","","","","","-1.7","0,0215","-3.9","0,0214","-4.4","0,0213","-7.2","0,0111","1533.9","","1533.9","0","167.1",",0","","","0","T,0","17.00","0","25.20","0","8.80","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1950","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","978.6","","978.6","0","54","0","28","0","0","","0","0","0","0","25","0","0","0","229","0","101","0","-6.1","0,0106,+","0",",0,1231,+","0","T,0,0408,+","39.1",",0,0324,","42.8","0,0701,+","0.0","0,1202","","","","","","","-0.6","0,0313","-2.2","0,0312","-5.0","0,0107","","","1474.5","","1474.5","0","314.5",",0","","","0","T,0","17.43","0","25.01","0","9.84","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1951","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","914.2","","914.2","0","40","0","25","0","0","","0","0","0","0","32","0","0","0","235","0","110","0","-3.9","0,1209,","0",",0,1231,+","0","T,0,1230,+","23.9",",0,0428,","41.7","0,0718,","0.0","0,1123","-2.2","0,1207","","","","","0.0","0,0331","-2.8","0,0303","","","","","1280.0","","1280.0","0","246.2",",0","","","0","T,0","16.85","0","24.88","0","8.81","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1952","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","961.4","","961.4","0","55","0","34","0","0","","0","0","0","0","24","0","0","0","222","0","106","0","-4.4","0,0104,","0",",0,1231,+","0","T,0,1115,+","44.2",",0,0124,","39.4","0,0902,+","0.0","0,1124","-2.2","0,1127","","","","","-1.1","0,0321","-3.3","0,0109","-4.4","0,0104","","","1503.9","","1503.9","0","395.2",",0","","","0","T,0","16.88","0","24.39","0","9.36","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1953","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","804.3","","804.3","0","29","0","15","0","0","","0","0","0","0","31","0","0","0","214","0","85","0","-3.3","0,0302,+","0",",0,1231,+","0","T,0,0114,","34.3",",0,1114,","40.6","0,0723,+","0.0","0,1205","-2.8","0,1225","","","","","0.0","0,0409","-3.3","0,0302","","","","","1444.5","","1444.5","0","156.1",",0","","","0","T,0","16.45","0","24.10","0","8.80","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1954","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","826.3","","826.3","0","33","0","21","0","0","","0","0","0","0","18","0","0","0","225","0","91","0","-3.9","0,1227,","0",",0,1231,+","0","T,0,0324,+","29.2",",0,0124,","42.2","0,0622,","-1.1","0,1130","-3.9","0,1227","","","","","0.0","0,0219","-2.8","0,0114","","","","","1433.2","","1433.2","0","250.1",",0","","","0","T,0","16.49","0","23.86","0","9.12","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1955","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","828.7","","828.7","0","48","0","30","0","0","","0","0","0","0","33","0","0","0","212","0","88","0","-3.3","0,0108,","0",",0,1231,+","0","T,0,1116,+","43.7",",0,1223,","43.9","0,0903,","-0.6","0,1112","","","","","","","0.0","0,0302","-2.2","0,0204","","","","","1721.4","","1721.4","0","386.6",",0","","","0","T,0","16.09","0","23.66","0","8.53","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1956","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","848.1","","848.1","0","43","0","22","0","0","","0","0","0","0","39","0","0","0","213","0","94","0","-3.9","0,1224,+","0",",0,1231,+","0",",0,1231,+","18.8",",0,0126,","41.7","0,0628,","-1.1","0,1120","-2.8","0,1208","","","","","0.0","0,0312","-2.8","0,0216","","","","","1466.6","","1466.6","0","169.0",",0","","","0",",0","16.35","0","23.97","0","8.74","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1957","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","871.5","","871.5","0","53","0","29","0","0","","0","0","0","0","22","0","0","0","208","0","95","0","-4.4","0,0109,","0",",0,1231,+","3",",0,0126,","21.8",",0,0518,","42.2","0,0624,","-1.1","0,1201","","","","","","","-1.1","0,0205","-2.2","0,0204","-4.4","0,0109","","","1500.8","","1500.8","0","265.4",",0","","","3",",0","16.66","0","23.63","0","9.68","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1958","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","1048.4","","1048.4","0","54","0","35","0","0","","0","0","0","0","16","0","0","0","224","0","105","0","-2.8","0,1116,","0",",0,1231,+","0",",0,1231,+","36.3",",0,0321,","40.0","0,0711,","-2.8","0,1116","-2.8","0,1116","","","","","0.0","0,0309","","","","","","","1446.1","","1446.1","0","418.6",",0","","","0",",0","17.61","0","24.99","0","10.24","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1959","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","962.4","","962.4","0","31","0","20","0","0","","0","0","0","0","25","0","0","0","254","0","97","0","-3.9","0,0103,","0",",0,1231,+","0",",0,1231,+","36.3",",0,0211,","42.2","0,0711,","-0.6","0,1205","-2.2","0,1207","","","","","-0.6","0,0213","-2.8","0,0104","","","","","1156.7","","1156.7","0","183.3",",0","","","0",",0","17.58","0","25.60","0","9.56","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1960","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","1046.1","","1046.1","0","38","0","23","0","0","","0","0","0","0","21","0","0","0","217","0","113","0","-5.0","0,0102,","0",",0,1231,+","0","T,0,0101,","25.4",",0,0201,","43.3","0,0720,","-0.6","0,1206","-2.2","0,1208","","","","","0.0","0,0118","-2.2","0,0117","-4.4","0,0104","","","1357.4","","1357.4","0","243.3",",0","","","0","T,0","17.12","0","24.75","0","9.50","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1961","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","1027.0","","1027.0","0","29","0","20","0","0","","0","0","0","0","24","0","0","0","222","0","99","0","-5.6","0,0107,","0",",0,1231,+","0",",0,1231,+","23.1",",0,1120,","43.3","0,0711,+","-1.1","0,1116","-2.8","0,1118","","","","","-2.2","0,0121","-2.2","0,0121","-5.6","0,0107","","","1563.2","","1563.2","0","176.9",",0","","","0",",0","16.82","0","24.32","0","9.31","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1962","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","955.1","","955.1","0","37","0","24","0","0","","1","0","0","0","31","0","0","0","221","0","107","0","-5.0","0,1227,+","0",",0,1231,+","38",",0,0122,","39.1",",0,0210,","41.1","0,0619,","0.0","0,1118","-5.0","0,1226","-5.0","0,1226","","","-2.2","0,0228","-2.2","0,0228","","","","","1626.2","","1626.2","0","243.7",",0","","","56",",0","16.86","0","24.48","0","9.25","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1963","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","892.8","","892.8","0","50","0","31","0","0","","0","0","0","0","28","0","0","0","211","0","89","0","-7.2","0,0113,","0",",0,1231,+","0",",0,1231,+","28.4",",0,0209,","41.7","0,0926,","-0.6","0,1212","-2.8","0,1213","","","","","-2.2","0,0125","-2.2","0,0125","-5.0","0,0121","-7.2","0,0113","1409.0","","1409.0","0","362.9",",0","","","0",",0","16.45","0","23.33","0","9.56","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1964","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","906.7","","906.7","0","47","0","27","0","0","","0","0","0","0","39","0","0","0","214","0","105","0","-3.9","0,0113,","0",",0,1231,+","0",",0,1231,+","22.1",",0,1029,","43.3","0,0625,","-1.1","0,1115","","","","","","","0.0","0,0325","-2.2","0,0214","","","","","1742.4","","1742.4","0","214.7",",0","","","0",",0","16.42","0","24.36","0","8.48","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093193","1965","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","805.9","","805.9","0","46","0","29","0","0","","0","0","0","0","22","0","0","0","224","0","98","0","-3.9","0,1219,","0",",0,1231,+","0","T,0,1222,","39.4",",0,0312,","40.0","0,0715,","-1.1","0,1215","-2.8","0,1216","","","","","0.0","0,0224","","","","","","","1410.1","","1410.1","0","263.1",",0","77.1","X","0","T,0","16.46","0","23.91","0","9.01","0","212682",",X","","","","","","","","","315","X","","","","","","","","","13.4","X"
"USW00093193","1966","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","1010.6","","1010.6","0","34","0","12","0","0","","0","0","0","0","36","0","0","0","240","0","109","0","-3.9","0,0125,+","0",",0,1231,+","0",",0,1231,+","25.1",",0,1205,","42.2","0,0723,+","-1.7","0,1227","-3.3","0,1228","","","","","-0.6","0,0317","-3.3","0,0303","","","","","1444.9","","1444.9","0","154.3",",0","81.3","X","0",",0","17.33","0","25.31","0","9.34","0","222348",",X","","","","","","","","","315","X","","","","","","","","","13.4","X"
"USW00093193","1967","36.78","-119.7194","101.5","FRESNO YOSEMITE INTERNATIONAL, CA US","","","1143.2","","1143.2","0","50","0","35","0","0","","0","0","0","0","27","0","0","0","203","0","119","0","-6.1","0,1214,","0",",0,1231,+","0","T,0,1212,","31.0",",0,0418,","42.2","0,0815,+","0.0","0,1201","-3.3","0,1213","-6.1","0,1214","","","-0.6","0,0215","-2.8","0,0108","","","","","1525.5","","1525.5","0","329.5",",0","72.6","X","0","T,0","17.17","0","24.57","0","9.77","0","199944",",X","","","","","","","","","315","X","","","","","","","","","13.0","X"
