"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093210","1999","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.9","W","765.6","","765.6","W","73","W","37","W","0","W","17","W","0","W","199","W","73","W","-1.7","W,0211,+","37.1",",W,0216,","41.7","W,0712,","0.0","W,1215","","","","","-1.7","W,0211","","","","","1642.3","","1642.3","W","418.6",",W","16.43","W","23.08","W","9.79","W","160","W","360","W","17.4","W","65.7","W"
"USW00093210","2000","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.8","W","801.6","","801.6","W","86","W","50","W","0","W","12","W","0","W","197","W","80","W","-2.2","W,0107,","54.1",",W,0213,","40.6","W,0614,","-1.1","W,1112","","","","","-2.2","W,0107","-2.2","W,0107","","","1289.4","","1289.4","W","725.9",",W","16.40","W","22.77","W","10.02","W","160","W","360","W","17.0","W","65.7","W"
"USW00093210","2001","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.9","W","965.5","","965.5","W","83","W","50","W","0","W","11","W","0","W","215","W","95","W","-2.8","W,0131,","46.2",",W,1030,","41.1","W,0808,","","","","","","","-1.1","W,0208","-2.8","W,0131","","","1581.5","","1581.5","W","741.5",",W","17.17","W","23.81","W","10.53","W","160","W","360","W","21.0","W","65.7","W"
"USW00093210","2002","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.8","W","887.1","","887.1","W","66","W","39","W","0","W","14","W","0","W","212","W","91","W","-3.3","W,0129,","50.8",",W,1213,","42.2","W,0710,","","","","","","","-0.6","W,0308","-3.3","W,0129","","","1381.7","","1381.7","W","560.7",",W","16.89","W","23.68","W","10.09","W","160","W","360","W","20.6","W","65.7","W"
"USW00093210","2003","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.8","W","976.2","","976.2","W","98","W","54","W","0","W","8","W","0","W","187","W","88","W","-1.1","W,1228,+","42.4",",W,0314,","40.6","W,0729,+","0.0","W,1122","","","","","0.0","W,0209","","","","","1405.1","","1405.1","W","711.8",",W","17.09","W","23.44","W","10.74","W","150","W","360","W","15.6","W","65.7","W"
"USW00093210","2004","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.9","W","953.0","","953.0","W","79","W","39","W","0","W","8","W","0","W","209","W","95","W","-1.1","W,1205,","42.4",",W,0225,","40.0","W,0811,","0.0","W,1129","","","","","0.0","W,0105","","","","","1256.1","","1256.1","W","620.2",",W","17.24","W","23.67","W","10.81","W","160","W","360","W","19.7","W","65.7","W"
"USW00093210","2005","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.8","B","846.9","","846.9","B","96","B","57","B","0","B","8","B","0","B","203","B","68","B","-0.6","B,1206,+","54.6",",B,1231,","41.7","B,0716,","-0.6","B,1127","","","","","-0.6","W,0114","","","","","1432.4","","1432.4","B","786.2",",B","17.07","B","23.35","B","10.79","B","160","B","360","B","17.0","B","65.7","B"
"USW00093210","2006","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.5","W","1010.5","","1010.5","W","98","W","58","W","0","W","12","W","0","W","199","W","95","W","-1.6","W,1220,+","74.2",",W,0227,","45.0","W,0723,","-0.5","W,1129","","","","","0.0","W,0222","","","","","1375.1","","1375.1","W","685.8",",W","17.12","W","23.55","W","10.69","W","150","W","170","W","17.0","W","23.7","W"
"USW00093210","2007","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.5","W","914.9","","914.9","W","62","W","34","W","0","W","18","W","0","W","220","W","91","W","-3.8","W,0114,","27.9",",W,0208,","42.8","W,0705,","-0.5","W,1130","","","","","0.0","W,0203","-3.2","W,0116","","","1323.7","","1323.7","W","404.3",",W","17.18","W","24.21","W","10.15","W","150","W","160","W","13.0","W","17.0","W"
"USW00093210","2008","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","","","","","","","64","W","26","W","","","","","","","","","","","","","43.7",",W,1101,","","","","","","","","","","","","","","","","","","","370.8",",W","","","","","","","","","","","","","",""
"USW00093210","2009","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.5","W","965.7","","965.7","W","69","W","39","W","0","W","14","W","0","W","209","W","94","W","-5.5","W,1209,","45.0",",W,0222,","42.8","W,0628,","-2.1","W,1206","-4.3","W,1208","-5.5","W,1209","-0.5","W,0210","","","","","","","","","539.9",",W","17.06","W","23.77","W","10.34","W","170","W","170","W","20.6","W","26.4","W"
"USW00093210","2010","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.7","W","805.5","","805.5","W","107","W","60","W","0","W","6","W","0","W","190","W","78","W","-1.6","W,1230,+","37.6",",W,0119,","41.1","W,0825,","-1.6","W,1124","","","","","","","","","","","1509.2","","1509.2","W","808.6",",W","16.61","W","22.63","W","10.59","W","150","W","150","W","20.6","W","26.8","W"
"USW00093210","2011","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.5","W","780.5","","780.5","W","89","W","47","W","0","W","22","W","0","W","187","W","82","W","-3.2","W,0110,","33.3",",W,0225,","39.4","W,0909,","0.0","W,1207","-2.7","W,1224","","","-1.0","W,0227","-3.2","W,0110","","","1545.5","","1545.5","W","555.2",",W","15.98","W","22.29","W","9.67","W","160","W","150","W","20.6","W","26.4","W"
"USW00093210","2012","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1495.7","","1495.7","W","","","","","","","","","","","","","","","",""
"USW00093210","2013","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.5","W","894.7","","894.7","W","28","W","19","W","0","W","30","W","0","W","229","W","85","W","-5.5","W,0113,","31.5",",W,1119,","42.2","W,0704,","-1.0","W,1204","-3.2","W,1205","","","-0.5","W,0220","-2.7","W,0118","-5.5","W,0113","","","","","194.3",",W","17.01","W","24.39","W","9.63","W","50","W","40","W","14.3","W","19.7","W"
"USW00093210","2014","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.6","W","1134.5","","1134.5","W","60","W","43","W","0","W","3","W","0","W","232","W","112","W","-0.5","W,0201,","93.7",",W,1211,","42.2","W,0801,+","0.0","W,1231","","","","","-0.5","W,0201","","","","","1119.3","","1119.3","W","663.9",",W","18.70","W","25.45","W","11.94","W","140","W","140","W","15.7","W","20.6","W"
"USW00093210","2015","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.6","W","1106.8","","1106.8","W","40","W","21","W","0","W","10","W","0","W","240","W","101","W","-2.7","W,1129,","34.5",",W,0206,","42.2","W,0729,","0.0","W,1128","-2.7","W,1129","","","-0.5","W,0103","","","","","967.3","","967.3","W","266.2",",W","18.29","W","25.18","W","11.40","W","170","W","160","W","17.0","W","22.4","W"
"USW00093210","2016","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.7","W","981.3","","981.3","W","74","W","51","W","0","W","9","W","0","W","224","W","96","W","-2.1","W,1226,+","65.5",",W,1215,","41.1","W,0730,+","-1.0","W,1206","","","","","","","","","","","1167.5","","1167.5","W","693.1",",W","17.85","W","24.34","W","11.36","W","150","W","160","W","17.4","W","23.3","W"
"USW00093210","2017","39.49","-121.61833","57.9","OROVILLE MUNICIPAL AIRPORT, CA US","2.9","W","1177.4","","1177.4","W","66","W","51","W","0","W","3","W","0","W","208","W","107","W","-1.6","W,0106,","41.1",",W,0108,","42.8","W,0828,","-0.5","W,1221","","","","","-1.0","W,0116","","","","","1293.4","","1293.4","W","706.0",",W","18.11","W","24.58","W","11.63","W","150","W","160","W","18.3","W","23.7","W"
