"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00093739","1967","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","277.0","","277.0","0","109","0","76","0","9","","5","0","0","0","88","0","8","0","121","0","1","0","-8.9","0,0225,+","152",",0,0210,","140",",0,0119,","65.0",",0,0619,","32.2","0,0712,","-0.6","0,1105","-2.2","0,1106","-6.1","0,1116","-6.7","0,1224","","","-1.1","0,0412","-2.2","0,0325","-7.8","0,0319","-7.8","0,0319","-8.9","0,0225","","","","","936.7",",0","531",",0","11.48","0","15.64","0","7.32","0","","","","","","","","","","","","","","","",""
"USW00093739","1968","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","630.4","","630.4","0","100","0","62","0","10","","6","0","0","0","88","0","18","0","157","0","13","0","-12.2","0,0112,","76",",0,0302,+","46",",0,0207,","32.8",",0,0312,","37.2","0,0823,","-0.6","0,1120","-3.3","0,1121","-8.3","0,1210","-8.3","0,1210","","","0.0","0,0407","-5.0","0,0314","-5.0","0,0314","-7.8","0,0227","-10.6","0,0222","2760.4","","2760.4","0","755.8",",0","243",",0","12.93","0","17.00","0","8.86","0","","","","","","","","","","","","","","","",""
"USW00093739","1969","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","634.5","","634.5","0","112","0","70","0","4","","4","0","0","0","90","0","3","0","145","0","10","0","-8.9","0,0106,+","51",",0,0310,+","94",",0,0220,","60.7",",0,0820,","35.0","0,0701,+","-1.1","0,1024","-4.4","0,1121","-4.4","0,1121","-6.7","0,1221","","","-2.2","0,0331","-2.2","0,0331","-5.0","0,0312","-6.7","0,0215","-8.9","0,0106","2541.6","","2541.6","0","928.2",",0","362",",0","12.81","0","16.57","0","9.06","0","","","","","","","","","","","","","","","",""
"USW00093739","1970","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","616.6","","616.6","0","","","","","10","","4","0","0","0","77","0","10","0","153","0","10","0","-12.8","0,0122,","25",",0,1226,+","79",",0,0120,","","","33.3","0,0829,+","0.0","0,1118","-3.3","0,1123","-5.0","0,1124","-6.7","0,1229","","","-0.6","0,0330","-4.4","0,0317","-4.4","0,0317","-9.4","0,0226","-9.4","0,0226","2652.4","","2652.4","0","801.5",",0","251",",0","13.18","0","17.18","0","9.19","0","","","","","","","","","","","","","","","",""
"USW00093739","1971","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","684.4","","684.4","0","102","0","64","0","10","","4","0","0","0","64","0","13","0","160","0","5","0","-13.3","0,0202,","127",",0,0109,","140",",0,0326,","71.9",",0,0827,","33.3","0,0821,","-1.1","0,1108","-3.3","0,1123","-4.4","0,1219","","","","","-0.6","0,0328","-2.8","0,0325","-4.4","0,0217","-7.8","0,0210","-10.6","0,0203","2391.3","","2391.3","0","983.7",",0","368",",0","14.07","0","17.95","0","10.18","0","","","","","","","","","","","","","","","",""
"USW00093739","1972","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","521.5","","521.5","0","125","0","89","0","0","","0","0","0","0","56","0","5","0","133","0","6","0","-13.3","0,0116,","0","T,0,0220,","5",",0,0219,","63.0",",0,0422,","34.4","0,0724,+","-1.7","0,1116","-3.3","0,1123","-5.6","0,1217","-6.7","0,1218","","","-1.1","0,0409","-3.3","0,0311","-4.4","0,0223","-6.7","0,0209","-11.1","0,0117","2105.4","","2105.4","0","1290.2",",0","5",",0","13.42","0","17.21","0","9.62","0","","","","","","","","","","","","","","","",""
"USW00093739","1973","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","656.7","","656.7","0","118","0","80","0","5","","2","0","0","0","57","0","8","0","155","0","6","0","-10.6","0,0217,","51",",0,1212,+","58",",0,1211,+","101.6",",0,0618,","35.0","0,0830,","0.0","0,1106","-4.4","0,1111","-4.4","0,1111","","","","","0.0","0,0413","-2.8","0,0301","-5.6","0,0219","-7.8","0,0218","-10.6","0,0217","2248.9","","2248.9","0","1136.9",",0","145",",0","13.98","0","17.94","0","10.01","0","","","","","","","","","","","","","","","",""
"USW00093739","1974","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","539.6","","539.6","0","123","0","72","0","1","","2","0","0","0","55","0","3","0","151","0","9","0","-6.7","0,1127,+","25",",0,0209,","41",",0,0208,","43.2",",0,0316,","34.4","0,0709,","-1.7","0,1020","-2.2","0,1116","-5.6","0,1126","-6.7","0,1127","","","-2.2","0,0326","-2.2","0,0326","-6.1","0,0227","-6.7","0,0114","","","2107.4","","2107.4","0","787.6",",0","66",",0","13.57","0","17.61","0","9.53","0","","","","","","","","","","","","","","","",""
"USW00093739","1975","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","693.8","","693.8","0","144","0","84","0","3","","3","0","0","0","58","0","2","0","168","0","13","0","-7.2","0,1219,","25",",0,0202,+","46",",0,0202,","63.0",",0,0901,","33.9","0,0825,+","0.0","0,1031","-2.2","0,1204","-5.0","0,1218","-7.2","0,1219","","","-0.6","0,0414","-3.3","0,0310","-5.0","0,0309","-6.7","0,0115","","","2366.9","","2366.9","0","1230.7",",0","114",",0","14.32","0","18.35","0","10.28","0","","","","","","","","","","","","","","","",""
"USW00093739","1976","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","510.8","","510.8","0","100","0","63","0","5","","2","0","0","0","84","0","7","0","148","0","3","0","-11.1","0,0119,","51",",0,1209,","81",",0,1208,","82.8",",0,0809,","33.9","0,0724,","-0.6","0,1028","-3.9","0,1109","-4.4","0,1124","-6.7","0,1203","","","-1.1","0,0412","-3.9","0,0318","-4.4","0,0210","-8.3","0,0123","-11.1","0,0119","2063.0","","2063.0","0","935.5",",0","186",",0","13.06","0","17.40","0","8.73","0","","","","","","","","","","","","","","","",""
