"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093781","1999","36.43944","-77.70972","78.0","ROANOKE RAPIDS HALIFAX CO AIRPORT, NC US","2.5","W","798.4","","798.4","W","133","W","67","W","0","W","53","W","1","W","197","W","37","W","-10.6","W,0106,","138.9",",W,0915,","36.7","W,0801,+","0.0","W,1117","-2.2","W,1118","-5.0","W,1202","-6.7","W,1225","","","0.0","W,0323","-5.6","W,0308","-5.6","W,0308","-7.8","W,0223","-10.6","W,0106","","","","","1268.0",",W","15.75","W","21.57","W","9.93","W","360","W","360","W","17.0","W","23.7","W"
"USW00093781","2000","36.43944","-77.70972","78.0","ROANOKE RAPIDS HALIFAX CO AIRPORT, NC US","2.4","W","772.5","","772.5","W","115","W","66","W","0","W","68","W","4","W","198","W","21","W","-11.7","W,0128,","46.0",",W,0804,","33.9","W,0809,+","0.0","W,1115","-5.6","W,1122","-5.6","W,1122","-6.7","W,1220","-9.4","W,1226","-1.1","W,0318","-2.2","W,0222","-5.6","W,0203","-8.3","W,0129","-11.7","W,0128","1656.0","","1656.0","W","888.4",",W","14.95","W","20.56","W","9.35","W","280","W","300","W","17.0","W","23.2","W"
"USW00093781","2001","36.43944","-77.70972","78.0","ROANOKE RAPIDS HALIFAX CO AIRPORT, NC US","2.2","W","753.4","","753.4","W","99","W","56","W","0","W","57","W","0","W","202","W","16","W","-10.6","W,0103,","65.8",",W,0605,","35.6","W,0810,","-1.1","W,1029","-2.2","W,1122","-4.4","W,1222","","","","","-3.3","W,0328","-3.3","W,0328","-6.1","W,0223","-10.6","W,0103","-10.6","W,0103","2073.0","","2073.0","W","750.4",",W","15.53","W","21.48","W","9.58","W","260","W","260","W","13.0","W","17.9","W"
"USW00093781","2002","36.43944","-77.70972","78.0","ROANOKE RAPIDS HALIFAX CO AIRPORT, NC US","","","","","","","89","W","54","W","","","","","","","","","","","","","83.3",",W,0830,","","","","","","","","","","","","","","","","","","","","","","","","","","","819.4",",W","","","","","","","","","290","W","","","21.0","W"
"USW00093781","2003","36.43944","-77.70972","78.0","ROANOKE RAPIDS HALIFAX CO AIRPORT, NC US","2.4","W","","","","","138","W","81","W","","","","","","","","","","","","","55.4",",W,0320,","","","","","","","","","","","","","","","","","","","","","","","2071.4","","2071.4","W","1198.6",",W","","","","","","","","","270","W","","","20.6","W"
"USW00093781","2004","36.43944","-77.70972","78.0","ROANOKE RAPIDS HALIFAX CO AIRPORT, NC US","","","","","","","134","W","69","W","","","","","","","","","","","","","47.5",",W,0830,","","","","","","","","","","","","","","","","","","","","","","","","","","","1021.2",",W","","","","","","","","","260","W","","","23.2","W"
"USW00093781","2005","36.43944","-77.70972","78.0","ROANOKE RAPIDS HALIFAX CO AIRPORT, NC US","2.3","B","","","","","128","B","65","B","","","","","","","","","","","","","50.3",",B,1007,","","","","","","","","","","","","","","","","","","","","","","","","","","","935.8",",B","","","","","","","280","B","280","B","14.3","B","18.3","B"
"USW00093781","2006","36.43944","-77.70972","78.0","ROANOKE RAPIDS HALIFAX CO AIRPORT, NC US","2.1","W","932.5","","932.5","W","134","W","68","W","0","W","44","W","0","W","214","W","48","W","-7.7","W,0219,","95.5",",W,0614,","37.2","W,0829,+","-0.5","W,1103","-5.5","W,1208","-5.5","W,1208","-7.1","W,1209","","","-1.6","W,0323","-2.7","W,0308","-7.1","W,0227","-7.1","W,0227","","","1672.6","","1672.6","W","1158.1",",W","16.44","W","22.40","W","10.48","W","280","W","250","W","14.3","W","26.4","W"
"USW00093781","2007","36.43944","-77.70972","78.0","ROANOKE RAPIDS HALIFAX CO AIRPORT, NC US","2.0","W","1143.1","","1143.1","W","104","W","50","W","0","W","53","W","0","W","223","W","75","W","-9.3","W,0206,","41.4",",W,1025,","40.6","W,0809,","0.0","W,1111","-3.2","W,1206","-5.5","W,1218","","","","","0.0","W,0410","-2.7","W,0319","-6.0","W,0219","-7.7","W,0217","-9.3","W,0206","1670.8","","1670.8","W","736.3",",W","16.94","W","23.08","W","10.79","W","280","W","260","W","14.3","W","21.0","W"
"USW00093781","2008","36.43944","-77.70972","78.0","ROANOKE RAPIDS HALIFAX CO AIRPORT, NC US","1.8","W","960.7","","960.7","W","140","W","70","W","0","W","52","W","0","W","210","W","48","W","-8.2","W,0121,+","89.9",",W,0420,","37.8","W,0609,+","-0.5","W,1031","-4.3","W,1122","-5.5","W,1208","","","","","0.0","W,0310","-3.8","W,0229","-4.9","W,0125","-8.2","W,0121","","","1542.8","","1542.8","W","1016.9",",W","16.32","W","22.16","W","10.48","W","270","W","270","W","17.0","W","23.7","W"
