"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00093805","1941","30.39306","-84.35333","16.8","TALLAHASSEE REGIONAL AIRPORT, FL US","","","1507.4","","1507.4","Z","108","Z","69","Z","0","","0","Z","0","Z","27","Z","0","Z","271","Z","96","Z","-5.0","Z,0302,","0",",Z,1231,+","0",",Z,1231,+","117.9",",Z,1007,","37.2","Z,0611,","-1.1","Z,1126","","","","","","","","","-1.7","Z,0315","-5.0","Z,0302","-5.0","Z,0302","","","","","969.3","","969.3","Z","1180.5",",Z","0",",Z","19.71","Z","25.94","Z","13.49","Z","","","","","","","","","","","","","","","",""
"USW00093805","1943","30.39306","-84.35333","16.8","TALLAHASSEE REGIONAL AIRPORT, FL US","","","1438.2","","1438.2","Z","85","Z","71","Z","0","","0","Z","0","Z","36","Z","0","Z","276","Z","101","Z","-8.3","Z,1218,","0",",Z,1231,+","0",",Z,1231,+","58.9",",Z,0620,","37.8","Z,0723,+","-1.1","Z,1111","-2.8","Z,1124","-5.6","Z,1217","-8.3","Z,1218","","","-5.0","Z,0304","-5.0","Z,0304","-5.0","Z,0304","","","","","","","","","1229.4",",Z","0",",Z","19.48","Z","26.18","Z","12.78","Z","","","","","","","","","","","","","","","",""
"USW00093805","1944","30.39306","-84.35333","16.8","TALLAHASSEE REGIONAL AIRPORT, FL US","","","1438.8","","1438.8","Z","105","Z","87","Z","0","","0","Z","0","Z","28","Z","0","Z","286","Z","95","Z","-6.7","Z,1215,","0",",Z,1231,+","0","T,Z,1211,","97.5",",Z,0714,","39.4","Z,0624,+","0.0","Z,1122","-2.8","Z,1212","-5.0","Z,1213","-6.7","Z,1215","","","0.0","Z,0406","-2.2","Z,0111","","","","","","","936.9","","936.9","Z","1666.1",",Z","0","T,Z","19.85","Z","26.25","Z","13.45","Z","","","","","","","","","","","","","","","",""
"USW00093805","1945","30.39306","-84.35333","16.8","TALLAHASSEE REGIONAL AIRPORT, FL US","","","1471.8","","1471.8","Z","114","Z","83","Z","0","","0","Z","0","Z","23","Z","0","Z","285","Z","83","Z","-7.2","Z,1217,","0",",Z,1231,+","0",",Z,1231,+","68.1",",Z,1214,","37.8","Z,0601,+","-2.8","Z,1123","-2.8","Z,1123","-4.4","Z,1125","-7.2","Z,1217","","","-0.6","Z,0209","-2.8","Z,0201","","","","","","","826.1","","826.1","Z","1437.8",",Z","0",",Z","20.05","Z","26.33","Z","13.76","Z","","","","","","","","","","","","","","","",""
"USW00093805","1946","30.39306","-84.35333","16.8","TALLAHASSEE REGIONAL AIRPORT, FL US","","","","","","","126","6","82","6","","","","","","","","","0","6","310","6","71","6","","","","","","","90.9",",6,0316,","37.2","6,0620,","","","","","","","","","","","","","","","","","","","","","834.5","","834.5","6","1552.3",",6","","","","","26.80","6","","","","","","","","","","","","","","","","","",""
"USW00093805","1947","30.39306","-84.35333","16.8","TALLAHASSEE REGIONAL AIRPORT, FL US","","","1470.8","","1470.8","6","142","6","97","6","","","","","0","6","14","6","0","6","275","6","94","6","-4.4","6,0211,+","","","","","112.3",",6,0415,","36.7","6,0902,+","","","","","","","","","","","-0.6","6,0317","-2.2","6,0303","-4.4","6,0211","","","","","","","","","2066.8",",6","","","20.15","6","26.07","6","14.24","6","","","","","","","","","","","","","","","",""
"USW00093805","1948","30.39306","-84.35333","16.8","TALLAHASSEE REGIONAL AIRPORT, FL US","","","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093805","1949","30.39306","-84.35333","16.8","TALLAHASSEE REGIONAL AIRPORT, FL US","","","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","","","","","","","","","","","","","","","","","",""
"USW00093805","1950","30.39306","-84.35333","16.8","TALLAHASSEE REGIONAL AIRPORT, FL US","","","1409.2","","1409.2","0","113","0","76","0","0","","0","0","0","0","15","0","0","0","289","0","72","0","-7.2","0,1126,","0",",0,1231,+","0","T,0,0425,","179.6",",0,0831,","37.8","0,0627,","-0.6","0,1122","-6.7","0,1125","-6.7","0,1125","-6.7","0,1125","","","0.0","0,0221","","","","","","","","","566.2","","566.2","0","1321.4",",0","0","T,0","20.14","0","26.10","0","14.18","0","","","","","","","","","","","","","","","",""
"USW00093805","1951","30.39306","-84.35333","16.8","TALLAHASSEE REGIONAL AIRPORT, FL US","","","1545.7","","1545.7","0","109","0","65","0","0","","0","0","0","0","21","0","0","0","293","0","101","0","-7.8","0,0203,","0","T,0,0530,+","5",",0,0202,","103.9",",0,0319,","37.2","0,0717,+","0.0","0,1108","-3.3","0,1216","","","","","","","0.0","0,0314","-2.2","0,0208","-6.7","0,0204","-6.7","0,0204","","","904.3","","904.3","0","1286.7",",0","5",",0","20.39","0","26.46","0","14.31","0","","","","","","","","","","","","","","","",""
"USW00093805","1952","30.39306","-84.35333","16.8","TALLAHASSEE REGIONAL AIRPORT, FL US","","","1422.7","","1422.7","0","109","0","78","0","0","","0","0","0","0","14","0","0","0","286","0","90","0","-3.9","0,1216,+","0",",0,1231,+","0",",0,1231,+","59.7",",0,0919,","39.4","0,0627,","0.0","0,1122","-3.9","0,1215","","","","","","","0.0","0,0208","","","","","","","","","650.1","","650.1","0","1161.5",",0","0",",0","20.25","0","26.23","0","14.27","0","","","","","","","","","","","","","","","",""
"USW00093805","1953","30.39306","-84.35333","16.8","TALLAHASSEE REGIONAL AIRPORT, FL US","","","1412.2","","1412.2","0","115","0","85","0","0","","0","0","0","0","10","0","0","0","289","0","64","0","-3.9","0,0104,","0",",0,1231,+","0",",0,1231,+","83.1",",0,0820,","38.9","0,0527,","0.0","0,1127","-3.3","0,1218","","","","","","","-1.1","0,0113","-3.9","0,0104","","","","","","","742.9","","742.9","0","1549.7",",0","0",",0","20.18","0","26.03","0","14.33","0","","","","","","","","","","","","","","","",""
