"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00093809","1908","37.0422","-89.1855","95.4","CAIRO 3 N, IL US","932.8","","932.8","X","121","X","75","X","0","","1","X","0","X","51","X","4","X","193","X","25","X","-12.2","X,0202,","0","T,X,0226,+","25",",X,0112,","61.7",",X,0214,","35.6","X,0817,","-1.1","X,1105","-2.2","X,1113","-7.2","X,1202","-7.2","X,1202","","","-1.7","X,0228","-3.9","X,0227","-6.7","X,0220","-6.7","X,0220","-12.2","X,0202","","","","","977.9",",X","","","64",",X","15.31","X","19.97","X","10.65","X","","","","","","","","","",""
"USW00093809","1909","37.0422","-89.1855","95.4","CAIRO 3 N, IL US","912.2","","912.2","X","111","X","74","X","5","","2","X","0","X","58","X","21","X","186","X","35","X","-15.6","X,1230,","76",",X,0113,","38",",X,0111,","80.5",",X,0223,","37.2","X,0828,","0.0","X,1117","-2.2","X,1118","-7.8","X,1207","-7.8","X,1207","-11.1","X,1208","-0.6","X,0317","-2.2","X,0315","-5.6","X,0216","-10.6","X,0201","-10.6","X,0201","2059.6","","2059.6","X","1094.3",",X","","","143",",X","14.91","X","19.64","X","10.18","X","","","","","","","","","",""
"USW00093809","1910","37.0422","-89.1855","95.4","CAIRO 3 N, IL US","836.9","","836.9","X","115","X","65","X","13","","5","X","0","X","80","X","10","X","192","X","23","X","-15.0","X,0218,","203",",X,0106,","119",",X,0105,","121.2",",X,1005,","34.4","X,0725,+","-2.2","X,1029","-2.2","X,1029","-6.1","X,1201","-7.8","X,1207","","","-2.2","X,0424","-2.2","X,0424","-6.1","X,0225","-11.7","X,0224","-11.7","X,0224","2179.6","","2179.6","X","1167.2",",X","","","440",",X","14.34","X","19.17","X","9.51","X","","","","","","","","","",""
"USW00093809","1911","37.0422","-89.1855","95.4","CAIRO 3 N, IL US","1078.5","","1078.5","X","121","X","64","X","0","","1","X","0","X","52","X","8","X","189","X","49","X","-15.0","X,0104,","0","T,X,1112,+","48",",X,0301,","36.8",",X,0905,","37.2","X,0704,","-3.9","X,1102","-3.9","X,1102","-7.2","X,1112","-7.2","X,1112","","","-5.6","X,0316","-5.6","X,0316","-5.6","X,0316","-8.3","X,0222","-15.0","X,0104","2117.1","","2117.1","X","765.3",",X","","","87",",X","15.59","X","20.43","X","10.74","X","","","","","","","","","",""
"USW00093809","1912","37.0422","-89.1855","95.4","CAIRO 3 N, IL US","837.2","","837.2","X","108","X","67","X","20","","6","X","5","X","90","X","26","X","179","X","27","X","-22.2","X,0113,+","152",",X,0113,+","117",",X,0106,","50.5",",X,0617,","35.0","X,0910,+","0.0","X,1102","-2.2","X,1125","-5.0","X,1208","-8.3","X,1209","","","-1.7","X,0325","-2.2","X,0322","-5.0","X,0310","-7.8","X,0211","-12.2","X,0210","2618.3","","2618.3","X","946.7",",X","","","528",",X","13.62","X","18.13","X","9.11","X","","","","","","","","","",""
"USW00093809","1913","37.0422","-89.1855","95.4","CAIRO 3 N, IL US","1021.6","","1021.6","X","98","X","68","X","2","","3","X","0","X","69","X","11","X","175","X","57","X","-11.7","X,0201,","51",",X,0203,","46",",X,0203,","109.0",",X,0325,","38.9","X,0618,","0.0","X,1029","-2.8","X,1111","-4.4","X,1208","","","","","-0.6","X,0328","-3.9","X,0327","-5.0","X,0306","-10.0","X,0302","-10.0","X,0302","2176.1","","2176.1","X","1082.8",",X","","","152",",X","15.24","X","19.93","X","10.56","X","","","","","","","","","",""
"USW00093809","1914","37.0422","-89.1855","95.4","CAIRO 3 N, IL US","1100.6","","1100.6","X","96","X","60","X","14","","5","X","0","X","88","X","18","X","188","X","70","X","-15.6","X,1215,","102",",X,1213,+","89",",X,0319,","46.7",",X,0218,","38.3","X,0712,","0.0","X,1027","-2.2","X,1116","-4.4","X,1117","-8.9","X,1119","-8.9","X,1119","-1.7","X,0409","-2.2","X,0322","-7.2","X,0320","-7.2","X,0320","-8.9","X,0225","2196.1","","2196.1","X","717.0",",X","","","361",",X","14.91","X","19.64","X","10.18","X","","","","","","","","","",""
"USW00093809","1915","37.0422","-89.1855","95.4","CAIRO 3 N, IL US","847.2","","847.2","X","94","X","70","X","6","","2","X","0","X","68","X","8","X","195","X","22","X","-12.2","X,0128,+","102",",X,0118,","89",",X,0118,","66.0",",X,0801,","36.1","X,0730,","-3.3","X,1115","-3.3","X,1115","-6.7","X,1228","-6.7","X,1228","","","-0.6","X,0403","-4.4","X,0322","-4.4","X,0322","-7.2","X,0129","-12.2","X,0128","2306.0","","2306.0","X","1169.2",",X","","","159",",X","14.76","X","19.24","X","10.27","X","","","","","","","","","",""
"USW00093809","1916","37.0422","-89.1855","95.4","CAIRO 3 N, IL US","947.4","","947.4","X","100","X","57","X","5","","3","X","0","X","69","X","21","X","192","X","39","X","-16.1","X,1215,","51",",X,1215,+","38",",X,1214,","57.4",",X,0130,","35.6","X,0820,+","-3.3","X,1113","-3.3","X,1113","-7.2","X,1114","-7.2","X,1114","-10.6","X,1214","-1.7","X,0323","-3.9","X,0316","-4.4","X,0308","-6.7","X,0214","-8.9","X,0202","2107.4","","2107.4","X","897.3",",X","","","161",",X","14.81","X","19.68","X","9.94","X","","","","","","","","","",""
"USW00093809","1917","37.0422","-89.1855","95.4","CAIRO 3 N, IL US","757.3","","757.3","X","102","X","66","X","23","","9","X","4","X","66","X","25","X","174","X","20","X","-21.7","X,1209,","406",",X,1208,","279",",X,1207,","91.9",",X,0401,","34.4","X,0801,+","0.0","X,1023","-2.2","X,1030","-5.0","X,1124","-6.7","X,1207","-17.8","X,1208","-0.6","X,0306","-8.9","X,0305","-8.9","X,0305","-8.9","X,0305","-8.9","X,0305","2257.5","","2257.5","X","1027.7",",X","","","850",",X","13.41","X","18.41","X","8.41","X","","","","","","","","","",""
