"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00093891","1949","39.96667","-83.0","221.0","COLUMBUS, OH US","729.2","","729.2","0","141","0","88","0","4","","3","0","0","0","84","0","16","0","163","0","34","0","-14.4","0,0130,","51",",0,0202,+","64",",0,0131,","43.2",",0,0104,","35.6","0,0705,","-2.2","0,1101","-2.2","0,1101","-4.4","0,1121","-6.7","0,1208","-10.6","0,1215","0.0","0,0416","-3.3","0,0320","-6.1","0,0319","-6.7","0,0316","-8.9","0,0301","2608.1","","2608.1","0","884.6",",0","170",",0","13.13","0","18.11","0","8.15","0"
"USW00093891","1950","39.96667","-83.0","221.0","COLUMBUS, OH US","493.5","","493.5","0","141","0","83","0","","","","","2","0","117","0","36","0","163","0","9","0","-19.4","0,1227,","","","","","42.7",",0,0106,","34.4","0,0817,+","-1.7","0,1105","-3.3","0,1111","-4.4","0,1112","-7.2","0,1123","-13.9","0,1124","-0.6","0,0415","-5.6","0,0414","-5.6","0,0414","-6.7","0,0314","-8.9","0,0309","2764.2","","2764.2","0","930.8",",0","","","11.37","0","16.32","0","6.42","0"
"USW00093891","1951","39.96667","-83.0","221.0","COLUMBUS, OH US","612.7","","612.7","0","124","0","85","0","30","","7","0","5","0","98","0","30","0","157","0","22","0","-23.3","0,0202,","229",",0,1219,+","142",",0,1214,","30.0",",0,1007,","37.2","0,0831,","-3.9","0,1102","-3.9","0,1102","-6.7","0,1103","-6.7","0,1103","-19.4","0,1215","-0.6","0,0417","-4.4","0,0326","-4.4","0,0326","-6.7","0,0320","-12.8","0,0210","2995.3","","2995.3","0","963.3",",0","641",",0","11.75","0","16.74","0","6.75","0"
"USW00093891","1952","39.96667","-83.0","221.0","COLUMBUS, OH US","688.5","","688.5","0","123","0","84","0","8","","5","0","0","0","99","0","19","0","152","0","36","0","-11.7","0,0130,","76",",0,1202,","58",",0,1129,","75.4",",0,0126,","36.7","0,0726,+","-0.6","0,1007","-2.8","0,1020","-6.7","0,1128","-6.7","0,1128","-9.4","0,1228","0.0","0,0411","-3.3","0,0316","-5.0","0,0308","-7.2","0,0215","-11.7","0,0130","2819.2","","2819.2","0","836.9",",0","337",",0","12.49","0","17.39","0","7.59","0"
"USW00093891","1953","39.96667","-83.0","221.0","COLUMBUS, OH US","735.1","","735.1","0","114","0","61","0","19","","9","0","0","0","78","0","14","0","167","0","38","0","-13.9","0,1217,","76",",0,0419,+","89",",0,0418,","49.8",",0,0718,","38.3","0,0903,","-0.6","0,1105","-2.2","0,1106","-10.6","0,1216","-10.6","0,1216","-10.6","0,1216","-0.6","0,0421","-2.8","0,0419","-5.0","0,0309","-8.9","0,0308","-8.9","0,0308","2746.4","","2746.4","0","669.2",",0","562",",0","13.24","0","18.13","0","8.35","0"
"USW00093891","1954","39.96667","-83.0","221.0","COLUMBUS, OH US","703.1","","703.1","0","124","0","76","0","11","","6","0","0","0","82","0","18","0","162","0","25","0","-13.9","0,0113,","102",",0,0301,","89",",0,0301,","48.0",",0,0616,","38.3","0,0714,","-3.3","0,1102","-3.3","0,1102","-5.6","0,1203","-7.8","0,1207","-12.8","0,1220","0.0","0,0409","-3.3","0,0404","-5.0","0,0321","-7.8","0,0306","-9.4","0,0212","2493.8","","2493.8","0","792.8",",0","465",",0","12.91","0","17.30","0","8.52","0"
"USW00093891","1955","39.96667","-83.0","221.0","COLUMBUS, OH US","695.4","","695.4","0","121","0","76","0","22","","8","0","1","0","103","0","32","0","167","0","32","0","-18.3","0,0129,","102",",0,1119,","114",",0,1119,","53.3",",0,1116,","36.7","0,0803,","-0.6","0,1025","-2.8","0,1104","-6.1","0,1117","-13.3","0,1128","-13.3","0,1128","-0.6","0,0408","-2.2","0,0329","-7.8","0,0328","-7.8","0,0328","-9.4","0,0327","2732.2","","2732.2","0","748.9",",0","619",",0","12.39","0","17.38","0","7.40","0"
"USW00093891","1956","39.96667","-83.0","221.0","COLUMBUS, OH US","534.9","","534.9","0","139","0","75","0","27","","6","0","0","0","97","0","20","0","158","0","11","0","-12.2","0,0124,","152",",0,0317,","165",",0,0316,","36.1",",0,0502,","35.0","0,0805,+","-0.6","0,1113","-3.9","0,1117","-5.6","0,1122","-7.2","0,1123","-9.4","0,1124","-0.6","0,0423","-5.0","0,0325","-5.0","0,0325","-6.7","0,0320","-9.4","0,0317","3073.0","","3073.0","0","779.4",",0","590",",0","12.01","0","16.79","0","7.25","0"
"USW00093891","1957","39.96667","-83.0","221.0","COLUMBUS, OH US","625.4","","625.4","0","124","0","77","0","19","","7","0","1","0","93","0","19","0","157","0","24","0","-18.9","0,0117,","127",",0,1204,","109",",0,1203,","39.4",",0,0628,","36.1","0,0720,","-0.6","0,1027","-2.8","0,1109","-5.6","0,1110","-6.7","0,1130","-8.9","0,1205","-3.3","0,0414","-3.3","0,0414","-4.4","0,0409","-7.8","0,0303","-9.4","0,0124","2656.2","","2656.2","0","911.9",",0","534",",0","12.12","0","16.92","0","7.32","0"
"USW00093891","1958","39.96667","-83.0","221.0","COLUMBUS, OH US","467.8","","467.8","0","124","0","77","0","41","","7","0","4","0","105","0","47","0","157","0","7","0","-20.6","0,1210,","152",",0,1129,","147",",0,1128,","62.7",",0,0731,","33.3","0,0705,+","-0.6","0,1107","-3.9","0,1126","-7.2","0,1127","-7.2","0,1127","-13.3","0,1129","-2.8","0,0409","-2.8","0,0409","-6.1","0,0221","-10.6","0,0220","-10.6","0,0220","3050.4","","3050.4","0","1094.0",",0","585",",0","10.73","0","15.36","0","6.09","0"
"USW00093891","1959","39.96667","-83.0","221.0","COLUMBUS, OH US","812.9","","812.9","0","129","0","78","0","26","","8","0","2","0","109","0","29","0","164","0","34","0","-20.0","0,0105,","152",",0,0312,","140",",0,0311,","106.9",",0,0121,","36.1","0,0825,","-0.6","0,1103","-2.2","0,1106","-9.4","0,1117","-9.4","0,1117","-9.4","0,1117","-0.6","0,0329","-5.0","0,0328","-5.0","0,0328","-9.4","0,0322","-9.4","0,0322","3083.8","","3083.8","0","907.2",",0","559",",0","12.46","0","17.53","0","7.38","0"
"USW00093891","1960","39.96667","-83.0","221.0","COLUMBUS, OH US","597.0","","597.0","0","110","0","67","0","55","","13","0","4","0","121","0","48","0","161","0","12","0","-21.1","0,1222,","229",",0,1221,","178",",0,1220,","40.9",",0,0516,","33.9","0,0908,","-1.1","0,1025","-5.0","0,1129","-5.0","0,1129","-7.2","0,1202","-10.6","0,1209","-0.6","0,0411","-3.3","0,0410","-10.0","0,0325","-10.0","0,0325","-10.0","0,0325","3080.0","","3080.0","0","754.6",",0","976",",0","11.33","0","16.03","0","6.62","0"
"USW00093891","1961","39.96667","-83.0","221.0","COLUMBUS, OH US","599.6","","599.6","0","124","0","85","0","50","","15","0","5","0","95","0","29","0","147","0","16","0","-21.1","0,0128,","203",",0,0102,+","89",",0,0203,","50.0",",0,0721,","33.9","0,0906,+","0.0","0,1104","-2.2","0,1109","-5.6","0,1128","-6.7","0,1129","-10.0","0,1213","-0.6","0,0416","-3.9","0,0402","-5.6","0,0317","-7.2","0,0204","-16.7","0,0202","3060.4","","3060.4","0","923.3",",0","933",",0","11.69","0","16.48","0","6.90","0"
"USW00093891","1962","39.96667","-83.0","221.0","COLUMBUS, OH US","645.5","","645.5","0","123","0","72","0","47","","11","0","5","0","107","0","33","0","158","0","16","0","-22.2","0,0110,","229",",0,0306,","208",",0,0305,","35.1",",0,1109,","36.1","0,0820,","-2.2","0,1025","-2.2","0,1025","-5.0","0,1026","-7.2","0,1209","-10.0","0,1210","-2.8","0,0416","-2.8","0,0416","-6.7","0,0305","-6.7","0,0305","-11.1","0,0303","3012.5","","3012.5","0","741.4",",0","831",",0","11.46","0","16.18","0","6.74","0"
"USW00093891","1963","39.96667","-83.0","221.0","COLUMBUS, OH US","521.9","","521.9","0","96","0","52","0","43","","10","0","13","0","106","0","49","0","173","0","15","0","-26.1","0,0124,","152",",0,0127,","76",",0,0301,","70.4",",0,0304,","35.0","0,0803,","-0.6","0,1102","-2.2","0,1124","-5.6","0,1213","-14.4","0,1214","-14.4","0,1214","-0.6","0,0501","-3.3","0,0322","-9.4","0,0302","-9.4","0,0302","-9.4","0,0302","3178.6","","3178.6","0","632.3",",0","657",",0","11.10","0","16.34","0","5.85","0"
"USW00093891","1964","39.96667","-83.0","221.0","COLUMBUS, OH US","641.8","","641.8","0","117","0","75","0","29","","8","0","0","0","98","0","26","0","164","0","34","0","-16.7","0,0114,","152",",0,0114,+","191",",0,0101,","94.0",",0,0304,","35.6","0,0909,+","-2.8","0,1011","-2.8","0,1011","-8.3","0,1121","-8.3","0,1121","-10.0","0,1122","-5.0","0,0404","-5.0","0,0404","-5.0","0,0404","-7.2","0,0330","-10.0","0,0318","2842.2","","2842.2","0","1044.8",",0","743",",0","12.44","0","17.52","0","7.36","0"
