"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00094143","1955","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","171.7","","171.7","0","77","0","24","0","99","","11","0","50","0","227","0","83","0","121","0","38","0","-31.1","0,1116,+","178",",0,0121,+","89",",0,0101,","9.9",",0,0516,","37.2","0,0715,","-5.0","0,0922","-5.0","0,0922","-5.0","0,0922","-6.7","0,0929","-11.7","0,1006","-1.7","0,0630","-5.0","0,0528","-5.0","0,0528","-6.7","0,0423","-13.3","0,0327","5319.8","","5319.8","0","172.8",",0","746",",0","4.30","0","12.74","0","-4.15","0","","","","","","","",""
"USW00094143","1956","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","133.9","","133.9","0","72","0","16","0","75","","7","0","37","0","209","0","64","0","134","0","24","0","-34.4","0,0131,","178",",0,0127,","89",",0,0126,","18.8",",0,1027,","35.6","0,0710,+","-1.1","0,0831","-2.2","0,0906","-5.6","0,0922","-8.9","0,1020","-8.9","0,1020","-1.1","0,0622","-2.2","0,0515","-4.4","0,0501","-9.4","0,0406","-9.4","0,0406","4721.7","","4721.7","0","148.7",",0","674",",0","5.54","0","14.11","0","-3.04","0","","","","","","","",""
"USW00094143","1957","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","114.8","","114.8","0","87","0","33","0","57","","12","0","34","0","201","0","51","0","118","0","23","0","-33.9","0,0128,","254",",0,0120,","216",",0,0120,","19.3",",0,0512,","33.9","0,0816,+","-1.7","0,0911","-2.8","0,0914","-4.4","0,0922","-7.8","0,1008","-9.4","0,1107","-0.6","0,0501","-2.8","0,0428","-6.7","0,0427","-6.7","0,0427","-11.7","0,0324","4876.7","","4876.7","0","313.3",",0","912",",0","5.55","0","13.79","0","-2.69","0","","","","","","","",""
"USW00094143","1958","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","177.6","","177.6","0","70","0","28","0","63","","10","0","18","0","209","0","36","0","143","0","26","0","-26.1","0,0101,","152",",0,0128,+","91",",0,0315,","13.2",",0,0912,","36.1","0,0814,+","0.0","0,0916","-2.8","0,0925","-4.4","0,1017","-11.1","0,1021","-11.1","0,1021","-0.6","0,0610","-3.3","0,0503","-6.7","0,0430","-6.7","0,0430","-8.9","0,0319","4451.9","","4451.9","0","187.0",",0","709",",0","6.83","0","15.22","0","-1.56","0","","","","","","","",""
"USW00094143","1959","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","182.2","","182.2","0","50","0","22","0","24","","9","0","22","0","215","0","34","0","108","0","36","0","-35.0","0,0104,","102",",0,1231,+","64",",0,1224,","20.8",",0,0501,","36.7","0,0723,","-2.8","0,0922","-2.8","0,0922","-6.7","0,0929","-6.7","0,0929","-10.0","0,1031","-1.7","0,0531","-2.8","0,0521","-4.4","0,0507","-7.8","0,0421","-13.3","0,0409","4452.4","","4452.4","0","203.0",",0","438",",0","6.02","0","14.44","0","-2.40","0","","","","","","","",""
"USW00094143","1960","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","177.3","","177.3","0","64","0","25","0","83","","16","0","47","0","207","0","69","0","131","0","29","0","-35.6","0,0119,","330",",0,0214,+","191",",0,0208,","20.3",",0,0822,","38.3","0,0720,","-0.6","0,0825","-2.2","0,1003","-9.4","0,1014","-9.4","0,1014","-9.4","0,1014","-1.7","0,0524","-4.4","0,0519","-4.4","0,0519","-8.3","0,0417","-9.4","0,0320","5058.6","","5058.6","0","207.9",",0","984",",0","5.23","0","13.69","0","-3.24","0","","","","","","","",""
"USW00094143","1961","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","262.3","","262.3","0","67","0","24","0","20","","5","0","18","0","217","0","34","0","119","0","42","0","-25.0","0,1211,","127",",0,0207,+","127",",0,0202,","39.4",",0,0918,","36.7","0,0804,","-1.1","0,0903","-3.9","0,0924","-5.6","0,1002","-6.7","0,1019","-10.0","0,1030","-1.7","0,0513","-2.2","0,0508","-5.6","0,0503","-8.3","0,0420","-9.4","0,0414","4386.2","","4386.2","0","255.7",",0","508",",0","6.70","0","14.61","0","-1.21","0","","","","","","","",""
"USW00094143","1962","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","94.3","","94.3","0","66","0","30","0","66","","9","0","39","0","200","0","59","0","125","0","14","0","-40.0","0,0121,","229",",0,0124,+","127",",0,0120,","17.8",",0,0920,","35.6","0,0815,","-0.6","0,0831","-5.6","0,0909","-5.6","0,0909","-7.2","0,1017","-12.2","0,1107","-2.8","0,0607","-2.8","0,0607","-6.1","0,0430","-8.9","0,0319","-8.9","0,0319","4938.7","","4938.7","0","259.6",",0","544",",0","5.78","0","13.94","0","-2.38","0","","","","","","","",""
"USW00094143","1963","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","106.3","","106.3","0","82","0","41","0","63","","15","0","33","0","188","0","52","0","132","0","13","0","-37.2","0,0112,","152",",0,1231,+","127",",0,1123,","29.0",",0,0610,","34.4","0,0814,","-1.1","0,1010","-2.2","0,1015","-6.1","0,1024","-11.7","0,1027","-11.7","0,1027","0.0","0,0630","-2.2","0,0425","-4.4","0,0424","-6.7","0,0423","-11.1","0,0417","4408.8","","4408.8","0","366.4",",0","987",",0","6.24","0","14.15","0","-1.67","0","","","","","","","",""
"USW00094143","1964","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","123.0","","123.0","0","82","0","34","0","","","14","0","64","0","224","0","89","0","118","0","19","0","-36.1","0,1217,","","","130",",0,1117,","27.2",",0,1222,","35.6","0,0727,","-1.1","0,0829","-2.8","0,0903","-5.0","0,0919","-7.2","0,0927","-11.1","0,1017","-0.6","0,0620","-3.3","0,0509","-5.0","0,0507","-8.3","0,0419","-8.9","0,0417","5236.2","","5236.2","0","315.6",",0","1313",",0","3.91","0","12.36","0","-4.53","0","","","","","","","",""
"USW00094143","1965","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","69.4","","69.4","0","67","0","30","0","61","","8","0","11","0","219","0","46","0","113","0","11","0","-23.3","0,1227,+","178",",0,0124,","112",",0,0507,","20.1",",0,0625,","35.0","0,0808,","0.0","0,0830","-2.2","0,0904","-4.4","0,0917","-10.0","0,0918","-10.0","0,0918","-2.2","0,0527","-2.2","0,0527","-4.4","0,0518","-7.2","0,0503","-8.9","0,0328","4694.9","","4694.9","0","227.8",",0","635",",0","5.79","0","13.60","0","-2.02","0","203","X","270","X","25.7","X","21.5","X"
"USW00094143","1966","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","123.9","","123.9","0","54","0","12","0","52","","4","0","29","0","216","0","54","0","136","0","24","0","-25.6","0,0101,","102",",0,1231,+","86",",0,1205,","15.2",",0,0511,","36.1","0,0730,","-1.7","0,0927","-3.9","0,1001","-7.2","0,1010","-7.2","0,1010","-10.0","0,1014","0.0","0,0626","-4.4","0,0625","-4.4","0,0625","-8.3","0,0523","-9.4","0,0428","4614.9","","4614.9","0","114.9",",0","457",",0","5.93","0","14.76","0","-2.90","0","","","","","","","",""
"USW00094143","1967","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","156.2","","156.2","0","76","0","30","0","79","","10","0","25","0","216","0","51","0","123","0","39","0","-30.6","0,1213,","254",",0,1222,+","152",",0,1218,","21.3",",0,0613,","35.6","0,0713,","-1.7","0,0912","-2.8","0,0913","-6.7","0,1004","-6.7","0,1004","-11.1","0,1024","0.0","0,0531","-3.3","0,0526","-5.6","0,0513","-6.7","0,0425","-9.4","0,0325","4645.1","","4645.1","0","213.7",",0","805",",0","5.83","0","13.97","0","-2.31","0","","","","","","","",""
"USW00094143","1968","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","107.3","","107.3","0","78","0","30","0","79","","9","0","38","0","226","0","71","0","107","0","21","0","-33.9","0,1231,","279",",0,1230,+","94",",0,1224,","17.3",",0,0609,","36.1","0,0728,","0.0","0,0904","-2.2","0,0923","-5.6","0,1008","-11.1","0,1009","-11.1","0,1009","0.0","0,0630","-2.2","0,0523","-5.6","0,0509","-6.7","0,0507","-8.9","0,0422","4900.1","","4900.1","0","336.9",",0","805",",0","4.78","0","12.97","0","-3.41","0","","","","","","","",""
"USW00094143","1969","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","150.4","","150.4","0","67","0","18","0","94","","10","0","32","0","211","0","59","0","132","0","30","0","-25.6","0,0311,","229",",0,0302,+","130",",0,0224,","41.7",",0,0610,","37.2","0,0810,","-0.6","0,0831","-2.2","0,0904","-6.7","0,1003","-6.7","0,1003","-10.6","0,1013","0.0","0,0629","-5.6","0,0430","-5.6","0,0430","-9.4","0,0326","-9.4","0,0326","4972.2","","4972.2","0","207.4",",0","754",",0","5.44","0","13.91","0","-3.03","0","","","","","","","",""
"USW00094143","1970","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","144.9","","144.9","0","91","0","33","0","59","","","","19","0","235","0","39","0","112","0","32","0","-30.6","0,1223,","152",",0,1229,+","","","18.0",",0,1129,","35.6","0,0807,+","-1.1","0,0909","-4.4","0,0910","-4.4","0,0910","-6.7","0,0916","-11.1","0,0925","-2.8","0,0531","-2.8","0,0531","-6.1","0,0514","-7.2","0,0429","-10.6","0,0421","4703.7","","4703.7","0","239.3",",0","","","5.32","0","13.45","0","-2.80","0","","","","","","","",""
"USW00094143","1971","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","154.9","","154.9","0","76","0","33","0","116","","20","0","43","0","220","0","69","0","111","0","35","0","-33.3","0,0105,","305",",0,1231,+","183",",0,0219,","21.6",",0,0529,","36.7","0,0716,","-2.2","0,0915","-2.2","0,0915","-7.8","0,0918","-7.8","0,0918","-9.4","0,1028","0.0","0,0629","-3.9","0,0519","-5.0","0,0518","-8.3","0,0413","-8.9","0,0401","5100.5","","5100.5","0","278.1",",0","1519",",0","4.49","0","12.35","0","-3.37","0","","","","","","","",""
"USW00094143","1972","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","108.1","","108.1","0","71","0","23","0","76","","10","0","39","0","222","0","66","0","117","0","21","0","-40.0","0,1210,","305",",0,0101,","127",",0,1203,+","12.2",",0,0521,","36.7","0,0809,+","-0.6","0,0907","-2.2","0,0913","-8.3","0,0924","-8.3","0,0924","-10.6","0,1029","0.0","0,0521","-2.8","0,0513","-4.4","0,0512","-6.7","0,0502","-10.6","0,0501","5030.9","","5030.9","0","189.5",",0","848",",0","5.10","0","13.22","0","-3.02","0","","","","","","","",""
"USW00094143","1973","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","116.2","","116.2","0","76","0","33","0","","","","","40","0","215","0","70","0","122","0","20","0","-35.6","0,0104,","","","","","18.5",",0,0722,","36.7","0,0710,","-0.6","0,0915","-3.9","0,0917","-8.9","0,1003","-8.9","0,1003","-8.9","0,1003","0.0","0,0702","-2.8","0,0618","-6.1","0,0527","-8.9","0,0502","-8.9","0,0502","5317.5","","5317.5","0","263.6",",0","","","4.78","0","12.85","0","-3.28","0","","","","","","","",""
"USW00094143","1974","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","174.6","","174.6","0","56","0","31","0","44","","","","20","0","212","0","48","0","135","0","40","0","-33.9","0,0111,+","178",",0,1231,+","","","11.2",",0,1204,+","36.1","0,0714,+","-1.1","0,0902","-4.4","0,0914","-4.4","0,0914","-7.2","0,1005","-9.4","0,1006","-1.7","0,0608","-2.2","0,0531","-8.9","0,0516","-8.9","0,0516","-8.9","0,0516","4535.4","","4535.4","0","196.3",",0","","","6.30","0","14.62","0","-2.02","0","","","","","","","",""
"USW00094143","1975","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","134.4","","134.4","0","69","0","38","0","87","","13","0","30","0","218","0","64","0","120","0","26","0","-32.2","0,0112,","330",",0,0210,+","102",",0,1128,+","17.0",",0,0425,","36.7","0,0727,","-2.2","0,0829","-2.2","0,0829","-4.4","0,0921","-8.9","0,1023","-8.9","0,1023","-1.7","0,0529","-5.6","0,0526","-5.6","0,0526","-6.7","0,0412","-10.6","0,0402","5024.7","","5024.7","0","240.4",",0","825",",0","4.80","0","12.50","0","-2.91","0","","","","","","","",""
"USW00094143","1976","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","131.7","","131.7","0","42","0","22","0","66","","8","0","32","0","213","0","47","0","128","0","28","0","-27.8","0,0206,","152",",0,0427,","127",",0,0219,","20.8",",0,0912,","36.7","0,0711,+","-2.2","0,0909","-2.2","0,0909","-4.4","0,1005","-12.2","0,1019","-12.2","0,1019","-2.2","0,0627","-2.2","0,0627","-5.0","0,0430","-6.7","0,0423","-10.6","0,0328","4705.9","","4705.9","0","198.5",",0","507",",0","5.77","0","14.36","0","-2.81","0","","","","","","","",""
"USW00094143","1977","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","157.4","","157.4","0","50","0","22","0","79","","11","0","32","0","221","0","48","0","133","0","31","0","-34.4","0,0111,","203",",0,0109,+","152",",0,1122,","17.8",",0,1122,","36.1","0,0716,","-1.1","0,0831","-3.9","0,0909","-4.4","0,1002","-7.2","0,1004","-11.1","0,1011","-3.9","0,0530","-3.9","0,0530","-5.0","0,0528","-7.2","0,0505","-10.0","0,0420","4639.1","","4639.1","0","162.4",",0","714",",0","5.83","0","14.74","0","-3.08","0","","","","","","","",""
"USW00094143","1978","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","90.4","","90.4","0","65","0","32","0","97","","12","0","31","0","218","0","69","0","113","0","20","0","-38.3","0,1231,","406",",0,0219,+","127",",0,0116,+","11.4",",0,0906,","37.2","0,0725,+","0.0","0,0815","-2.2","0,0818","-5.0","0,0919","-8.3","0,0920","-9.4","0,1022","0.0","0,0626","-2.2","0,0620","-5.0","0,0531","-6.7","0,0526","-11.1","0,0317","4607.5","","4607.5","0","194.4",",0","779",",0","4.88","0","13.10","0","-3.34","0","","","","","","","",""
"USW00094143","1979","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","121.1","","121.1","0","79","0","27","0","111","","19","0","42","0","214","0","59","0","145","0","28","0","-36.1","0,0131,+","254",",0,0207,+","102",",0,0529,","31.8",",0,0723,","36.7","0,0804,","-1.1","0,0911","-2.8","0,0912","-4.4","0,1004","-9.4","0,1027","-9.4","0,1027","-0.6","0,0615","-2.8","0,0609","-5.0","0,0608","-6.7","0,0425","-9.4","0,0420","5082.8","","5082.8","0","208.8",",0","849",",0","5.28","0","14.02","0","-3.46","0","","","","","","","",""
"USW00094143","1980","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","82.9","","82.9","0","89","0","30","0","38","","5","0","14","0","198","0","33","0","128","0","13","0","-32.8","0,0128,","76",",0,1203,","102",",0,1203,","16.8",",0,0908,","36.1","0,0723,","-0.6","0,0901","-2.2","0,0904","-5.6","0,1017","-7.8","0,1022","-12.8","0,1023","-1.1","0,0607","-2.8","0,0419","-5.6","0,0417","-8.9","0,0416","-8.9","0,0416","4498.0","","4498.0","0","247.2",",0","357",",0","6.40","0","14.49","0","-1.70","0","","","","","","","",""
"USW00094143","1981","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","148.4","","148.4","0","60","0","31","0","40","","8","0","13","0","212","0","37","0","117","0","35","0","-31.7","0,0210,","178",",0,0131,+","165",",0,1124,","38.4",",0,0420,","36.1","0,0705,","0.0","0,0903","-2.8","0,0920","-5.0","0,0926","-7.2","0,1004","-8.9","0,1005","-1.7","0,0708","-2.2","0,0614","-4.4","0,0417","-10.0","0,0414","-10.0","0,0414","4341.9","","4341.9","0","240.3",",0","627",",0","6.74","0","15.20","0","-1.70","0","","","","","","","",""
"USW00094143","1982","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","155.5","","155.5","0","85","0","35","0","87","","13","0","41","0","211","0","70","0","111","0","22","0","-35.6","0,0205,","330",",0,1223,","165",",0,1201,","15.0",",0,1223,","35.6","0,0808,+","0.0","0,0929","-6.7","0,1006","-6.7","0,1006","-6.7","0,1006","-8.9","0,1010","0.0","0,0609","-2.2","0,0520","-10.0","0,0505","-10.0","0,0505","-10.0","0,0505","4868.4","","4868.4","0","255.0",",0","734",",0","4.53","0","12.13","0","-3.07","0","","","","","","","",""
"USW00094143","1983","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","136.6","","136.6","0","89","0","36","0","104","","10","0","23","0","192","0","55","0","112","0","12","0","-43.9","0,1223,","356",",0,1207,+","178",",0,1204,","18.0",",0,0710,","36.7","0,0808,+","0.0","0,0906","-3.9","0,0910","-10.0","0,0920","-10.0","0,0920","-10.0","0,0920","-0.6","0,0522","-2.2","0,0516","-5.6","0,0514","-7.2","0,0428","-10.0","0,0414","4572.4","","4572.4","0","284.4",",0","737",",0","5.72","0","12.94","0","-1.50","0","","","","","","","",""
"USW00094143","1984","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","109.0","","109.0","0","71","0","38","0","128","","10","0","52","0","218","0","94","0","116","0","12","0","-36.7","0,0118,","432",",0,0308,+","127",",0,0210,","20.6",",0,0609,","35.6","0,0718,","0.0","0,0907","-3.3","0,0922","-8.9","0,0924","-8.9","0,0924","-8.9","0,0924","-1.1","0,0612","-2.8","0,0602","-4.4","0,0517","-7.2","0,0507","-9.4","0,0428","5008.4","","5008.4","0","287.9",",0","636",",0","3.77","0","11.31","0","-3.77","0","","","","","","","",""
"USW00094143","1985","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","172.0","","172.0","0","56","0","33","0","144","","17","0","86","0","212","0","128","0","124","0","28","0","-37.8","0,0201,","635",",0,0307,+","127",",0,0327,+","16.5",",0,0121,","37.2","0,0709,+","-3.3","0,0920","-3.3","0,0920","-5.6","0,0923","-8.9","0,0929","-8.9","0,0929","-2.8","0,0514","-2.8","0,0514","-8.3","0,0513","-8.3","0,0513","-8.9","0,0331","5503.9","","5503.9","0","243.3",",0","1030",",0","3.08","0","11.33","0","-5.17","0","","","","","","","",""
"USW00094143","1986","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","137.2","","137.2","0","65","0","38","0","","","","","28","0","207","0","47","0","124","0","31","0","-26.7","0,0207,","","","","","20.1",",0,0218,","36.7","0,0818,","-0.6","0,0919","-4.4","0,0921","-4.4","0,0921","-6.7","0,0929","-11.1","0,1012","-2.2","0,0706","-2.2","0,0706","-5.6","0,0523","-6.7","0,0430","-18.9","0,0214","4907.8","","4907.8","0","287.4",",0","","","6.45","0","14.72","0","-1.83","0","","","","","","","",""
"USW00094143","1987","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","109.4","","109.4","0","57","0","23","0","29","","3","0","30","0","194","0","44","0","152","0","25","0","-27.2","0,0117,+","51",",0,1231,+","51",",0,0223,","24.1",",0,0516,","36.1","0,0715,","0.0","0,0817","-2.8","0,0917","-5.0","0,0918","-10.0","0,1011","-10.0","0,1011","-2.2","0,0602","-2.2","0,0602","-5.0","0,0420","-10.0","0,0413","-10.0","0,0413","4335.3","","4335.3","0","202.2",",0","196",",0","7.00","0","16.04","0","-2.04","0","","","","","","","",""
"USW00094143","1988","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","252.1","","252.1","0","","","","","84","","","","35","0","210","0","65","0","144","0","59","0","-33.3","0,1227,","254",",0,1231,+","","","","","37.8","0,0721,+","-1.7","0,0915","-5.0","0,0918","-5.0","0,0918","-7.2","0,1028","-9.4","0,1107","0.0","0,0608","-3.9","0,0520","-5.0","0,0503","-7.2","0,0502","-8.9","0,0411","4496.2","","4496.2","0","","","","","6.46","0","15.58","0","-2.66","0","","","","","","","",""
"USW00094143","1989","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","158.1","","158.1","0","48","0","25","0","112","","7","0","51","0","202","0","67","0","138","0","29","0","-32.8","0,0207,","406",",0,0222,+","76",",0,1126,+","23.6",",0,0927,","37.2","0,0719,+","0.0","0,0910","-3.9","0,0913","-6.7","0,1016","-6.7","0,1016","-8.9","0,1029","-3.3","0,0621","-3.3","0,0621","-4.4","0,0526","-7.2","0,0426","-11.1","0,0410","4907.8","","4907.8","0","176.8",",0","407",",0","5.26","0","13.83","0","-3.32","0","","","","","","","",""
"USW00094143","1990","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","207.3","","207.3","0","38","0","19","0","72","","6","0","38","0","187","0","55","0","138","0","41","0","-38.9","0,1222,","152",",0,0129,+","102",",0,0114,","17.8",",0,0610,","38.3","0,0808,","-1.1","0,1003","-7.2","0,1008","-7.2","0,1008","-7.2","0,1008","-11.1","0,1017","-1.1","0,0613","-2.8","0,0510","-7.2","0,0501","-7.2","0,0501","-8.9","0,0326","4398.2","","4398.2","0","164.9",",0","370",",0","6.46","0","15.11","0","-2.20","0","","","","","","","",""
"USW00094143","1991","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","197.6","","197.6","0","","","","","64","","4","0","30","0","204","0","54","0","136","0","40","0","-28.9","0,0130,","102",",0,0112,+","51",",0,1117,+","","","36.1","0,0704,","-1.1","0,0915","-6.7","0,1004","-6.7","0,1004","-6.7","0,1004","-8.9","0,1024","0.0","0,0615","-3.9","0,0528","-4.4","0,0505","-7.8","0,0414","-11.7","0,0408","4696.1","","4696.1","0","","","236",",0","6.35","0","14.81","0","-2.11","0","","","","","","","",""
"USW00094143","1992","43.5316","-112.9422","1505.1","IDAHO FALLS 46 W, ID US","186.4","","186.4","0","","","","","42","","8","0","30","0","201","0","51","0","150","0","30","0","-33.3","0,1204,","457",",0,1231,+","203",",0,1230,+","","","38.3","0,0802,","-0.6","0,0824","-3.3","0,0825","-4.4","0,0826","-7.8","0,1007","-10.0","0,1103","-5.6","0,0512","-5.6","0,0512","-5.6","0,0512","-10.6","0,0424","-10.6","0,0424","4023.2","","4023.2","0","","","801",",0","7.28","0","16.27","0","-1.72","0","","","","","","","",""
