GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
310M300US10100,10100,"Aberdeen, SD Micro Area",40602,40602,40719,41007,41576,42255,42326,42502,42856,43097
310M300US10140,10140,"Aberdeen, WA Micro Area",72797,72804,72851,72366,71792,71066,70818,71065,71625,72697
310M300US10180,10180,"Abilene, TX Metro Area",165252,165248,165583,166633,167452,167426,168143,169478,169733,170219
310M300US10220,10220,"Ada, OK Micro Area",37492,37492,37601,37749,38068,38158,38288,38331,38443,38224
310M300US10260,10260,"Adjuntas, PR Micro Area",19483,19483,19472,19297,19116,19019,18798,18560,18276,17971
310M300US10300,10300,"Adrian, MI Micro Area",99892,99892,99631,99323,98978,98766,98692,98334,98510,98623
310M300US10380,10380,"Aguadilla-Isabela, PR Metro Area",339441,339465,338935,335104,330765,326663,321434,315575,309215,302615
310M300US10420,10420,"Akron, OH Metro Area",703200,703203,703037,703152,702066,703085,704311,703530,702556,703505
310M300US10460,10460,"Alamogordo, NM Micro Area",63797,63817,64386,65432,65943,65677,64792,64178,65184,65817
310M300US10500,10500,"Albany, GA Metro Area",157308,157500,157596,157875,157369,156025,155293,153686,152440,151434
310M300US10540,10540,"Albany, OR Metro Area",116672,116672,116878,118112,118242,118388,119025,120210,122700,125047
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",870716,870720,871159,873206,875586,878628,880140,881551,882801,886188
310M300US10620,10620,"Albemarle, NC Micro Area",60585,60586,60577,60533,60479,60667,60659,60685,60880,61482
310M300US10660,10660,"Albert Lea, MN Micro Area",31255,31255,31208,31072,31029,30929,30740,30488,30403,30535
310M300US10700,10700,"Albertville, AL Micro Area",93019,93019,93129,93890,94217,94291,94232,94577,95043,95548
310M300US10740,10740,"Albuquerque, NM Metro Area",887077,887061,889570,896838,900368,902083,902069,903489,906877,910726
310M300US10760,10760,"Alexander City, AL Micro Area",41616,41618,41477,41394,41040,41021,40886,40617,40574,40681
310M300US10780,10780,"Alexandria, LA Metro Area",153922,153922,154107,154374,154436,154639,154633,154272,154394,153984
310M300US10820,10820,"Alexandria, MN Micro Area",36009,36009,35986,36175,36286,36340,36573,36794,37173,37575
310M300US10860,10860,"Alice, TX Micro Area",40838,40838,40887,41206,41628,41664,41472,41469,41115,40871
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,821272,821963,824980,826634,826533,829625,832011,835233,840550
310M300US10940,10940,"Alma, MI Micro Area",42476,42476,42429,42102,41955,41901,41438,41308,40932,41018
310M300US10980,10980,"Alpena, MI Micro Area",29598,29598,29512,29336,29161,28953,28874,28705,28657,28462
310M300US11020,11020,"Altoona, PA Metro Area",127089,127076,127030,126989,126593,125977,125502,124818,123927,123457
310M300US11060,11060,"Altus, OK Micro Area",26446,26446,26483,26410,26216,26137,25809,25404,25397,25125
310M300US11100,11100,"Amarillo, TX Metro Area",251933,251933,252674,255992,257777,258847,260662,261508,263036,264925
310M300US11140,11140,"Americus, GA Micro Area",37829,37827,37703,37124,36623,36447,36372,35886,35513,35060
310M300US11180,11180,"Ames, IA Metro Area",89542,89542,89627,90797,91730,93462,95310,96348,96816,97502
310M300US11220,11220,"Amsterdam, NY Micro Area",50219,50256,50299,49906,49828,49755,49667,49556,49266,49258
310M300US11260,11260,"Anchorage, AK Metro Area",380821,380821,383108,388012,392201,396934,398400,399082,401499,400888
310M300US11380,11380,"Andrews, TX Micro Area",14786,14786,14847,15386,16106,16788,17448,18092,17837,17722
310M300US11420,11420,"Angola, IN Micro Area",34185,34183,34145,34099,34184,34392,34518,34514,34388,34484
310M300US11460,11460,"Ann Arbor, MI Metro Area",344791,345066,345515,349102,351333,354714,358635,361815,364752,367627
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",118572,118586,118466,117785,117219,116482,115941,115505,114980,114728
310M300US11540,11540,"Appleton, WI Metro Area",225666,225666,225940,227552,228676,229973,231595,233131,234302,236126
310M300US11580,11580,"Arcadia, FL Micro Area",34862,34862,34936,34794,34952,34840,35271,35475,35925,36862
310M300US11620,11620,"Ardmore, OK Micro Area",47557,47726,47798,48031,47993,48437,48548,48500,48359,48190
310M300US11640,11640,"Arecibo, PR Metro Area",199471,199471,199220,197385,195505,194020,191132,188275,184987,181643
310M300US11660,11660,"Arkadelphia, AR Micro Area",22995,22993,22927,22918,22745,22574,22551,22506,22550,22293
310M300US11680,11680,"Arkansas City-Winfield, KS Micro Area",36311,36306,36308,36235,36251,36142,35844,35690,35621,35361
310M300US11700,11700,"Asheville, NC Metro Area",424858,424856,425340,428230,431145,436077,440039,444952,450914,456145
310M300US11740,11740,"Ashland, OH Micro Area",53139,53139,53324,53247,53233,53118,53107,53224,53417,53628
310M300US11780,11780,"Ashtabula, OH Micro Area",101497,101488,101397,101060,100227,99716,99021,98396,98169,97807
310M300US11820,11820,"Astoria, OR Micro Area",37039,37029,37085,37189,37377,37084,37421,37783,38637,39182
310M300US11860,11860,"Atchison, KS Micro Area",16924,16921,16858,16754,16774,16688,16524,16414,16373,16332
310M300US11900,11900,"Athens, OH Micro Area",64757,64764,65178,65080,64590,64456,64649,65793,66320,66597
310M300US11940,11940,"Athens, TN Micro Area",52266,52278,52168,52308,52365,52330,52538,52439,52659,52877
310M300US11980,11980,"Athens, TX Micro Area",78532,78534,78623,78792,78938,78628,79262,79447,80034,81064
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",192541,192564,193446,194508,196169,197731,198650,202824,205421,209271
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5286728,5286743,5303327,5373016,5451561,5517034,5605117,5702331,5795723,5884736
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",274549,274540,274761,275107,275732,275954,274842,273088,270830,269918
310M300US12120,12120,"Atmore, AL Micro Area",38319,38319,38346,38202,38028,37773,37740,37667,37476,37447
310M300US12140,12140,"Auburn, IN Micro Area",42223,42219,42297,42450,42284,42325,42387,42452,42620,42836
310M300US12180,12180,"Auburn, NY Micro Area",80026,80003,79889,79689,79516,79115,78800,78319,77757,77603
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",140247,140296,140806,144117,148318,151445,154211,156740,158983,161604
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",564873,564873,566492,570777,576149,579670,583198,589688,594889,600151
310M300US12300,12300,"Augusta-Waterville, ME Micro Area",122151,122151,122072,121765,121607,121171,121144,120983,121328,121821
310M300US12380,12380,"Austin, MN Micro Area",39163,39163,39211,39370,39421,39358,39371,39305,39329,39566
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",1716289,1716320,1727495,1780610,1834566,1883528,1942255,2000784,2060558,2115827
310M300US12460,12460,"Bainbridge, GA Micro Area",27842,27842,27813,27657,27456,27407,27194,27083,26715,26716
310M300US12540,12540,"Bakersfield, CA Metro Area",839631,839621,841116,848767,855237,864014,871895,879607,885086,893119
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",2710489,2710603,2715503,2734969,2756285,2771586,2784424,2795036,2801028,2808175
310M300US12620,12620,"Bangor, ME Metro Area",153923,153920,153841,153713,153372,153075,152941,151934,151515,151957
310M300US12660,12660,"Baraboo, WI Micro Area",61976,61976,62072,62272,62415,62818,63005,63292,63604,63981
310M300US12680,12680,"Bardstown, KY Micro Area",43437,43437,43625,44060,44407,44544,44857,45103,45512,45640
310M300US12700,12700,"Barnstable Town, MA Metro Area",215888,215868,215877,215340,214787,214566,214279,213773,213440,213444
310M300US12740,12740,"Barre, VT Micro Area",59534,59526,59570,59559,59384,59210,58975,58617,58365,58290
310M300US12780,12780,"Bartlesville, OK Micro Area",50976,50974,51059,51318,51584,51595,51924,51968,51914,51932
310M300US12820,12820,"Bastrop, LA Micro Area",27979,27979,27872,27476,27377,26935,26653,26309,25914,25641
310M300US12860,12860,"Batavia, NY Micro Area",60079,59944,59944,59903,59716,59169,58807,58591,58163,57956
310M300US12900,12900,"Batesville, AR Micro Area",36647,36642,36804,36846,36917,36834,37043,37010,37094,37504
310M300US12940,12940,"Baton Rouge, LA Metro Area",802484,802500,804359,808105,813476,819304,824923,829719,835596,834159
310M300US12980,12980,"Battle Creek, MI Metro Area",136146,136148,135941,135039,134605,134572,134602,134154,134178,134128
310M300US13020,13020,"Bay City, MI Metro Area",107771,107771,107676,107382,106930,106761,106025,105244,104481,104239
310M300US13060,13060,"Bay City, TX Micro Area",36702,36702,36705,36681,36543,36506,36494,36762,37117,36840
310M300US13100,13100,"Beatrice, NE Micro Area",22311,22311,22269,21906,21653,21726,21533,21690,21609,21601
310M300US13140,13140,"Beaumont-Port Arthur, TX Metro Area",403190,403194,403697,405356,403895,405471,405754,408744,410909,412437
310M300US13180,13180,"Beaver Dam, WI Micro Area",88759,88770,88747,88409,88202,87964,88124,87865,87428,87786
310M300US13220,13220,"Beckley, WV Metro Area",124898,124913,124959,125183,125014,124277,123291,122022,120361,118543
310M300US13260,13260,"Bedford, IN Micro Area",46134,46129,46102,46130,46101,45882,45646,45577,45575,45666
310M300US13300,13300,"Beeville, TX Micro Area",31861,31861,31863,32312,32474,32803,32837,32609,32835,32563
310M300US13340,13340,"Bellefontaine, OH Micro Area",45858,45854,45749,45623,45409,45388,45469,45260,45171,45325
310M300US13380,13380,"Bellingham, WA Metro Area",201140,201145,201520,203447,204878,206189,208112,211713,216274,221404
310M300US13420,13420,"Bemidji, MN Micro Area",44442,44442,44570,45037,45133,45481,45629,45600,46011,46513
310M300US13460,13460,"Bend-Redmond, OR Metro Area",157733,157733,157740,159605,161343,165270,169497,174288,180675,186875
310M300US13500,13500,"Bennettsville, SC Micro Area",28933,28933,28915,28551,28237,28061,28023,27579,27036,26825
310M300US13540,13540,"Bennington, VT Micro Area",37125,37125,37082,36796,36603,36548,36187,36088,35854,35594
310M300US13620,13620,"Berlin, NH-VT Micro Area",39361,39358,39286,38824,38197,38139,38925,38517,38163,37864
310M300US13660,13660,"Big Rapids, MI Micro Area",42798,42798,42849,43424,43457,43205,43148,42987,43172,43391
310M300US13700,13700,"Big Spring, TX Micro Area",36238,36238,36214,36226,36755,37424,37818,38503,37968,37388
310M300US13720,13720,"Big Stone Gap, VA Micro Area",61313,61312,61436,61317,60746,60295,59384,58773,58062,57304
310M300US13740,13740,"Billings, MT Metro Area",158934,158934,159297,160622,162568,164783,166360,167531,168961,170498
310M300US13780,13780,"Binghamton, NY Metro Area",251725,251737,251519,250321,249064,248323,247469,245615,243608,242217
310M300US13820,13820,"Birmingham-Hoover, AL Metro Area",1128047,1128056,1128791,1130457,1133409,1138173,1141099,1144518,1146888,1149807
310M300US13900,13900,"Bismarck, ND Metro Area",114778,114778,115253,117318,120233,123885,126704,129583,131397,132142
310M300US13940,13940,"Blackfoot, ID Micro Area",45607,45607,45768,45891,45517,45425,45213,45026,45255,45927
310M300US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",178237,178253,178530,178949,179572,180862,181357,181464,182635,182993
310M300US14010,14010,"Bloomington, IL Metro Area",186133,186133,186398,187325,189016,191110,189944,188905,188847,188232
310M300US14020,14020,"Bloomington, IN Metro Area",159549,159541,160086,161603,162653,163039,164434,165056,166614,167825
310M300US14100,14100,"Bloomsburg-Berwick, PA Metro Area",85562,85563,85655,85415,85458,85563,85484,84950,84382,84204
310M300US14140,14140,"Bluefield, WV-VA Micro Area",107342,107338,107471,107240,106637,105867,105068,103936,102540,100848
310M300US14180,14180,"Blytheville, AR Micro Area",46480,46480,46391,46011,45537,44676,44232,43717,42885,42159
310M300US14220,14220,"Bogalusa, LA Micro Area",47168,47171,47120,47155,46709,46445,46353,46389,46424,46633
310M300US14260,14260,"Boise City, ID Metro Area",616561,616568,617980,627349,637354,649140,662625,674310,690810,709845
310M300US14300,14300,"Bonham, TX Micro Area",33915,33910,33917,33872,33576,33541,33615,33476,33855,34446
310M300US14340,14340,"Boone, IA Micro Area",26306,26306,26270,26286,26137,26283,26282,26439,26419,26484
310M300US14380,14380,"Boone, NC Micro Area",51079,51064,50974,51613,52045,52348,52429,53108,54099,55121
310M300US14420,14420,"Borger, TX Micro Area",22150,22249,22210,22013,22004,21894,21898,21781,21570,21375
